energy_ev,total_up,Cr_p_up,Cr_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.10459045,0.45458251,0.15218059,0.43291132,0.10790574,0.00050920,0.04864902,0.04235394,0.56315523
-5.99399700,1.09518610,0.44345724,0.15435184,0.42771375,0.10611338,0.00055361,0.04775767,0.04237398,0.55826368
-5.98799400,1.08362721,0.43252408,0.15606930,0.42100737,0.10437462,0.00060985,0.04667449,0.04224694,0.55245857
-5.98199100,1.07066359,0.42221767,0.15741588,0.41303437,0.10279887,0.00067861,0.04542258,0.04199157,0.54614401
-5.97598799,1.05713767,0.41299264,0.15849472,0.40408129,0.10150297,0.00076049,0.04402899,0.04163020,0.53977045
-5.96998499,1.04396854,0.40531787,0.15942643,0.39447432,0.10060970,0.00085599,0.04252421,0.04118804,0.53382650
-5.96398199,1.03213228,0.39966972,0.16034563,0.38457308,0.10024596,0.00096542,0.04094158,0.04069230,0.52882874
-5.95797899,1.02263915,0.39652435,0.16139675,0.37476302,0.10054060,0.00108884,0.03931650,0.04017121,0.52531001
-5.95197599,1.01650796,0.39634910,0.16272950,0.36544660,0.10162192,0.00122610,0.03768562,0.03965293,0.52380617
-5.94597299,1.01473858,0.39959294,0.16449388,0.35703366,0.10361491,0.00137670,0.03608594,0.03916450,0.52484185
-5.93996998,1.01828322,0.40667612,0.16683519,0.34993097,0.10663814,0.00153983,0.03455388,0.03873073,0.52891558
-5.93396698,1.02801765,0.41797930,0.16988912,0.34453163,0.11080054,0.00171431,0.03312430,0.03837324,0.53648473
-5.92796398,1.04471306,0.43383229,0.17377716,0.34120434,0.11619796,0.00189859,0.03182961,0.03810953,0.54795075
-5.92196098,1.06900990,0.45450285,0.17860241,0.34028308,0.12290980,0.00209076,0.03069893,0.03795233,0.56364534
-5.91595798,1.10139439,0.48018578,0.18444619,0.34205756,0.13099568,0.00228857,0.02975730,0.03790902,0.58381797
-5.90995498,1.14217884,0.51099296,0.19136526,0.34676454,0.14049232,0.00248945,0.02902504,0.03798135,0.60862522
-5.90395198,1.19148644,0.54694451,0.19938999,0.35458061,0.15141082,0.00269054,0.02851729,0.03816541,0.63812246
-5.89794897,1.24924126,0.58796175,0.20852343,0.36561641,0.16373439,0.00288879,0.02824361,0.03845179,0.67225825
-5.89194597,1.31516390,0.63386225,0.21874126,0.37991268,0.17741668,0.00308101,0.02820790,0.03882600,0.71087159
-5.88594297,1.38877310,0.68435742,0.22999262,0.39743820,0.19238089,0.00326397,0.02840832,0.03926913,0.75369241
-5.87993997,1.46939340,0.73905291,0.24220175,0.41808963,0.20851965,0.00343447,0.02883757,0.03975863,0.80034524
-5.87393697,1.55616863,0.79745210,0.25527028,0.44169347,0.22569584,0.00358944,0.02948321,0.04026929,0.85035601
-5.86793397,1.64808086,0.85896268,0.26908010,0.46800984,0.24374430,0.00372606,0.03032818,0.04077431,0.90316186
-5.86193097,1.74397429,0.92290640,0.28349663,0.49673814,0.26247451,0.00384184,0.03135149,0.04124641,0.95812372
-5.85592796,1.84258316,0.98853170,0.29837233,0.52752427,0.28167406,0.00393470,0.03252894,0.04165892,1.01454108
-5.84992496,1.94256279,1.05502904,0.31355025,0.55996929,0.30111304,0.00400303,0.03383400,0.04198685,1.07166866
-5.84392196,2.04252262,1.12154838,0.32886757,0.59363909,0.32054901,0.00404579,0.03523868,0.04220783,1.12873423
-5.83791896,2.14106014,1.18721819,0.34415893,0.62807483,0.33973246,0.00406250,0.03671443,0.04230297,1.18495713
-5.83191596,2.23679439,1.25116557,0.35925941,0.66280372,0.35841267,0.00405328,0.03823300,0.04225743,1.23956662
-5.82591296,2.32839785,1.31253640,0.37400722,0.69734980,0.37634357,0.00401885,0.03976726,0.04206096,1.29181963
-5.81990995,2.41462581,1.37051512,0.38824585,0.73124432,0.39328953,0.00396047,0.04129187,0.04170808,1.34101708
-5.81390695,2.49434186,1.42434310,0.40182589,0.76403543,0.40903077,0.00387994,0.04278388,0.04119810,1.38651845
-5.80790395,2.56653913,1.47333515,0.41460632,0.79529677,0.42336826,0.00377952,0.04422317,0.04053502,1.42775387
-5.80190095,2.63035636,1.51689336,0.42645550,0.82463488,0.43612782,0.00366180,0.04559267,0.03972710,1.46423362
-5.79589795,2.68508866,1.55451808,0.43725182,0.85169508,0.44716340,0.00352968,0.04687847,0.03878638,1.49555471
-5.78989495,2.73019285,1.58581537,0.44688403,0.87616587,0.45635935,0.00338622,0.04806979,0.03772801,1.52140445
-5.78389195,2.76528749,1.61050111,0.45525157,0.89778173,0.46363167,0.00323456,0.04915870,0.03656954,1.54156119
-5.77788894,2.79014819,1.62840159,0.46226466,0.91632446,0.46892822,0.00307780,0.05013979,0.03533009,1.55589227
-5.77188594,2.80469870,1.63945080,0.46784454,0.93162318,0.47222797,0.00291891,0.05100972,0.03402960,1.56434972
-5.76588294,2.80899861,1.64368482,0.47192371,0.94355317,0.47353939,0.00276065,0.05176672,0.03268796,1.56696383
-5.75987994,2.80322864,1.64123372,0.47444632,0.95203380,0.47289807,0.00260549,0.05241001,0.03132436,1.56383541
-5.75387694,2.78767451,1.63231154,0.47536869,0.95702586,0.47036375,0.00245555,0.05293932,0.02995663,1.55512701
-5.74787394,2.76271015,1.61720492,0.47465999,0.95852852,0.46601702,0.00231257,0.05335439,0.02860069,1.54105369
-5.74187094,2.72878142,1.59626110,0.47230302,0.95657618,0.45995579,0.00217788,0.05365461,0.02727015,1.52187386
-5.73586793,2.68639091,1.56987570,0.46829507,0.95123554,0.45229166,0.00205237,0.05383877,0.02597607,1.49788064
-5.72986493,2.63608452,1.53848105,0.46264879,0.94260285,0.44314655,0.00193654,0.05390495,0.02472679,1.46939396
-5.72386193,2.57844018,1.50253531,0.45539301,0.93080172,0.43264949,0.00183050,0.05385055,0.02352798,1.43675384
-5.71785893,2.51405899,1.46251284,0.44657333,0.91598136,0.42093386,0.00173404,0.05367246,0.02238268,1.40031482
-5.71185593,2.44355877,1.41889600,0.43625256,0.89831534,0.40813503,0.00164661,0.05336741,0.02129163,1.36044168
-5.70585293,2.36756982,1.37216851,0.42451077,0.87800066,0.39438847,0.00156747,0.05293243,0.02025349,1.31750638
-5.69984992,2.28673259,1.32281036,0.41144504,0.85525723,0.37982832,0.00149565,0.05236529,0.01926526,1.27188597
-5.69384692,2.20169678,1.27129407,0.39716869,0.83032732,0.36458644,0.00143011,0.05166514,0.01832269,1.22396145
-5.68784392,2.11312140,1.21808225,0.38181015,0.80347502,0.34879173,0.00136972,0.05083306,0.01742069,1.17411712
-5.68184092,2.02167510,1.16362611,0.36551130,0.77498533,0.33256983,0.00131334,0.04987255,0.01655375,1.12274018
-5.67583792,1.92803633,1.10836458,0.34842548,0.74516282,0.31604296,0.00125991,0.04879001,0.01571636,1.07022043
-5.66983492,1.83289275,1.05272385,0.33071501,0.71432953,0.29932995,0.00120843,0.04759504,0.01490334,1.01694960
-5.66383192,1.73693960,0.99711697,0.31254847,0.68282222,0.28254618,0.00115803,0.04630059,0.01411013,0.96332028
-5.65782891,1.64087652,0.94194323,0.29409775,0.65098857,0.26580362,0.00110798,0.04492301,0.01333304,0.90972411
-5.65182591,1.54540291,0.88758718,0.27553493,0.61918262,0.24921072,0.00105773,0.04348179,0.01256938,0.85654935
-5.64582291,1.45121165,0.83441707,0.25702915,0.58775922,0.23287214,0.00100689,0.04199922,0.01181762,0.80417754
-5.63981991,1.35898133,0.78278265,0.23874354,0.55706785,0.21688845,0.00095521,0.04049985,0.01107731,0.75297961
-5.63381691,1.26936731,0.73301242,0.22083235,0.52744569,0.20135561,0.00090263,0.03900979,0.01034917,0.70331123
-5.62781391,1.18299192,0.68541026,0.20343833,0.49921042,0.18636439,0.00084922,0.03755588,0.00963492,0.65550780
-5.62181091,1.10043421,0.64025165,0.18669044,0.47265279,0.17199978,0.00079516,0.03616481,0.00893719,0.60987929
-5.61580790,1.02221983,0.59777963,0.17070197,0.44802938,0.15834028,0.00074075,0.03486221,0.00825940,0.56670498
-5.60980490,0.94881151,0.55820082,0.15556914,0.42555584,0.14545736,0.00068634,0.03367172,0.00760554,0.52622859
-5.60380190,0.88060063,0.52168163,0.14137017,0.40540083,0.13341490,0.00063233,0.03261417,0.00698006,0.48865393
-5.59779890,0.81790037,0.48834493,0.12816483,0.38768111,0.12226892,0.00057917,0.03170680,0.00638763,0.45414132
-5.59179590,0.76094083,0.45826753,0.11599453,0.37245780,0.11206738,0.00052728,0.03096272,0.00583309,0.42280506
-5.58579290,0.70986641,0.43147859,0.10488276,0.35973441,0.10285025,0.00047707,0.03039048,0.00532119,0.39471198
-5.57978989,0.66473569,0.40795918,0.09483606,0.34945635,0.09464987,0.00042893,0.02999390,0.00485657,0.36988128
-5.57378689,0.62552377,0.38764306,0.08584533,0.34151245,0.08749143,0.00038318,0.02977212,0.00444361,0.34828571
-5.56778389,0.59212714,0.37041883,0.07788737,0.33573825,0.08139381,0.00034011,0.02971986,0.00408638,0.32985394
-5.56178089,0.56437080,0.35613336,0.07092676,0.33192109,0.07637047,0.00029992,0.02982799,0.00378854,0.31447422
-5.55577789,0.54201744,0.34459641,0.06491782,0.32980691,0.07243060,0.00026276,0.03008421,0.00355335,0.30199897
-5.54977489,0.52477819,0.33558635,0.05980671,0.32910853,0.06958029,0.00022872,0.03047406,0.00338359,0.29225029
-5.54377189,0.51232456,0.32885674,0.05553351,0.32951512,0.06782370,0.00019783,0.03098200,0.00328153,0.28502608
-5.53776888,0.50430106,0.32414342,0.05203427,0.33070251,0.06716434,0.00017006,0.03159267,0.00324892,0.28010641
-5.53176588,0.50033789,0.32117203,0.04924294,0.33234414,0.06760607,0.00014535,0.03229221,0.00328693,0.27726003
-5.52576288,0.50006334,0.31966537,0.04709314,0.33412194,0.06915409,0.00012360,0.03306969,0.00339607,0.27625063
-5.51975988,0.50311532,0.31935053,0.04551977,0.33573709,0.07181574,0.00010466,0.03391841,0.00357621,0.27684267
-5.51375688,0.50915163,0.31996540,0.04446032,0.33691999,0.07560104,0.00008841,0.03483728,0.00382644,0.27880646
-5.50775388,0.51785875,0.32126431,0.04385604,0.33743923,0.08052311,0.00007468,0.03583204,0.00414503,0.28192250
-5.50175088,0.52895889,0.32302266,0.04365276,0.33710926,0.08659835,0.00006332,0.03691634,0.00452936,0.28598484
-5.49574787,0.54221524,0.32504041,0.04380159,0.33579643,0.09384649,0.00005420,0.03811271,0.00497584,0.29080345
-5.48974487,0.55743551,0.32714431,0.04425933,0.33342337,0.10229057,0.00004720,0.03945331,0.00547986,0.29620567
-5.48374187,0.57447390,0.32918909,0.04498877,0.32997154,0.11195685,0.00004221,0.04098051,0.00603576,0.30203684
-5.47773887,0.59323176,0.33105744,0.04595874,0.32548201,0.12287482,0.00003918,0.04274729,0.00663681,0.30816015
-5.47173587,0.61365724,0.33265921,0.04714419,0.32005454,0.13507727,0.00003807,0.04481739,0.00727524,0.31445612
-5.46573287,0.63574441,0.33392980,0.04852604,0.31384519,0.14860063,0.00003889,0.04726535,0.00794231,0.32082159
-5.45972986,0.65953210,0.33482819,0.05009111,0.30706257,0.16348549,0.00004170,0.05017638,0.00862841,0.32716881
-5.45372686,0.68510281,0.33533466,0.05183196,0.29996303,0.17977753,0.00004658,0.05364602,0.00932325,0.33342448
-5.44772386,0.71258204,0.33544851,0.05374674,0.29284518,0.19752861,0.00005367,0.05777975,0.01001603,0.33952921
-5.44172086,0.74213812,0.33518605,0.05583902,0.28604373,0.21679830,0.00006315,0.06269243,0.01069570,0.34543726
-5.43571786,0.77398261,0.33457882,0.05811764,0.27992318,0.23765551,0.00007523,0.06850767,0.01135126,0.35111679
-5.42971486,0.80837105,0.33367228,0.06059649,0.27487136,0.26018031,0.00009015,0.07535701,0.01197202,0.35655056
-5.42371186,0.84560405,0.33252496,0.06329425,0.27129309,0.28446573,0.00010820,0.08337906,0.01254797,0.36173692
-5.41770885,0.88602798,0.33120796,0.06623403,0.26960386,0.31061931,0.00012968,0.09271836,0.01307007,0.36669107
-5.41170585,0.93003507,0.32980474,0.06944286,0.27022381,0.33876427,0.00015489,0.10352413,0.01353057,0.37144630
-5.40570285,0.97806214,0.32841104,0.07295101,0.27357170,0.36904002,0.00018416,0.11594865,0.01392322,0.37605500
-5.39969985,1.03058736,0.32713468,0.07679110,0.28005899,0.40160181,0.00021779,0.13014542,0.01424357,0.38058917
-5.39369685,1.08812452,0.32609517,0.08099693,0.29008372,0.43661921,0.00025608,0.14626685,0.01448907,0.38514025
-5.38769385,1.15121418,0.32542270,0.08560217,0.30402430,0.47427328,0.00029929,0.16446150,0.01465918,0.38981797
-5.38169085,1.22041142,0.32525656,0.09063867,0.32223277,0.51475232,0.00034765,0.18487086,0.01475537,0.39474810
-5.37568784,1.29626979,0.32574272,0.09613468,0.34502777,0.55824593,0.00040131,0.20762557,0.01478107,0.40006901
-5.36968484,1.37932173,0.32703052,0.10211286,0.37268688,0.60493756,0.00046038,0.23284110,0.01474151,0.40592704
-5.36368184,1.47005554,0.32926853,0.10858818,0.40543859,0.65499547,0.00052487,0.26061296,0.01464348,0.41247078
-5.35767884,1.56888944,0.33259959,0.11556593,0.44345385,0.70856237,0.00059471,0.29101149,0.01449511,0.41984435
-5.35167584,1.67614379,0.33715519,0.12303971,0.48683745,0.76574403,0.00066974,0.32407629,0.01430547,0.42818013
-5.34567284,1.79201218,0.34304947,0.13098975,0.53561948,0.82659718,0.00074967,0.35981063,0.01408422,0.43759107
-5.33966983,1.91653303,0.35037306,0.13938155,0.58974729,0.89111725,0.00083414,0.39817583,0.01384124,0.44816317
-5.33366683,2.04956292,0.35918714,0.14816494,0.64907825,0.95922658,0.00092266,0.43908608,0.01358627,0.45994841
-5.32766383,2.19075325,0.36951796,0.15727375,0.71337381,1.03076359,0.00101463,0.48240380,0.01332849,0.47295869
