energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
5.66983492,0.45596079,0.00707184,0.17488479,0.08951038,0.01483032,0.30520448,0.10437673,0.12483540,0.00000000
5.67583792,0.48641865,0.00788636,0.18629818,0.09779789,0.01596566,0.32170945,0.11111463,0.13467891,0.00000000
5.68184092,0.51733392,0.00883571,0.19782785,0.10640610,0.01710007,0.33813731,0.11778496,0.14459779,0.00000000
5.68784392,0.54847204,0.00992133,0.20938559,0.11526509,0.01822185,0.35434470,0.12431198,0.15448436,0.00000000
5.69384692,0.57959732,0.01114302,0.22088389,0.12429943,0.01931911,0.37019768,0.13062171,0.16422841,0.00000000
5.69984992,0.61047371,0.01249841,0.23223634,0.13342887,0.02038000,0.38557207,0.13664324,0.17371912,0.00000000
5.70585293,0.64086508,0.01398262,0.24335787,0.14256918,0.02139286,0.40035332,0.14230992,0.18284707,0.00000000
5.71185593,0.67053524,0.01558790,0.25416476,0.15163313,0.02234649,0.41443574,0.14756041,0.19150622,0.00000000
5.71785893,0.69924776,0.01730328,0.26457463,0.16053144,0.02323026,0.42772150,0.15233966,0.19959577,0.00000000
5.72386193,0.72676569,0.01911438,0.27450636,0.16917396,0.02403434,0.44011927,0.15659957,0.20702186,0.00000000
5.72986493,0.75285161,0.02100331,0.28388002,0.17747079,0.02474981,0.45154284,0.16029960,0.21369903,0.00000000
5.73586793,0.77726800,0.02294871,0.29261695,0.18533351,0.02536880,0.46190992,0.16340712,0.21955157,0.00000000
5.74187094,0.79977823,0.02492588,0.30064004,0.19267647,0.02588457,0.47114112,0.16589757,0.22451451,0.00000000
5.74787394,0.82014840,0.02690720,0.30787418,0.19941814,0.02629159,0.47915944,0.16775453,0.22853440,0.00000000
5.75387694,0.83815000,0.02886256,0.31424715,0.20548243,0.02658557,0.48589033,0.16896960,0.23156987,0.00000000
5.75987994,0.85356354,0.03076003,0.31969067,0.21080013,0.02676353,0.49126232,0.16954215,0.23359199,0.00000000
