energy_ev,total_up,Bi_p_up,Bi_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,2.96082239,0.37055707,0.02082753,0.51157935,1.80931678,0.02689384,0.98256970
-5.99399700,2.97781395,0.36159302,0.02111493,0.51636301,1.81378003,0.02675570,1.00262545
-5.98799400,2.99885188,0.35334537,0.02140887,0.52234426,1.82054527,0.02665915,1.02399738
-5.98199100,3.02353178,0.34581246,0.02171047,0.52939466,1.82942376,0.02661647,1.04638765
-5.97598799,3.05135035,0.33896899,0.02202019,0.53734675,1.84017642,0.02663916,1.06947370
-5.96998499,3.08170650,0.33276773,0.02233778,0.54599874,1.85251218,0.02673736,1.09291154
-5.96398199,3.11390506,0.32714169,0.02266207,0.55512052,1.86608737,0.02691922,1.11633996
-5.95797899,3.14716385,0.32200688,0.02299095,0.56446081,1.88050691,0.02719032,1.13938559
-5.95197599,3.18062445,0.31726559,0.02332125,0.57375523,1.89532753,0.02755318,1.16166892
-5.94597299,3.21336711,0.31281001,0.02364876,0.58273506,1.91006342,0.02800679,1.18281123
-5.93996998,3.24442959,0.30852633,0.02396831,0.59113632,1.92419450,0.02854638,1.20244237
-5.93396698,3.27282968,0.30429893,0.02427384,0.59870892,1.93717718,0.02916322,1.22020902
-5.92796398,3.29759085,0.30001479,0.02455858,0.60522533,1.94845746,0.02984472,1.23578341
-5.92196098,3.31777002,0.29556769,0.02481528,0.61048868,1.95748592,0.03057459,1.24887184
-5.91595798,3.33248630,0.29086228,0.02503646,0.61433961,1.96373405,0.03133325,1.25922293
-5.90995498,3.34094952,0.28581766,0.02521467,0.61666180,1.96671111,0.03209843,1.26663491
-5.90395198,3.34248695,0.28037039,0.02534283,0.61738581,1.96598076,0.03284583,1.27096170
-5.89794897,3.33656692,0.27447678,0.02541450,0.61649102,1.96117660,0.03355000,1.27211737
-5.89194597,3.32281811,0.26811438,0.02542417,0.61400557,1.95201579,0.03418522,1.27007871
-5.88594297,3.30104325,0.26128248,0.02536750,0.61000437,1.93830995,0.03472653,1.26488556
-5.87993997,3.27122649,0.25400172,0.02524154,0.60460511,1.91997277,0.03515064,1.25663904
-5.87393697,3.23353404,0.24631283,0.02504484,0.59796256,1.89702386,0.03543688,1.24549748
-5.86793397,3.18830770,0.23827440,0.02477759,0.59026142,1.86958862,0.03556803,1.23167023
-5.86193097,3.13605178,0.22996007,0.02444156,0.58170801,1.83789399,0.03553100,1.21540968
-5.85592796,3.07741379,0.22145503,0.02404010,0.57252123,1.80226043,0.03531741,1.19700176
-5.84992496,3.01316008,0.21285216,0.02357796,0.56292323,1.76309035,0.03492390,1.17675535
-5.84392196,2.94414724,0.20424794,0.02306119,0.55313021,1.72085364,0.03435230,1.15499114
-5.83791896,2.87129104,0.19573844,0.02249682,0.54334375,1.67607101,0.03360957,1.13203036
-5.83191596,2.79553405,0.18741542,0.02189266,0.53374316,1.62929584,0.03270751,1.10818399
-5.82591296,2.71781364,0.17936282,0.02125699,0.52447901,1.58109545,0.03166235,1.08374282
-5.81990995,2.63903161,0.17165381,0.02059827,0.51566829,1.53203262,0.03049407,1.05896886
-5.81390695,2.56002687,0.16434849,0.01992484,0.50739115,1.48264805,0.02922569,1.03408841
-5.80790395,2.48155212,0.15749218,0.01924469,0.49968954,1.43344464,0.02788241,1.00928698
-5.80190095,2.40425535,0.15111465,0.01856516,0.49256748,1.38487391,0.02649066,0.98470631
-5.79589795,2.32866673,0.14522991,0.01789281,0.48599301,1.33732521,0.02507724,0.96044337
-5.78989495,2.25519100,0.13983676,0.01723324,0.47990164,1.29111789,0.02366833,0.93655143
-5.78389195,2.18410544,0.13491997,0.01659097,0.47420092,1.24649657,0.02228875,0.91304290
-5.77788894,2.11556302,0.13045187,0.01596942,0.46877601,1.20362948,0.02096110,0.88989380
-5.77188594,2.04960016,0.12639442,0.01537089,0.46349579,1.16260979,0.01970524,0.86704944
-5.76588294,1.98614850,0.12270144,0.01479663,0.45821924,1.12345946,0.01853773,0.84443111
-5.75987994,1.92504980,0.11932099,0.01424687,0.45280189,1.08613556,0.01747152,0.82194331
-5.75387694,1.86607313,0.11619775,0.01372098,0.44710179,1.05053833,0.01651583,0.79948120
-5.74787394,1.80893344,0.11327529,0.01321757,0.44098514,1.01652075,0.01567608,0.77693792
-5.74187094,1.75331067,0.11049809,0.01273468,0.43433096,0.98389909,0.01495408,0.75421161
-5.73586793,1.69886870,0.10781340,0.01226990,0.42703515,0.95246400,0.01434833,0.73121160
-5.72986493,1.64527338,0.10517265,0.01182057,0.41901339,0.92199163,0.01385437,0.70786387
-5.72386193,1.59220911,0.10253267,0.01138388,0.41020328,0.89225458,0.01346534,0.68411553
-5.71785893,1.53939364,0.09985650,0.01095707,0.40056546,0.86303222,0.01317256,0.65993811
