energy_ev,total_up,Ir_p_up,Ir_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,2.17817512,0.50305451,1.39615577,0.30320761,0.00000000,0.54166213,0.00000000
-5.99399700,2.12626509,0.50760374,1.35170284,0.30226662,0.00000000,0.53501518,0.00000000
-5.98799400,2.07211046,0.51176288,1.30641702,0.30082023,0.00000000,0.52701599,0.00000000
-5.98199100,2.01596189,0.51534316,1.26058762,0.29876061,0.00000000,0.51770226,0.00000000
-5.97598799,1.95808577,0.51818146,1.21449027,0.29600145,0.00000000,0.50713311,0.00000000
-5.96998499,1.89875825,0.52014063,1.16838243,0.29247905,0.00000000,0.49538664,0.00000000
-5.96398199,1.83825985,0.52110917,1.12250016,0.28815274,0.00000000,0.48255728,0.00000000
-5.95797899,1.77687085,0.52100013,1.07705604,0.28300460,0.00000000,0.46875303,0.00000000
-5.95197599,1.71486730,0.51974955,1.03223810,0.27703854,0.00000000,0.45409261,0.00000000
-5.94597299,1.65251778,0.51731449,0.98820972,0.27027876,0.00000000,0.43870259,0.00000000
-5.93996998,1.59008074,0.51367073,0.94511037,0.26276771,0.00000000,0.42271458,0.00000000
-5.93396698,1.52780261,0.50881036,0.90305711,0.25456356,0.00000000,0.40626255,0.00000000
-5.92796398,1.46591654,0.50273957,0.86214665,0.24573738,0.00000000,0.38948037,0.00000000
-5.92196098,1.40464190,0.49547645,0.82245796,0.23637014,0.00000000,0.37249959,0.00000000
-5.91595798,1.34418459,0.48704929,0.78405535,0.22654967,0.00000000,0.35544758,0.00000000
-5.90995498,1.28473794,0.47749525,0.74699169,0.21636763,0.00000000,0.33844596,0.00000000
-5.90395198,1.22648445,0.46685949,0.71131206,0.20591677,0.00000000,0.32160947,0.00000000
-5.89794897,1.16959804,0.45519484,0.67705720,0.19528843,0.00000000,0.30504527,0.00000000
-5.89194597,1.11424673,0.44256181,0.64426712,0.18457043,0.00000000,0.28885248,0.00000000
-5.88594297,1.06059560,0.42902901,0.61298425,0.17384540,0.00000000,0.27312220,0.00000000
-5.87993997,1.00880968,0.41467366,0.58325638,0.16318956,0.00000000,0.25793772,0.00000000
-5.87393697,0.95905648,0.39958227,0.55513884,0.15267190,0.00000000,0.24337490,0.00000000
-5.86793397,0.91150801,0.38385106,0.52869612,0.14235381,0.00000000,0.22950273,0.00000000
-5.86193097,0.86634183,0.36758617,0.50400249,0.13228907,0.00000000,0.21638386,0.00000000
-5.85592796,0.82374105,0.35090343,0.48114175,0.12252409,0.00000000,0.20407509,0.00000000
-5.84992496,0.78389305,0.33392761,0.46020600,0.11309846,0.00000000,0.19262772,0.00000000
-5.84392196,0.74698690,0.31679100,0.44129336,0.10404557,0.00000000,0.18208772,0.00000000
-5.83791896,0.71320956,0.29963152,0.42450492,0.09539334,0.00000000,0.17249570,0.00000000
-5.83191596,0.68274090,0.28259021,0.40994091,0.08716502,0.00000000,0.16388668,0.00000000
-5.82591296,0.65574794,0.26580822,0.39769638,0.07937989,0.00000000,0.15628966,0.00000000
-5.81990995,0.63237865,0.24942356,0.38785661,0.07205394,0.00000000,0.14972705,0.00000000
-5.81390695,0.61275563,0.23356764,0.38049262,0.06520048,0.00000000,0.14421411,0.00000000
-5.80790395,0.59697021,0.21836182,0.37565705,0.05883063,0.00000000,0.13975833,0.00000000
-5.80190095,0.58507739,0.20391429,0.37338061,0.05295374,0.00000000,0.13635893,0.00000000
-5.79589795,0.57709207,0.19031720,0.37366951,0.04757769,0.00000000,0.13400657,0.00000000
-5.78989495,0.57298678,0.17764450,0.37650398,0.04270918,0.00000000,0.13268328,0.00000000
