energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,2.38351019,0.01139831,0.13923755,0.63361683,0.63243555,0.56138369,0.64178666,0.00902536,0.85198845
-5.99399700,2.48512651,0.01140176,0.15001787,0.65658329,0.66018316,0.59493807,0.66769749,0.00966561,0.88843262
-5.98799400,2.59284893,0.01140644,0.16173849,0.68141435,0.68936154,0.63142747,0.69470969,0.01030975,0.92729892
-5.98199100,2.70608285,0.01141191,0.17432601,0.70805911,0.71981165,0.67054497,0.72270545,0.01094927,0.96838855
-5.97598799,2.82414613,0.01141814,0.18769279,0.73643218,0.75136163,0.71194203,0.75153922,0.01157601,1.01147285
-5.96998499,2.94627152,0.01142537,0.20173751,0.76640986,0.78382840,0.75523039,0.78103796,0.01218238,1.05629367
-5.96398199,3.07161335,0.01143415,0.21634616,0.79782787,0.81701974,0.79998539,0.81100287,0.01276165,1.10256501
-5.95797899,3.19925817,0.01144533,0.23139375,0.83048077,0.85073698,0.84575102,0.84121250,0.01330809,1.14997578
-5.95197599,3.32823881,0.01145998,0.24674638,0.86412326,0.88477794,0.89204641,0.87142720,0.01381722,1.19819363
-5.94597299,3.45755126,0.01147943,0.26226390,0.89847330,0.91893989,0.93837376,0.90139466,0.01428590,1.24686947
-5.93996998,3.58617319,0.01150517,0.27780288,0.93321677,0.95302237,0.98422743,0.93085620,0.01471243,1.29564254
-5.93396698,3.71308306,0.01153888,0.29321990,0.96801351,0.98682950,1.02910375,0.95955350,0.01509656,1.34414548
-5.92796398,3.83727872,0.01158229,0.30837484,1.00250445,1.02017168,1.07251122,0.98723532,0.01543946,1.39200929
-5.92196098,3.95779441,0.01163714,0.32313426,1.03631937,1.05286650,1.11398060,1.01366405,0.01574360,1.43886780
-5.91595798,4.07371530,0.01170505,0.33737449,1.06908496,1.08473875,1.15307447,1.03862145,0.01601257,1.48436134
-5.90995498,4.18418885,0.01178738,0.35098437,1.10043286,1.11561959,1.18939575,1.06191358,0.01625091,1.52813975
-5.90395198,4.28843276,0.01188515,0.36386753,1.13000718,1.14534508,1.22259483,1.08337463,0.01646377,1.56986443
