energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,2.23477922,-2.23477922,0.62459116,-0.62459116,0.71252830,-0.71252829,0.00351746,-0.00351746,0.32440311,-0.32440312,1.00716819,-1.00716819,0.00000000,-0.00000000,0.45956258,-0.45956258,0.14691517,-0.14691517
-5.99399700,2.25264602,-2.25264602,0.62326506,-0.62326506,0.71514463,-0.71514463,0.00391222,-0.00391222,0.31155081,-0.31155082,1.03399416,-1.03399416,0.00000000,-0.00000000,0.47504839,-0.47504839,0.15254390,-0.15254390
-5.98799400,2.27139408,-2.27139408,0.62175433,-0.62175433,0.71856953,-0.71856952,0.00432440,-0.00432440,0.29946678,-0.29946678,1.06028754,-1.06028754,0.00000000,-0.00000000,0.49059222,-0.49059222,0.15823224,-0.15823224
-5.98199100,2.29019691,-2.29019691,0.61990516,-0.61990516,0.72252874,-0.72252874,0.00474943,-0.00474943,0.28813242,-0.28813242,1.08555324,-1.08555324,0.00000000,-0.00000000,0.50589787,-0.50589787,0.16389705,-0.16389705
-5.97598799,2.30807772,-2.30807771,0.61754514,-0.61754514,0.72668436,-0.72668436,0.00518198,-0.00518198,0.27749549,-0.27749549,1.10924920,-1.10924920,0.00000000,-0.00000000,0.52064315,-0.52064315,0.16944417,-0.16944417
-5.96998499,2.32394901,-2.32394901,0.61449170,-0.61449170,0.73064965,-0.73064965,0.00561605,-0.00561605,0.26747656,-0.26747656,1.13080305,-1.13080305,0.00000000,-0.00000000,0.53448953,-0.53448953,0.17477079,-0.17477079
-5.96398199,2.33665730,-2.33665729,0.61056061,-0.61056061,0.73400600,-0.73400600,0.00604509,-0.00604509,0.25797613,-0.25797613,1.14963085,-1.14963085,0.00000000,-0.00000000,0.54709280,-0.54709280,0.17976839,-0.17976839
-5.95797899,2.34503069,-2.34503069,0.60557428,-0.60557427,0.73632111,-0.73632110,0.00646212,-0.00646212,0.24888205,-0.24888205,1.16515709,-1.16515709,0.00000000,-0.00000000,0.55811407,-0.55811407,0.18432591,-0.18432591
-5.95197599,2.34792741,-2.34792741,0.59936926,-0.59936926,0.73716758,-0.73716758,0.00685995,-0.00685995,0.24007677,-0.24007677,1.17683515,-1.17683515,0.00000000,-0.00000000,0.56723100,-0.56723100,0.18833331,-0.18833331
-5.94597299,2.34428296,-2.34428296,0.59180310,-0.59180310,0.73614115,-0.73614115,0.00723136,-0.00723136,0.23144424,-0.23144424,1.18416731,-1.18416731,0.00000000,-0.00000000,0.57414855,-0.57414855,0.19168514,-0.19168513
-5.93996998,2.33315386,-2.33315386,0.58275986,-0.58275986,0.73287759,-0.73287759,0.00756930,-0.00756930,0.22287604,-0.22287605,1.18672333,-1.18672333,0.00000000,-0.00000000,0.57860891,-0.57860891,0.19428409,-0.19428408
-5.93396698,2.31375621,-2.31375621,0.57215464,-0.57215464,0.72706770,-0.72706770,0.00786712,-0.00786712,0.21427665,-0.21427665,1.18415701,-1.18415701,0.00000000,-0.00000000,0.58040028,-0.58040029,0.19604436,-0.19604436
-5.92796398,2.28549740,-2.28549741,0.55993662,-0.55993662,0.71846963,-0.71846963,0.00811880,-0.00811880,0.20556750,-0.20556750,1.17621977,-1.17621977,0.00000000,-0.00000000,0.57936407,-0.57936407,0.19689466,-0.19689466
-5.92196098,2.24799980,-2.24799980,0.54609090,-0.54609090,0.70691822,-0.70691822,0.00831913,-0.00831913,0.19668992,-0.19668992,1.16277086,-1.16277086,0.00000000,-0.00000000,0.57540022,-0.57540022,0.19678077,-0.19678077
-5.91595798,2.20111557,-2.20111557,0.53063902,-0.53063902,0.69233083,-0.69233083,0.00846392,-0.00846392,0.18760683,-0.18760683,1.14378366,-1.14378366,0.00000000,-0.00000000,0.56847059,-0.56847059,0.19566748,-0.19566748
-5.90995498,2.14493235,-2.14493236,0.51363831,-0.51363831,0.67470975,-0.67470976,0.00855012,-0.00855012,0.17830322,-0.17830322,1.11934791,-1.11934792,0.00000000,-0.00000000,0.55860018,-0.55860018,0.19353992,-0.19353992
-5.90395198,2.07976978,-2.07976979,0.49518012,-0.49518012,0.65414104,-0.65414105,0.00857598,-0.00857598,0.16878553,-0.16878553,1.08966783,-1.08966784,0.00000000,-0.00000000,0.54587618,-0.54587619,0.19040417,-0.19040417
