energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.77473756,1.38592993,2.02253735,0.00838373,0.55803266,1.10853995,0.00000000,0.57927344,0.23555308
-5.99399700,3.70342356,1.36838906,1.97342846,0.00836049,0.53768871,1.10490387,0.00000000,0.58212334,0.23570628
-5.98799400,3.62024095,1.34723881,1.91901403,0.00828423,0.51700511,1.09555942,0.00000000,0.58177082,0.23461693
-5.98199100,3.52614687,1.32258571,1.86000757,0.00815791,0.49623549,1.08055739,0.00000000,0.57814463,0.23229320
-5.97598799,3.42225035,1.29461527,1.79714722,0.00798579,0.47561096,1.06007140,0.00000000,0.57124626,0.22877198
-5.96998499,3.30978844,1.26358181,1.73118047,0.00777330,0.45533448,1.03439495,0.00000000,0.56115073,0.22411839
-5.96398199,3.19010013,1.22979717,1.66284954,0.00752689,0.43557677,1.00393462,0.00000000,0.54800496,0.21842441
-5.95797899,3.06459815,1.19361873,1.59287791,0.00725389,0.41647360,0.96919969,0.00000000,0.53202360,0.21180669
-5.95197599,2.93473969,1.15543701,1.52195809,0.00696222,0.39812465,0.93078851,0.00000000,0.51348265,0.20440338
-5.94597299,2.80199643,1.11566318,1.45074094,0.00666025,0.38059371,0.88937198,0.00000000,0.49271100,0.19637045
-5.93996998,2.66782480,1.07471688,1.37982661,0.00635652,0.36391023,0.84567488,0.00000000,0.47008024,0.18787724
-5.93396698,2.53363737,1.03301477,1.30975749,0.00605949,0.34807200,0.80045573,0.00000000,0.44599325,0.17910167
-5.92796398,2.40077605,0.99095998,1.24101293,0.00577736,0.33304886,0.75448580,0.00000000,0.42087194,0.17022523
-5.92196098,2.27048809,0.94893292,1.17400615,0.00551782,0.31878713,0.70852826,0.00000000,0.39514481,0.16142787
-5.91595798,2.14390540,0.90728357,1.10908302,0.00528786,0.30521462,0.66331817,0.00000000,0.36923464,0.15288298
-5.90995498,2.02202790,0.86632552,1.04652287,0.00509363,0.29224593,0.61954389,0.00000000,0.34354691,0.14475280
-5.90395198,1.90571118,0.82633169,0.98654103,0.00494027,0.27978792,0.57783076,0.00000000,0.31845944,0.13718410
-5.89794897,1.79565878,0.78753190,0.92929294,0.00483186,0.26774497,0.53872739,0.00000000,0.29431335,0.13030468
-5.89194597,1.69241897,0.75011207,0.87487956,0.00477127,0.25602398,0.50269499,0.00000000,0.27140593,0.12422039
-5.88594297,1.59638592,0.71421500,0.82335379,0.00476021,0.24453878,0.47009993,0.00000000,0.24998531,0.11901302
-5.87993997,1.50780488,0.67994242,0.77472745,0.00479918,0.23321399,0.44120970,0.00000000,0.23024721,0.11473902
-5.87393697,1.42678092,0.64735820,0.72897855,0.00488752,0.22198795,0.41619211,0.00000000,0.21233361,0.11142902
-5.86793397,1.35329050,0.61649226,0.68605856,0.00502348,0.21081496,0.39511762,0.00000000,0.19633333,0.10908816
-5.86193097,1.28719539,0.58734512,0.64589921,0.00520432,0.19966651,0.37796444,0.00000000,0.18228430,0.10769723
-5.85592796,1.22825808,0.55989264,0.60841864,0.00542640,0.18853163,0.36462611,0.00000000,0.17017733,0.10721441
-5.84992496,1.17615814,0.53409092,0.57352682,0.00568536,0.17741652,0.35492105,0.00000000,0.15996106,0.10757771
-5.84392196,1.13050883,0.50988093,0.54112984,0.00597628,0.16634327,0.34860357,0.00000000,0.15154786,0.10870776
-5.83791896,1.09087353,0.48719300,0.51113328,0.00629383,0.15534809,0.34537598,0.00000000,0.14482032,0.11051106
-5.83191596,1.05678131,0.46595086,0.48344450,0.00663248,0.14447892,0.34490112,0.00000000,0.13963810,0.11288341
-5.82591296,1.02774151,0.44607523,0.45797398,0.00698665,0.13379279,0.34681499,0.00000000,0.13584479,0.11571337
-5.81990995,1.00325696,0.42748701,0.43463593,0.00735095,0.12335297,0.35073897,0.00000000,0.13327461,0.11888583
-5.81390695,0.98283559,0.41010994,0.41334806,0.00772031,0.11322605,0.35629123,0.00000000,0.13175870,0.12228528
-5.80790395,0.96600045,0.39387291,0.39403109,0.00809015,0.10347920,0.36309719,0.00000000,0.13113075,0.12579892
-5.80190095,0.95229807,0.37871178,0.37660784,0.00845653,0.09417760,0.37079857,0.00000000,0.13123206,0.12931942
-5.79589795,0.94130519,0.36457085,0.36100226,0.00881627,0.08538226,0.37906099,0.00000000,0.13191564,0.13274721
-5.78989495,0.93263399,0.35140400,0.34713858,0.00916702,0.07714822,0.38758006,0.00000000,0.13304957,0.13599246
-5.78389195,0.92593583,0.33917545,0.33494062,0.00950734,0.06952320,0.39608590,0.00000000,0.13451943,0.13897644
-5.77788894,0.92090380,0.32786020,0.32433149,0.00983669,0.06254667,0.40434609,0.00000000,0.13622991,0.14163250
-5.77188594,0.91727413,0.31744421,0.31523357,0.01015547,0.05624942,0.41216738,0.00000000,0.13810560,0.14390661
-5.76588294,0.91482668,0.30792413,0.30756903,0.01046489,0.05065343,0.41939595,0.00000000,0.14009102,0.14575750
-5.75987994,0.91338459,0.29930682,0.30126064,0.01076697,0.04577219,0.42591686,0.00000000,0.14215007,0.14715637
-5.75387694,0.91281339,0.29160853,0.29623303,0.01106434,0.04161114,0.43165245,0.00000000,0.14426481,0.14808646
-5.74787394,0.91301954,0.28485365,0.29241414,0.01136016,0.03816840,0.43656029,0.00000000,0.14643385,0.14854232
-5.74187094,0.91394855,0.27907337,0.28973697,0.01165791,0.03543553,0.44063055,0.00000000,0.14867037,0.14852892
-5.73586793,0.91558291,0.27430391,0.28814127,0.01196121,0.03339840,0.44388327,0.00000000,0.15099979,0.14806075
-5.72986493,0.91793962,0.27058465,0.28757536,0.01227361,0.03203793,0.44636540,0.00000000,0.15345733,0.14716088
-5.72386193,0.92106759,0.26795610,0.28799761,0.01259839,0.03133081,0.44814793,0.00000000,0.15608543,0.14586001
-5.71785893,0.92504477,0.26645781,0.28937786,0.01293833,0.03125009,0.44932311,0.00000000,0.15893117,0.14419558
-5.71185593,0.92997518,0.26612634,0.29169830,0.01329551,0.03176567,0.45000175,0.00000000,0.16204366,0.14221100
-5.70585293,0.93598560,0.26699329,0.29495405,0.01367118,0.03284457,0.45031068,0.00000000,0.16547161,0.13995490
-5.69984992,0.94322219,0.26908368,0.29915325,0.01406550,0.03445125,0.45039037,0.00000000,0.16926102,0.13748043
-5.69384692,0.95184684,0.27241449,0.30431665,0.01447752,0.03654767,0.45039255,0.00000000,0.17345307,0.13484468
-5.68784392,0.96203355,0.27699376,0.31047673,0.01490502,0.03909342,0.45047798,0.00000000,0.17808232,0.13210806
-5.68184092,0.97396461,0.28281997,0.31767647,0.01534453,0.04204586,0.45081413,0.00000000,0.18317515,0.12933370
-5.67583792,0.98782696,0.28988211,0.32596773,0.01579129,0.04536019,0.45157297,0.00000000,0.18874869,0.12658692
-5.66983492,1.00380874,0.29816013,0.33540943,0.01623937,0.04898973,0.45292865,0.00000000,0.19481001,0.12393456
-5.66383192,1.02209614,0.30762595,0.34606557,0.01668181,0.05288620,0.45505519,0.00000000,0.20135589,0.12144437
-5.65782891,1.04287081,0.31824495,0.35800336,0.01711074,0.05700029,0.45812429,0.00000000,0.20837297,0.11918438
-5.65182591,1.06630782,0.32997784,0.37129136,0.01751772,0.06128219,0.46230303,0.00000000,0.21583845,0.11722224
-5.64582291,1.09257440,0.34278280,0.38599797,0.01789397,0.06568242,0.46775189,0.00000000,0.22372122,0.11562461
-5.63981991,1.12182941,0.35661785,0.40219014,0.01823072,0.07015275,0.47462276,0.00000000,0.23198354,0.11445654
-5.63381691,1.15422363,0.37144314,0.41993258,0.01851957,0.07464718,0.48305731,0.00000000,0.24058299,0.11378095
-5.62781391,1.18990057,0.38722318,0.43928723,0.01875287,0.07912301,0.49318547,0.00000000,0.24947492,0.11365820
-5.62181091,1.22899792,0.40392875,0.46031318,0.01892409,0.08354193,0.50512428,0.00000000,0.25861500,0.11414567
-5.61580790,1.27164912,0.42153829,0.48306676,0.01902815,0.08787107,0.51897688,0.00000000,0.26796193,0.11529752
-5.60980490,1.31798488,0.44003877,0.50760187,0.01906177,0.09208385,0.53483176,0.00000000,0.27748015,0.11716444
-5.60380190,1.36813415,0.45942582,0.53397019,0.01902368,0.09616080,0.55276204,0.00000000,0.28714232,0.11979353
-5.59779890,1.42222427,0.47970305,0.56222124,0.01891484,0.10009007,0.57282481,0.00000000,0.29693141,0.12322807
-5.59179590,1.48037975,0.50088057,0.59240196,0.01873855,0.10386764,0.59506038,0.00000000,0.30684237,0.12750739
-5.58579290,1.54271936,0.52297267,0.62455569,0.01850040,0.10749732,0.61949129,0.00000000,0.31688300,0.13266649
-5.57978989,1.60935114,0.54599473,0.65872025,0.01820828,0.11099039,0.64612097,0.00000000,0.32707419,0.13873564
-5.57378689,1.68036526,0.56995941,0.69492514,0.01787209,0.11436486,0.67493204,0.00000000,0.33744908,0.14573964
-5.56778389,1.75582437,0.59487238,0.73318756,0.01750354,0.11764445,0.70588406,0.00000000,0.34805143,0.15369692
-5.56178089,1.83575178,0.62072749,0.77350739,0.01711571,0.12085733,0.73891077,0.00000000,0.35893301,0.16261829
-5.55577789,1.92011749,0.64750194,0.81586110,0.01672267,0.12403449,0.77391692,0.00000000,0.37015001,0.17250544
-5.54977489,2.00882257,0.67515128,0.86019475,0.01633893,0.12720800,0.81077463,0.00000000,0.38175875,0.18334909
-5.54377189,2.10168250,0.70360472,0.90641641,0.01597890,0.13040912,0.84931958,0.00000000,0.39381072,0.19512701
-5.53776888,2.19841026,0.73276090,0.95438819,0.01565637,0.13366630,0.88934712,0.00000000,0.40634718,0.20780181
-5.53176588,2.29860003,0.76248425,1.00391853,0.01538392,0.13700324,0.93060868,0.00000000,0.41939361,0.22131877
-5.52576288,2.40171261,0.79260233,1.05475507,0.01517243,0.14043708,0.97280875,0.00000000,0.43295430,0.23560371
-5.51975988,2.50706369,0.82290414,1.10657870,0.01503059,0.14397664,1.01560275,0.00000000,0.44700730,0.25056119
-5.51375688,2.61381608,0.85313974,1.15899950,0.01496451,0.14762111,1.05859624,0.00000000,0.46150019,0.26607309
-5.50775388,2.72097698,0.88302127,1.21155487,0.01497746,0.15135889,1.10134575,0.00000000,0.47634687,0.28199787
-5.50175088,2.82740123,0.91222544,1.26371057,0.01506960,0.15516691,1.14336158,0.00000000,0.49142566,0.29817053
-5.49574787,2.93180140,0.94039764,1.31486498,0.01523801,0.15901042,1.18411287,0.00000000,0.50657901,0.31440359
-5.48974487,3.03276510,0.96715764,1.36435685,0.01547662,0.16284318,1.22303502,0.00000000,0.52161490,0.33048899
-5.48374187,3.12877975,0.99210692,1.41147665,0.01577646,0.16660821,1.25953962,0.00000000,0.53631000,0.34620119
-5.47773887,3.21826458,1.01483746,1.45548151,0.01612592,0.17023896,1.29302675,0.00000000,0.55041479,0.36130126
-5.47173587,3.29960925,1.03494186,1.49561330,0.01651111,0.17366107,1.32289945,0.00000000,0.56366022,0.37554211
-5.46573287,3.37121809,1.05202458,1.53111962,0.01691639,0.17679441,1.34857997,0.00000000,0.57576601,0.38867453
-5.45972986,3.43155848,1.06571400,1.56127668,0.01732486,0.17955559,1.36952736,0.00000000,0.58645016,0.40045404
-5.45372686,3.47921161,1.07567478,1.58541350,0.01771901,0.18186071,1.38525570,0.00000000,0.59543928,0.41064820
