energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,1.20076900,-1.02677365,0.00997528,-0.01175853,0.03084486,-0.02223081,0.27310355,-0.20431885,0.16212902,-0.12657840,0.02401164,-0.02416213,0.71147367,-0.61112818,0.28484987,-0.24237124,0.15128246,-0.13349696
-5.99399700,1.24585406,-1.05657676,0.00959001,-0.01146493,0.03305482,-0.02383373,0.29157501,-0.21783607,0.17057536,-0.13138753,0.02376175,-0.02419921,0.73832913,-0.62908022,0.29747872,-0.24907998,0.15496894,-0.13703887
-5.98799400,1.29271685,-1.08915667,0.00918581,-0.01112684,0.03533186,-0.02558193,0.31068776,-0.23250967,0.17952285,-0.13690267,0.02343733,-0.02414481,0.76625703,-0.64867181,0.31102070,-0.25697952,0.15855067,-0.14048289
-5.98199100,1.34100257,-1.12445609,0.00876797,-0.01075002,0.03765012,-0.02746207,0.33026442,-0.24826282,0.18889728,-0.14310936,0.02304693,-0.02400219,0.79505719,-0.66987857,0.32536905,-0.26605239,0.16202120,-0.14383912
-5.97598799,1.39031681,-1.16236455,0.00834160,-0.01034067,0.03998230,-0.02945744,0.35011502,-0.26499388,0.19861621,-0.14998149,0.02259973,-0.02377666,0.82450558,-0.69264506,0.34040591,-0.27626154,0.16537148,-0.14711758
-5.96998499,1.44023304,-1.20271506,0.00791156,-0.00990522,0.04230038,-0.03154820,0.37004174,-0.28257764,0.20859062,-0.15748097,0.02210513,-0.02347521,0.85435853,-0.71688249,0.35600507,-0.28755104,0.16858979,-0.15032684
-5.96398199,1.49030220,-1.24528245,0.00748234,-0.00945015,0.04457632,-0.03371180,0.38984406,-0.30086739,0.21872701,-0.16555786,0.02157238,-0.02310612,0.88435823,-0.74246753,0.37203487,-0.29984708,0.17166208,-0.15347282
-5.95797899,1.54006421,-1.28978404,0.00705794,-0.00898186,0.04678279,-0.03592344,0.40932424,-0.31969779,0.22892973,-0.17415077,0.02101025,-0.02267846,0.91423939,-0.76924234,0.38836138,-0.31305951,0.17457254,-0.15655788
-5.95197599,1.58906094,-1.33588271,0.00664187,-0.00850645,0.04889391,-0.03815668,0.42829279,-0.33888861,0.23910360,-0.18318773,0.02042676,-0.02220172,0.94373683,-0.79701614,0.40485166,-0.32708379,0.17730450,-0.15958010
-5.94597299,1.63685022,-1.38319268,0.00623704,-0.00802965,0.05088591,-0.04038414,0.44657386,-0.35824916,0.24915671,-0.19258748,0.01982904,-0.02168537,0.97259374,-0.82556838,0.42137712,-0.34180337,0.17984162,-0.16253305
-5.93996998,1.68302016,-1.43128798,0.00584578,-0.00755666,0.05273772,-0.04257814,0.46401016,-0.37758333,0.25900318,-0.20226124,0.01922320,-0.02113845,1.00057018,-0.85465357,0.43781664,-0.35709256,0.18216918,-0.16540586
-5.93396698,1.72720317,-1.47971344,0.00546986,-0.00709203,0.05443149,-0.04471151,0.48046722,-0.39669497,0.26856595,-0.21211482,0.01861434,-0.02056935,1.02745149,-0.88400764,0.45405955,-0.37281962,0.18427560,-0.16818376
