energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,11.23835125,1.35081737,4.36700168,0.05595171,1.20270712,2.21869344,3.45319786,1.40827295,0.00000000
-5.99399700,11.52522256,1.38576342,4.46828073,0.05723723,1.23762753,2.29297977,3.55463158,1.44193292,0.00000000
-5.98799400,11.79224427,1.41919105,4.56931544,0.05837419,1.26910058,2.36459034,3.64488933,1.47271247,0.00000000
-5.98199100,12.03395528,1.45001692,4.66832446,0.05933419,1.29663736,2.43226940,3.72205259,1.49954867,0.00000000
-5.97598799,12.24508123,1.47722933,4.76331678,0.06009034,1.31979753,2.49483157,3.78440355,1.52147941,0.00000000
-5.96998499,12.42065553,1.49991162,4.85213541,0.06061820,1.33819850,2.55117834,3.83047135,1.53766620,0.00000000
-5.96398199,12.55613838,1.51726318,4.93251221,0.06089658,1.35152301,2.60031254,3.85907153,1.54741363,0.00000000
-5.95797899,12.64752942,1.52861696,5.00213154,0.06090835,1.35952509,2.64135061,3.86933719,1.55018467,0.00000000
-5.95197599,12.69147029,1.53345305,5.05870055,0.06064109,1.36203413,2.67353267,3.86074079,1.54561129,0.00000000
-5.94597299,12.68533341,1.53140791,5.10002305,0.06008755,1.35895727,2.69623011,3.83310605,1.53349996,0.00000000
-5.93996998,12.62729384,1.52227887,5.12407407,0.05924602,1.35027991,2.70895109,3.78660936,1.51383195,0.00000000
-5.93396698,12.51638169,1.50602390,5.12907168,0.05812043,1.33606454,2.71134385,3.72177126,1.48675841,0.00000000
-5.92796398,12.35251334,1.48275698,5.11354314,0.05672033,1.31644813,2.70319818,3.63943827,1.45259066,0.00000000
-5.92196098,12.13650037,1.45273917,5.07638224,0.05506059,1.29163805,2.68444526,3.54075610,1.41178613,0.00000000
-5.91595798,11.87003590,1.41636617,5.01689534,0.05316105,1.26190693,2.65515602,3.42713567,1.36493071,0.00000000
-5.90995498,11.55565907,1.37415291,4.93483408,0.05104585,1.22758656,2.61553828,3.30021311,1.31271826,0.00000000
-5.90395198,11.19669867,1.32671592,4.83041306,0.04874279,1.18906100,2.56593275,3.16180573,1.25592835,0.00000000
-5.89794897,10.79719810,1.27475435,4.70431190,0.04628249,1.14675927,2.50680798,3.01386547,1.19540294,0.00000000
-5.89194597,10.36182420,1.21903030,4.55766150,0.04369754,1.10114751,2.43875425,2.85843161,1.13202316,0.00000000
-5.88594297,9.89576294,1.16034933,4.39201515,0.04102159,1.05272112,2.36247632,2.69758436,1.06668695,0.00000000
-5.87993997,9.40460535,1.09954165,4.20930579,0.03828847,1.00199668,2.27878501,2.53340073,1.00028816,0.00000000
