energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.62205018,0.11201044,0.00000000,0.00650029,1.73733676,1.56023978,1.05697927
-5.99399700,2.74943388,0.11477006,0.00000000,0.00660898,1.83324774,1.64980510,1.10688180
-5.98799400,2.88285920,0.11752661,0.00000000,0.00668261,1.93482959,1.74483590,1.15895293
-5.98199100,3.02257650,0.12024975,0.00000000,0.00671952,2.04244470,1.84563843,1.21341062
-5.97598799,3.16903669,0.12291304,0.00000000,0.00671893,2.15657542,1.95262365,1.27058454
-5.96998499,3.32287983,0.12549423,0.00000000,0.00668092,2.27781237,2.06629784,1.33091210
-5.96398199,3.48491199,0.12797535,0.00000000,0.00660644,2.40683466,2.18724644,1.39492889
-5.95797899,3.65607019,0.13034261,0.00000000,0.00649724,2.54438236,2.31611071,1.46325303
-5.95197599,3.83737590,0.13258606,0.00000000,0.00635576,2.69122124,2.45355755,1.53656383
-5.94597299,4.02987787,0.13469917,0.00000000,0.00618506,2.84810066,2.60024271,1.61557481
-5.93996998,4.23458598,0.13667813,0.00000000,0.00598866,3.01570562,2.75676843,1.70100191
-5.93396698,4.45239810,0.13852108,0.00000000,0.00577044,3.19460435,2.92363662,1.79352746
-5.92796398,4.68402248,0.14022720,0.00000000,0.00553447,3.38519338,3.10119912,1.89376111
-5.92196098,4.92989869,0.14179576,0.00000000,0.00528487,3.58764204,3.28960697,2.00219892
-5.91595798,5.19012045,0.14322521,0.00000000,0.00502571,3.80183876,3.48876082,2.11918196
-5.90995498,5.46436382,0.14451226,0.00000000,0.00476087,4.02734169,3.69826477,2.24485621
-5.90395198,5.75182445,0.14565117,0.00000000,0.00449395,4.26333608,3.91738608,2.37913524
-5.89794897,6.05116731,0.14663318,0.00000000,0.00422820,4.50860108,4.14502321,2.52166752
-5.89194597,6.36049229,0.14744617,0.00000000,0.00396645,4.76148817,4.37968435,2.67181021
-5.88594297,6.67731859,0.14807454,0.00000000,0.00371109,5.01991336,4.61947868,2.82861085
-5.87993997,6.99859010,0.14849947,0.00000000,0.00346404,5.28136483,4.86212183,2.99079874
-5.87393697,7.32070355,0.14869934,0.00000000,0.00322681,5.54292721,5.10495684,3.15678705
-5.86793397,7.63955998,0.14865048,0.00000000,0.00300044,5.80132292,5.34499124,3.32468666
-5.86193097,7.95063947,0.14832816,0.00000000,0.00278563,6.05297056,5.57894998,3.49233225
-5.85592796,8.24909776,0.14770773,0.00000000,0.00258274,6.29405932,5.80334368,3.65732071
-5.84992496,8.52988243,0.14676596,0.00000000,0.00239184,6.52063773,6.01455027,3.81706116
-5.84392196,8.78786532,0.14548237,0.00000000,0.00221281,6.72871420,6.20890800,3.96883578
