energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,2.89059009,0.02416268,0.22061986,0.01438576,0.00000000,0.43866067,0.37156789,0.04301058,1.23475777
-5.99399700,3.06377494,0.02544586,0.23725565,0.01513143,0.00000000,0.45776640,0.40265897,0.04642399,1.30078579
-5.98799400,3.24480145,0.02676052,0.25493556,0.01592336,0.00000000,0.47743800,0.43530336,0.05004777,1.36921624
-5.98199100,3.43237194,0.02809754,0.27353032,0.01675627,0.00000000,0.49754305,0.46925561,0.05385417,1.43956421
-5.97598799,3.62477266,0.02944538,0.29286658,0.01762263,0.00000000,0.51790246,0.50420423,0.05780649,1.51119276
-5.96998499,3.81988316,0.03079002,0.31272816,0.01851268,0.00000000,0.53829120,0.53977334,0.06185934,1.58331589
-5.96398199,4.01520335,0.03211518,0.33285901,0.01941461,0.00000000,0.55844128,0.57552714,0.06595934,1.65500824
-5.95797899,4.20789823,0.03340249,0.35296802,0.02031474,0.00000000,0.57804671,0.61097697,0.07004609,1.72522137
-5.95197599,4.39485992,0.03463192,0.37273548,0.02119792,0.00000000,0.59677056,0.64559117,0.07405353,1.79280670
-5.94597299,4.57278523,0.03578217,0.39182108,0.02204791,0.00000000,0.61425381,0.67880729,0.07791163,1.85654433
-5.93996998,4.73826641,0.03683132,0.40987313,0.02284781,0.00000000,0.63012583,0.71004645,0.08154831,1.91517700
-5.93396698,4.88789194,0.03775738,0.42653876,0.02358063,0.00000000,0.64401594,0.73872940,0.08489155,1.96744787
-5.92796398,5.01835347,0.03853908,0.44147464,0.02422975,0.00000000,0.65556572,0.76429358,0.08787163,2.01214075
-5.92196098,5.12655445,0.03915651,0.45435779,0.02477953,0.00000000,0.66444154,0.78621063,0.09042338,2.04812110
-5.91595798,5.20971606,0.03959187,0.46489615,0.02521576,0.00000000,0.67034670,0.80400349,0.09248829,2.07437601
-5.90995498,5.26547554,0.03983015,0.47283824,0.02552617,0.00000000,0.67303272,0.81726252,0.09401657,2.09005135
-5.90395198,5.29197265,0.03985973,0.47798175,0.02570084,0.00000000,0.67230918,0.82565975,0.09496883,2.09448446
-5.89794897,5.28792014,0.03967286,0.48018046,0.02573255,0.00000000,0.66805173,0.82896068,0.09531747,2.08723071
-5.89194597,5.25265509,0.03926606,0.47934937,0.02561701,0.00000000,0.66020788,0.82703310,0.09504770,2.06808281
-5.88594297,5.18616865,0.03864036,0.47546765,0.02535302,0.00000000,0.64880022,0.81985246,0.09415803,2.03708177
-5.87993997,5.08911278,0.03780132,0.46857946,0.02494252,0.00000000,0.63392698,0.80750349,0.09266038,1.99451909
-5.87393697,4.96278385,0.03675903,0.45879250,0.02439055,0.00000000,0.61576004,0.79017818,0.09057969,1.94093004
-5.86793397,4.80908385,0.03552776,0.44627440,0.02370503,0.00000000,0.59454016,0.76816997,0.08795302,1.87707840
-5.86193097,4.63046134,0.03412565,0.43124727,0.02289659,0.00000000,0.57057012,0.74186461,0.08482838,1.80393335
-5.85592796,4.42983480,0.03257414,0.41398041,0.02197816,0.00000000,0.54420571,0.71172814,0.08126312,1.72263964
-5.84992496,4.21050238,0.03089737,0.39478190,0.02096464,0.00000000,0.51584528,0.67829237,0.07732205,1.63448260
