energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,10.61597701,0.04137907,0.00000000,0.04516514,0.61633808,3.26368405,5.07584857,0.15535555,4.25576849
-5.99399700,10.70050690,0.04219951,0.00000000,0.04447975,0.62937686,3.29655497,5.12987775,0.15845475,4.27871003
-5.98799400,10.76566956,0.04297500,0.00000000,0.04390328,0.64248182,3.32382008,5.17338852,0.16117500,4.29237095
-5.98199100,10.81073831,0.04369426,0.00000000,0.04342652,0.65553525,3.34507976,5.20624456,0.16345719,4.29647113
-5.97598799,10.83539580,0.04434854,0.00000000,0.04303848,0.66843866,3.36008834,5.22850307,0.16525246,4.29090796
-5.96998499,10.83975155,0.04493197,0.00000000,0.04272690,0.68111686,3.36876499,5.24041143,0.16652421,4.27576388
-5.96398199,10.82434548,0.04544175,0.00000000,0.04247873,0.69352064,3.37119824,5.24239868,0.16724974,4.25130819
-5.95797899,10.79013671,0.04587829,0.00000000,0.04228062,0.70562794,3.36764355,5.23506212,0.16742131,4.21799278
-5.95197599,10.73847768,0.04624519,0.00000000,0.04211940,0.71744320,3.35851373,5.21914940,0.16704668,4.17644176
-5.94597299,10.67107393,0.04654903,0.00000000,0.04198245,0.72899506,3.34436236,5.19553667,0.16614907,4.12743520
-5.93996998,10.58993096,0.04679902,0.00000000,0.04185806,0.74033247,3.32586085,5.16520341,0.16476640,4.07188741
-5.93396698,10.49728960,0.04700658,0.00000000,0.04173575,0.75151928,3.30376984,5.12920464,0.16295002,4.01082044
-5.92796398,10.39555238,0.04718470,0.00000000,0.04160649,0.76262779,3.27890653,5.08864117,0.16076284,3.94533359
-5.92196098,10.28720342,0.04734731,0.00000000,0.04146293,0.77373158,3.25210899,5.04462890,0.15827702,3.87657004
-5.91595798,10.17472481,0.04750851,0.00000000,0.04129945,0.78489794,3.22419954,4.99826767,0.15557123,3.80568169
-5.90995498,10.06051271,0.04768185,0.00000000,0.04111228,0.79618057,3.19594862,4.95061084,0.15272770,3.73379359
-5.90395198,9.94679638,0.04787954,0.00000000,0.04089947,0.80761277,3.16804117,4.90263612,0.14982910,3.66196914
-5.89794897,9.83556340,0.04811178,0.00000000,0.04066081,0.81920167,3.14104695,4.85521868,0.14695547,3.59117756
-5.89194597,9.72849398,0.04838617,0.00000000,0.04039777,0.83092376,3.11539638,4.80910739,0.14418127,3.52226483
-5.88594297,9.62690717,0.04870721,0.00000000,0.04011325,0.84272211,3.09136310,4.76490475,0.14157268,3.45592926
-5.87993997,9.53172123,0.04907595,0.00000000,0.03981146,0.85450522,3.06905402,4.72305149,0.13918535,3.39270291
-5.87393697,9.44342983,0.04948989,0.00000000,0.03949763,0.86614778,3.04840744,4.68381633,0.13706253,3.33293943
-5.86793397,9.36209519,0.04994293,0.00000000,0.03917777,0.87749319,3.02919921,4.64729146,0.13523389,3.27680910
-5.86193097,9.28735865,0.05042558,0.00000000,0.03885844,0.88835768,3.01105671,4.61339402,0.13371476,3.22430132
-5.85592796,9.21846823,0.05092534,0.00000000,0.03854646,0.89853587,2.99347985,4.58187381,0.13250617,3.17523437
-5.84992496,9.15432219,0.05142722,0.00000000,0.03824865,0.90780741,2.97586807,4.55232720,0.13159530,3.12927234
-5.84392196,9.09352694,0.05191441,0.00000000,0.03797168,0.91594438,2.95755194,4.52421675,0.13095662,3.08594820
-5.83791896,9.03446661,0.05236897,0.00000000,0.03772179,0.92271916,2.93782785,4.49689616,0.13055345,3.04469236
-5.83191596,8.97538174,0.05277276,0.00000000,0.03750472,0.92791223,2.91599409,4.46963966,0.13033994,3.00486513
-5.82591296,8.91445337,0.05310817,0.00000000,0.03732554,0.93131981,2.89138641,4.44167477,0.13026336,2.96579194
-5.81990995,8.84988920,0.05335903,0.00000000,0.03718858,0.93276076,2.86341161,4.41221719,0.13026656,2.92679938
-5.81390695,8.78000794,0.05351134,0.00000000,0.03709740,0.93208268,2.83157739,4.38050653,0.13029056,2.88725066
-5.80790395,8.70331824,0.05355397,0.00000000,0.03705480,0.92916696,2.79551717,4.34584121,0.13027702,2.84657873
-5.80190095,8.61858889,0.05347919,0.00000000,0.03706279,0.92393251,2.75500881,4.30761130,0.13017067,2.80431557
-5.79589795,8.52490723,0.05328310,0.00000000,0.03712270,0.91633832,2.70998642,4.26532760,0.12992143,2.76011626
