energy_ev,total_up,Ir_p_up,Ir_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,1.96854684,0.44270435,0.61651872,0.46230434,0.00160423,0.09043000,0.61605408
-5.99399700,1.87806451,0.42635955,0.58345491,0.46385359,0.00152092,0.08827147,0.55991564
-5.98799400,1.79098114,0.40935633,0.55297740,0.46414997,0.00143422,0.08587645,0.50867759
-5.98199100,1.70692342,0.39173756,0.52485220,0.46303545,0.00134506,0.08324465,0.46206269
-5.97598799,1.62558464,0.37357156,0.49885519,0.46039067,0.00125441,0.08038177,0.41978010
-5.96998499,1.54674010,0.35494940,0.47478344,0.45613866,0.00116328,0.07729961,0.38153695
-5.96398199,1.47025778,0.33598155,0.45246461,0.45024746,0.00107267,0.07401583,0.34704820
-5.95797899,1.39610417,0.31679410,0.43176419,0.44273162,0.00098353,0.07055360,0.31604444
-5.95197599,1.32434549,0.29752456,0.41259040,0.43365224,0.00089679,0.06694095,0.28827782
-5.94597299,1.25514454,0.27831760,0.39489677,0.42311579,0.00081329,0.06320991,0.26352618
-5.93996998,1.18875360,0.25932088,0.37868242,0.41127138,0.00073377,0.05939561,0.24159545
-5.93396698,1.12550384,0.24068102,0.36399018,0.39830683,0.00065889,0.05553520,0.22232058
-5.92796398,1.06579179,0.22253993,0.35090271,0.38444332,0.00058919,0.05166677,0.20556519
-5.92196098,1.01006357,0.20503157,0.33953679,0.36992905,0.00052508,0.04782825,0.19122024
-5.91595798,0.95879737,0.18827926,0.33003622,0.35503183,0.00046689,0.04405639,0.17920185
-5.90995498,0.91248502,0.17239344,0.32256351,0.34003110,0.00041482,0.04038578,0.16944860
-5.90395198,0.87161326,0.15747012,0.31729087,0.32520939,0.00036899,0.03684803,0.16191861
-5.89794897,0.83664549,0.14358978,0.31439076,0.31084378,0.00032942,0.03347105,0.15658642
-5.89194597,0.80800472,0.13081695,0.31402660,0.29719751,0.00029608,0.03027855,0.15344016
-5.88594297,0.78605835,0.11920023,0.31634393,0.28451206,0.00026885,0.02728961,0.15247895
-5.87993997,0.77110557,0.10877284,0.32146250,0.27300016,0.00024762,0.02451852,0.15371091
-5.87393697,0.76336783,0.09955359,0.32946970,0.26283981,0.00023221,0.02197475,0.15715174
-5.86793397,0.76298305,0.09154827,0.34041566,0.25416968,0.00022247,0.01966298,0.16282410
-5.86193097,0.77000372,0.08475134,0.35431037,0.24708610,0.00021825,0.01758343,0.17075776
-5.85592796,0.78439936,0.07914787,0.37112289,0.24164162,0.00021944,0.01573219,0.18099057
-5.84992496,0.80606309,0.07471569,0.39078293,0.23784537,0.00022596,0.01410163,0.19357013
-5.84392196,0.83482234,0.07142768,0.41318467,0.23566510,0.00023779,0.01268098,0.20855606
-5.83791896,0.87045317,0.06925406,0.43819276,0.23503084,0.00025500,0.01145690,0.22602270
-5.83191596,0.91269757,0.06816467,0.46565014,0.23584006,0.00027771,0.01041403,0.24606187
-5.82591296,0.96128287,0.06813110,0.49538743,0.23796409,0.00030614,0.00953568,0.26878553
-5.81990995,1.01594230,0.06912863,0.52723326,0.24125544,0.00034059,0.00880435,0.29432777
-5.81390695,1.07643531,0.07113790,0.56102508,0.24555592,0.00038147,0.00820238,0.32284592
-5.80790395,1.14256662,0.07414619,0.59661963,0.25070497,0.00042925,0.00771244,0.35452023
-5.80190095,1.21420247,0.07814827,0.63390258,0.25654796,0.00048450,0.00731807,0.38955192
-5.79589795,1.29128305,0.08314680,0.67279653,0.26294416,0.00054785,0.00700410,0.42815905
-5.78989495,1.37382989,0.08915220,0.71326688,0.26977393,0.00061998,0.00675706,0.47057026
-5.78389195,1.46194754,0.09618199,0.75532497,0.27694488,0.00070160,0.00656547,0.51701604
-5.77788894,1.55581890,0.10425970,0.79902830,0.28439683,0.00079345,0.00642017,0.56771775
-5.77188594,1.65569424,0.11341322,0.84447749,0.29210530,0.00089623,0.00631450,0.62287453
-5.76588294,1.76187413,0.12367289,0.89181017,0.30008346,0.00101060,0.00624444,0.68264851
-5.75987994,1.87468698,0.13506923,0.94119202,0.30838252,0.00113714,0.00620872,0.74714894
-5.75387694,1.99446263,0.14763060,0.99280538,0.31709068,0.00127633,0.00620890,0.81641591
-5.74787394,2.12150313,0.16138087,1.04683617,0.32633062,0.00142849,0.00624930,0.89040459
-5.74187094,2.25605291,0.17633721,1.10345988,0.33625585,0.00159380,0.00633699,0.96897095
-5.73586793,2.39827006,0.19250828,1.16282761,0.34704607,0.00177221,0.00648170,1.05185993
-5.72986493,2.54820102,0.20989293,1.22505306,0.35890183,0.00196350,0.00669566,1.13869709
-5.72386193,2.70576033,0.22847950,1.29020139,0.37203881,0.00216719,0.00699345,1.22898453
-5.71785893,2.87071749,0.24824588,1.35828093,0.38668181,0.00238260,0.00739177,1.32210198
-5.71185593,3.04269195,0.26916041,1.42923828,0.40305896,0.00260884,0.00790924,1.41731334
-5.70585293,3.22115733,0.29118361,1.50295732,0.42139604,0.00284479,0.00856608,1.51377916
-5.69984992,3.40545492,0.31427071,1.57926235,0.44191131,0.00308919,0.00938385,1.61057475
-5.69384692,3.59481635,0.33837490,1.65792541,0.46481076,0.00334063,0.01038511,1.70671375
-5.68784392,3.78839421,0.36345119,1.73867718,0.49028389,0.00359758,0.01159304,1.80117623
-5.68184092,3.98529922,0.38946065,1.82122113,0.51850001,0.00385847,0.01303114,1.89294047
-5.67583792,4.18464179,0.41637474,1.90524982,0.54960489,0.00412175,0.01472278,1.98101702
-5.66983492,4.38557567,0.44417964,1.99046258,0.58371779,0.00438587,0.01669079,2.06448354
-5.66383192,4.58734071,0.47288008,2.07658311,0.62092868,0.00464941,0.01895708,2.14251900
-5.65782891,4.78930227,0.50250254,2.16337606,0.66129552,0.00491108,0.02154219,2.21443523
-5.65182591,4.99098439,0.53309744,2.25066129,0.70484160,0.00516973,0.02446483,2.27970463
-5.64582291,5.19209446,0.56474014,2.33832474,0.75155278,0.00542446,0.02774150,2.33798225
-5.63981991,5.39253727,0.59753048,2.42632509,0.80137469,0.00567453,0.03138600,2.38912120
-5.63381691,5.59241710,0.63159073,2.51469553,0.85420987,0.00591943,0.03540901,2.43318033
-5.62781391,5.79202701,0.66706187,2.60354010,0.90991498,0.00615887,0.03981770,2.47042372
-5.62181091,5.99182519,0.70409816,2.69302477,0.96829812,0.00639269,0.04461527,2.50131154
-5.61580790,6.19239898,0.74286005,2.78336326,1.02911656,0.00662091,0.04980056,2.52648275
-5.60980490,6.39441785,0.78350564,2.87479813,1.09207496,0.00684362,0.05536767,2.54672998
-5.60380190,6.59857720,0.82618082,2.96757805,1.15682431,0.00706098,0.06130558,2.56296762
-5.59779890,6.80553550,0.87100851,3.06193206,1.22296183,0.00727311,0.06759780,2.57619447
-5.59179590,7.01584754,0.91807728,3.15804224,1.29003199,0.00748007,0.07422206,2.58745226
-5.58579290,7.22989709,0.96742991,3.25601593,1.35752886,0.00768178,0.08115003,2.59778201
-5.57978989,7.44783224,1.01905225,3.35585905,1.42489983,0.00787799,0.08834710,2.60817994
-5.57378689,7.66950676,1.07286308,3.45745187,1.49155090,0.00806823,0.09577224,2.61955475
-5.56778389,7.89443077,1.12870537,3.56052865,1.55685348,0.00825179,0.10337792,2.63268832
-5.56178089,8.12173360,1.18633962,3.66466237,1.62015272,0.00842767,0.11111022,2.64820123
-5.55577789,8.35014138,1.24543966,3.76925564,1.68077734,0.00859462,0.11890896,2.66652493
-5.54977489,8.57797144,1.30559146,3.87353866,1.73805073,0.00875114,0.12670811,2.68788157
-5.54377189,8.80314469,1.36629531,3.97657484,1.79130326,0.00889551,0.13443632,2.71227246
-5.53776888,9.02321669,1.42697153,4.07727428,1.83988543,0.00902584,0.14201765,2.73947578
-5.53176588,9.23542723,1.48696988,4.17441509,1.88318173,0.00914015,0.14937256,2.76905369
-5.52576288,9.43676718,1.54558257,4.26667205,1.92062475,0.00923640,0.15641908,2.80036842
-5.51975988,9.62406086,1.60206069,4.35265187,1.95170922,0.00931264,0.16307417,2.83260700
-5.51375688,9.79406103,1.65563348,4.43093378,1.97600555,0.00936703,0.16925534,2.86481327
-5.50775388,9.94355304,1.70552995,4.50011404,1.99317242,0.00939798,0.17488233,2.89592598
-5.50175088,10.06946407,1.75100200,4.55885254,2.00296795,0.00940420,0.17987901,2.92482129
-5.49574787,10.16897275,1.79134817,4.60591964,2.00525895,0.00938480,0.18417522,2.95035768
-5.48974487,10.23961426,1.82593687,4.64024097,2.00002782,0.00933933,0.18770865,2.97142134
-5.48374187,10.27937622,1.85422814,4.66093827,1.98737668,0.00926786,0.19042666,2.98697005
-5.47773887,10.28678044,1.87579281,4.66736428,1.96752824,0.00917097,0.19228786,2.99607338
-5.47173587,10.26094658,1.89032806,4.65912980,1.94082339,0.00904977,0.19326350,2.99794758
-5.46573287,10.20163413,1.89766855,4.63612146,1.90771502,0.00890591,0.19333853,2.99198355
-5.45972986,10.10926038,1.89779234,4.59850939,1.86875834,0.00874149,0.19251231,2.97776675
-5.45372686,9.98489299,1.89082138,4.54674388,1.82459764,0.00855906,0.19079885,2.95508811
-5.44772386,9.83021715,1.87701621,4.48154144,1.77594994,0.00836147,0.18822673,2.92394594
-5.44172086,9.64747872,1.85676512,4.40386049,1.72358581,0.00815185,0.18483842,2.88453871
-5.43571786,9.43940567,1.83056828,4.31486800,1.66830825,0.00793347,0.18068936,2.83724952
-5.42971486,9.20911186,1.79901747,4.21589863,1.61093014,0.00770961,0.17584647,2.78262334
-5.42371186,8.95998754,1.76277255,4.10840836,1.55225136,0.00748348,0.17038649,2.72133835
-5.41770885,8.69558227,1.72253571,3.99392497,1.49303637,0.00725812,0.16439396,2.65417317
-5.41170585,8.41948573,1.67902494,3.87399775,1.43399326,0.00703626,0.15795910,2.58197191
-5.40570285,8.13521249,1.63294803,3.75014895,1.37575527,0.00682030,0.15117555,2.50560886
-5.39969985,7.84609619,1.58497838,3.62382933,1.31886545,0.00661217,0.14413816,2.42595474
-5.39369685,7.55519785,1.53573395,3.49637973,1.26376533,0.00641336,0.13694087,2.34384629
-5.38769385,7.26523259,1.48576014,3.36900042,1.21078794,0.00622485,0.12967476,2.26006044
-5.38169085,6.97851725,1.43551761,3.24272922,1.16015559,0.00604716,0.12242637,2.17529422
-5.37568784,6.69694057,1.38537529,3.11842909,1.11198242,0.00588030,0.11527626,2.09015111
-5.36968484,6.42195618,1.33560874,2.99678514,1.06628140,0.00572388,0.10829794,2.00513393
-5.36368184,6.15459706,1.28640380,2.87831048,1.02297556,0.00557714,0.10155712,1.92064417
-5.35767884,5.89550928,1.23786483,2.76335994,0.98191254,0.00543903,0.09511128,1.83698718
-5.35167584,5.64500167,1.19002697,2.65215019,0.94288190,0.00530828,0.08900956,1.75438226
-5.34567284,5.40310722,1.14287133,2.54478443,0.90563397,0.00518348,0.08329294,1.67297664
-5.33966983,5.16965193,1.09634203,2.44127997,0.86989940,0.00506319,0.07799459,1.59286185
-5.33366683,4.94432623,1.05036403,2.34159649,0.83540835,0.00494599,0.07314042,1.51409138
