energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,0.97931104,-1.16126012,0.01224563,-0.03575180,0.02262196,-0.04742563,0.51563620,-0.43028249,0.11972522,-0.12668719,0.00753370,-0.01316940,0.59062357,-0.67077782,0.32968789,-0.33877881,0.08590723,-0.12258664
-5.99399700,0.98515236,-1.12235579,0.01134363,-0.03413863,0.02162468,-0.04499497,0.52659910,-0.41997987,0.12075598,-0.12267661,0.00706394,-0.01215652,0.59684441,-0.65076228,0.33369129,-0.33162222,0.08701237,-0.11722779
-5.98799400,0.99759627,-1.08474282,0.01057706,-0.03241220,0.02084433,-0.04258788,0.53997823,-0.41095275,0.12269104,-0.11862565,0.00669426,-0.01121868,0.60688850,-0.63158044,0.33956057,-0.32440826,0.08896138,-0.11221535
-5.98199100,1.01685139,-1.04910786,0.00994642,-0.03060577,0.02027125,-0.04022161,0.55590584,-0.40332250,0.12553500,-0.11462572,0.00642571,-0.01036248,0.62091834,-0.61363895,0.34743675,-0.31735041,0.09177518,-0.10762969
-5.97598799,1.04310221,-1.01617598,0.00945103,-0.02875402,0.01989493,-0.03791655,0.57451452,-0.39724635,0.12928856,-0.11077130,0.00625899,-0.00959344,0.63908272,-0.59736684,0.35744550,-0.31068552,0.09547655,-0.10355318
-5.96998499,1.07650991,-0.98669029,0.00908922,-0.02689216,0.01970434,-0.03569511,0.59593498,-0.39290961,0.13394925,-0.10715709,0.00619458,-0.00891613,0.66151630,-0.58320405,0.36969510,-0.30466677,0.10009041,-0.10006842
-5.96398199,1.11721123,-0.96139215,0.00885855,-0.02505483,0.01968816,-0.03358061,0.62029305,-0.39051771,0.13951190,-0.10387554,0.00623278,-0.00833421,0.68833803,-0.57159037,0.38427417,-0.29955663,0.10564364,-0.09725652
-5.95797899,1.16531509,-0.94100292,0.00875592,-0.02327531,0.01983501,-0.03159627,0.64770578,-0.39028838,0.14596871,-0.10101450,0.00637373,-0.00785057,0.71964835,-0.56295505,0.40124934,-0.29561994,0.11216427,-0.09519566
-5.95197599,1.22089669,-0.92620766,0.00877771,-0.02158471,0.02013352,-0.02976429,0.67827660,-0.39244450,0.15330899,-0.09865525,0.00661735,-0.00746743,0.75552493,-0.55770760,0.42066263,-0.29311750,0.11968033,-0.09395984
-5.94597299,1.28398927,-0.91764133,0.00891984,-0.02001132,0.02057237,-0.02810510,0.71208934,-0.39720764,0.16151851,-0.09687095,0.00696334,-0.00718633,0.79601711,-0.55622989,0.44252871,-0.29230024,0.12821804,-0.09361788
-5.93996998,1.35457369,-0.91587768,0.00917775,-0.01858011,0.02114022,-0.02663673,0.74920137,-0.40479265,0.17057856,-0.09572548,0.00741103,-0.00700826,0.84113910,-0.55886975,0.46683199,-0.29340411,0.13779958,-0.09423269
-5.93396698,1.43256623,-0.92142080,0.00954635,-0.01731231,0.02182564,-0.02537433,0.78963586,-0.41540316,0.18046480,-0.09527267,0.00795929,-0.00693362,0.89086216,-0.56593602,0.49352367,-0.29664584,0.14844046,-0.09586066
-5.92796398,1.51780527,-0.93469909,0.01002004,-0.01622517,0.02261694,-0.02432992,0.83337362,-0.42922802,0.19114585,-0.09555598,0.00860634,-0.00696224,0.94510627,-0.57769493,0.52251889,-0.30221941,0.16014665,-0.09855132
-5.92196098,1.61003756,-0.95606137,0.01059252,-0.01533181,0.02350199,-0.02351213,0.88034473,-0.44643845,0.20258189,-0.09660837,0.00934963,-0.00709334,1.00373148,-0.59436766,0.55369424,-0.31029316,0.17291145,-0.10234699
-5.91595798,1.70890484,-0.98577455,0.01125678,-0.01464115,0.02446806,-0.02292625,0.93042050,-0.46718574,0.21472321,-0.09845259,0.01018566,-0.00732549,1.06652970,-0.61612862,0.58688561,-0.32100759,0.18671252,-0.10728253
-5.90995498,1.81393181,-1.02402231,0.01200496,-0.01415795,0.02550161,-0.02257424,0.98340614,-0.49159909,0.22750893,-0.10110152,0.01110984,-0.00765654,1.13321715,-0.64310434,0.62188681,-0.33447346,0.20150889,-0.11338500
-5.90395198,1.92451616,-1.07090415,0.01282832,-0.01388290,0.02658818,-0.02245483,1.03903466,-0.51978339,0.24086594,-0.10455869,0.01211635,-0.00808355,1.20342831,-0.67537235,0.65844895,-0.35077013,0.21723838,-0.12067325
-5.89794897,2.03992156,-1.12643439,0.01371715,-0.01381279,0.02771233,-0.02256375,1.09696247,-0.55181667,0.25470803,-0.10881873,0.01319800,-0.00860270,1.27671156,-0.71296001,0.69628092,-0.36994412,0.23381555,-0.12915733
-5.89194597,2.15927421,-1.19054052,0.01466079,-0.01394068,0.02885757,-0.02289385,1.15676707,-0.58774680,0.26893553,-0.11386791,0.01434624,-0.00920924,1.35252707,-0.75584282,0.73505085,-0.39200746,0.25113019,-0.13883772
-5.88594297,2.28156361,-1.26306067,0.01564768,-0.01425615,0.03000646,-0.02343535,1.21794714,-0.62758760,0.28343527,-0.11968439,0.01555105,-0.00989738,1.43024735,-0.80394210,0.77438890,-0.41693610,0.26904663,-0.14970437
-5.87993997,2.40564781,-1.34374008,0.01666541,-0.01474554,0.03114072,-0.02417603,1.27992532,-0.67131390,0.29808096,-0.12623857,0.01680102,-0.01066031,1.50916048,-0.85712210,0.81389122,-0.44466811,0.28740390,-0.16173550
-5.87393697,2.53026342,-1.43222675,0.01770086,-0.01539223,0.03224145,-0.02510133,1.34205381,-0.71885605,0.31273417,-0.13349306,0.01808338,-0.01149011,1.58847630,-0.91518643,0.85312507,-0.47510182,0.30601688,-0.17489633
-5.86793397,2.65404021,-1.52806625,0.01874038,-0.01617696,0.03328941,-0.02619457,1.40362272,-0.77009363,0.32724556,-0.14140271,0.01938417,-0.01237782,1.66733556,-0.97787409,0.89163506,-0.50809399,0.32467836,-0.18913763
-5.86193097,2.77552036,-1.63069661,0.01977002,-0.01707817,0.03426538,-0.02743704,1.46387120,-0.82484902,0.34145676,-0.14991443,0.02068835,-0.01331347,1.74482181,-1.04485550,0.92895045,-0.54345818,0.34316208,-0.20439430
