energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.71632996,-1.71632996,0.00313001,-0.00313001,0.07981190,-0.07981190,0.53618138,-0.53618138,0.18374002,-0.18374002,0.47561053,-0.47561053,0.23476051,-0.23476051,0.01348754,-0.01348754,0.91997572,-0.91997572
-5.99399700,1.68186705,-1.68186705,0.00282157,-0.00282157,0.07652136,-0.07652136,0.52286122,-0.52286122,0.18090399,-0.18090399,0.46815554,-0.46815554,0.22906750,-0.22906750,0.01258074,-0.01258074,0.90427433,-0.90427433
-5.98799400,1.64141595,-1.64141595,0.00258512,-0.00258512,0.07310647,-0.07310647,0.50734982,-0.50734982,0.17739310,-0.17739310,0.45842334,-0.45842334,0.22297077,-0.22297077,0.01179908,-0.01179908,0.88506222,-0.88506222
-5.98199100,1.59556485,-1.59556485,0.00241665,-0.00241665,0.06959074,-0.06959074,0.48991293,-0.48991293,0.17323087,-0.17323087,0.44662480,-0.44662480,0.21656035,-0.21656035,0.01114529,-0.01114529,0.86266561,-0.86266561
-5.97598799,1.54507114,-1.54507114,0.00231311,-0.00231311,0.06600159,-0.06600159,0.47085310,-0.47085310,0.16846360,-0.16846360,0.43302152,-0.43302152,0.20994842,-0.20994842,0.01062243,-0.01062243,0.83750642,-0.83750642
-5.96998499,1.49084573,-1.49084573,0.00227241,-0.00227241,0.06236977,-0.06236977,0.45050302,-0.45050302,0.16315907,-0.16315907,0.41791923,-0.41791923,0.20326797,-0.20326797,0.01023414,-0.01023414,0.81009373,-0.81009373
-5.96398199,1.43393166,-1.43393166,0.00229342,-0.00229342,0.05872858,-0.05872858,0.42921807,-0.42921807,0.15740449,-0.15740449,0.40165974,-0.40165975,0.19667041,-0.19667041,0.00998487,-0.00998487,0.78101182,-0.78101182
-5.95797899,1.37547797,-1.37547797,0.00237593,-0.00237593,0.05511306,-0.05511306,0.40736831,-0.40736831,0.15130372,-0.15130372,0.38461183,-0.38461183,0.19032242,-0.19032242,0.00987991,-0.00987991,0.75090572,-0.75090572
-5.95197599,1.31670964,-1.31670965,0.00252052,-0.00252052,0.05155910,-0.05155910,0.38533018,-0.38533018,0.14497401,-0.14497401,0.36716126,-0.36716126,0.18440205,-0.18440205,0.00992534,-0.00992534,0.72046440,-0.72046440
-5.94597299,1.25889500,-1.25889500,0.00272839,-0.00272839,0.04810252,-0.04810252,0.36347828,-0.36347828,0.13854235,-0.13854235,0.34970052,-0.34970052,0.17909419,-0.17909419,0.01012787,-0.01012787,0.69040251,-0.69040251
-5.93996998,1.20331156,-1.20331156,0.00300120,-0.00300120,0.04477816,-0.04477816,0.34217726,-0.34217726,0.13214157,-0.13214158,0.33261843,-0.33261843,0.17458560,-0.17458560,0.01049456,-0.01049456,0.66144126,-0.66144126
-5.93396698,1.15121170,-1.15121170,0.00334081,-0.00334081,0.04161907,-0.04161907,0.32177435,-0.32177435,0.12590647,-0.12590647,0.31629021,-0.31629021,0.17105968,-0.17105968,0.01103248,-0.01103248,0.63428911,-0.63428911
-5.92796398,1.10378937,-1.10378937,0.00374905,-0.00374905,0.03865568,-0.03865568,0.30259248,-0.30259248,0.11996987,-0.11996987,0.30106808,-0.30106808,0.16869105,-0.16869105,0.01174819,-0.01174819,0.60962300,-0.60962300
-5.92196098,1.06214879,-1.06214879,0.00422748,-0.00422748,0.03591513,-0.03591513,0.28492443,-0.28492443,0.11445911,-0.11445911,0.28727301,-0.28727301,0.16764026,-0.16764026,0.01264727,-0.01264727,0.58807066,-0.58807066
-5.91595798,1.02727640,-1.02727640,0.00477710,-0.00477710,0.03342069,-0.03342069,0.26902787,-0.26902787,0.10949271,-0.10949271,0.27518749,-0.27518749,0.16804874,-0.16804874,0.01373376,-0.01373376,0.57019476,-0.57019476
