energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,4.37683842,-4.37683842,0.72532186,-0.72532186,3.18607954,-3.18607954,0.31831311,-0.31831311,0.34626618,-0.34626618,0.00254006,-0.00254006,0.21430787,-0.21430787,0.51620928,-0.51620928,0.00000000,-0.00000000
-5.99399700,4.27782956,-4.27782956,0.70820091,-0.70820091,3.11486741,-3.11486741,0.31036038,-0.31036038,0.33824620,-0.33824620,0.00257421,-0.00257421,0.20936761,-0.20936761,0.50405259,-0.50405259,0.00000000,-0.00000000
-5.98799400,4.16513936,-4.16513936,0.69031590,-0.69031590,3.03338589,-3.03338589,0.30134543,-0.30134543,0.32909361,-0.32909361,0.00259577,-0.00259577,0.20375567,-0.20375567,0.49011942,-0.49011942,0.00000000,-0.00000000
-5.98199100,4.04053192,-4.04053191,0.67200577,-0.67200577,2.94288924,-2.94288924,0.29140896,-0.29140896,0.31895495,-0.31895495,0.00260413,-0.00260413,0.19755744,-0.19755744,0.47461972,-0.47461972,0.00000000,-0.00000000
-5.97598799,3.90596995,-3.90596995,0.65361912,-0.65361912,2.84478162,-2.84478162,0.28070803,-0.28070803,0.30799372,-0.30799372,0.00259894,-0.00259894,0.19086828,-0.19086828,0.45778877,-0.45778877,0.00000000,-0.00000000
-5.96998499,3.76356335,-3.76356335,0.63550606,-0.63550606,2.74057996,-2.74057995,0.26941184,-0.26941184,0.29638607,-0.29638607,0.00258012,-0.00258012,0.18379082,-0.18379082,0.43988132,-0.43988132,0.00000000,-0.00000000
-5.96398199,3.61551358,-3.61551357,0.61800984,-0.61800984,2.63187364,-2.63187364,0.25769713,-0.25769713,0.28431618,-0.28431618,0.00254786,-0.00254786,0.17643191,-0.17643191,0.42116522,-0.42116522,0.00000000,-0.00000000
-5.95797899,3.46405596,-3.46405596,0.60145839,-0.60145839,2.52028283,-2.52028282,0.24574334,-0.24574334,0.27197149,-0.27197149,0.00250260,-0.00250260,0.16889955,-0.16889955,0.40191468,-0.40191468,0.00000000,-0.00000000
-5.95197599,3.31140214,-3.31140214,0.58615600,-0.58615600,2.40741671,-2.40741671,0.23372772,-0.23372772,0.25953779,-0.25953779,0.00244509,-0.00244509,0.16129976,-0.16129976,0.38240338,-0.38240338,0.00000000,-0.00000000
-5.94597299,3.15968462,-3.15968461,0.57237548,-0.57237548,2.29483344,-2.29483343,0.22182052,-0.22182052,0.24719456,-0.24719456,0.00237629,-0.00237629,0.15373367,-0.15373367,0.36289779,-0.36289779,0.00000000,-0.00000000
-5.93996998,3.01090552,-3.01090552,0.56035085,-0.56035085,2.18400305,-2.18400305,0.21018060,-0.21018060,0.23511053,-0.23511053,0.00229741,-0.00229741,0.14629486,-0.14629486,0.34365081,-0.34365081,0.00000000,-0.00000000
-5.93396698,2.86689114,-2.86689114,0.55027089,-0.55027089,2.07627466,-2.07627466,0.19895140,-0.19895140,0.22343974,-0.22343973,0.00220984,-0.00220984,0.13906704,-0.13906704,0.32489596,-0.32489596,0.00000000,-0.00000000
-5.92796398,2.72925377,-2.72925377,0.54227370,-0.54227370,1.97284887,-1.97284887,0.18825765,-0.18825765,0.21231810,-0.21231810,0.00211510,-0.00211510,0.13212225,-0.13212225,0.30684243,-0.30684243,0.00000000,-0.00000000
-5.92196098,2.59936176,-2.59936176,0.53644244,-0.53644244,1.87475611,-1.87475611,0.17820278,-0.17820278,0.20186074,-0.20186074,0.00201484,-0.00201484,0.12551957,-0.12551957,0.28967093,-0.28967093,0.00000000,-0.00000000
-5.91595798,2.47831851,-2.47831851,0.53280242,-0.53280242,1.78284137,-1.78284137,0.16886713,-0.16886713,0.19216002,-0.19216002,0.00191074,-0.00191074,0.11930437,-0.11930437,0.27353064,-0.27353064,0.00000000,-0.00000000
-5.90995498,2.36695068,-2.36695068,0.53131960,-0.53131960,1.69775541,-1.69775541,0.16030708,-0.16030708,0.18328436,-0.18328436,0.00180451,-0.00180451,0.11350819,-0.11350818,0.25853714,-0.25853714,0.00000000,-0.00000000
-5.90395198,2.26580541,-2.26580541,0.53190065,-0.53190065,1.61995235,-1.61995235,0.15255505,-0.15255505,0.17527792,-0.17527792,0.00169779,-0.00169779,0.10814908,-0.10814908,0.24477150,-0.24477150,0.00000000,-0.00000000
-5.89794897,2.17515632,-2.17515632,0.53439456,-0.53439456,1.54969327,-1.54969327,0.14562031,-0.14562031,0.16816109,-0.16816109,0.00159216,-0.00159216,0.10323259,-0.10323259,0.23228044,-0.23228044,0.00000000,-0.00000000
-5.89194597,2.09501741,-2.09501741,0.53859596,-0.53859596,1.48705536,-1.48705536,0.13949062,-0.13949062,0.16193169,-0.16193169,0.00148906,-0.00148906,0.09875307,-0.09875307,0.22107750,-0.22107750,0.00000000,-0.00000000
-5.88594297,2.02516416,-2.02516416,0.54424998,-0.54424998,1.43194588,-1.43194588,0.13413451,-0.13413451,0.15656693,-0.15656693,0.00138978,-0.00138978,0.09469538,-0.09469538,0.21114516,-0.21114516,0.00000000,-0.00000000
-5.87993997,1.96516069,-1.96516069,0.55105864,-0.55105864,1.38412024,-1.38412024,0.12950423,-0.12950423,0.15202602,-0.15202602,0.00129543,-0.00129543,0.09103690,-0.09103690,0.20243782,-0.20243782,0.00000000,-0.00000000
-5.87393697,1.91439189,-1.91439189,0.55868878,-0.55868878,1.34320342,-1.34320342,0.12553901,-0.12553901,0.14825322,-0.14825322,0.00120692,-0.00120692,0.08774968,-0.08774968,0.19488547,-0.19488547,0.00000000,-0.00000000
-5.86793397,1.87209939,-1.87209939,0.56678122,-0.56678122,1.30871388,-1.30871388,0.12216878,-0.12216878,0.14518137,-0.14518137,0.00112494,-0.00112494,0.08480263,-0.08480263,0.18839797,-0.18839797,0.00000000,-0.00000000
-5.86193097,1.83742011,-1.83742011,0.57496100,-0.57496100,1.28008929,-1.28008929,0.11931794,-0.11931794,0.14273564,-0.14273564,0.00104999,-0.00104999,0.08216370,-0.08216370,0.18286976,-0.18286976,0.00000000,-0.00000000
-5.85592796,1.80942629,-1.80942629,0.58284853,-0.58284853,1.25671324,-1.25671324,0.11690917,-0.11690918,0.14083751,-0.14083751,0.00098237,-0.00098237,0.07980198,-0.07980198,0.17818484,-0.17818484,0.00000000,-0.00000000
-5.84992496,1.78716585,-1.78716585,0.59007124,-0.59007124,1.23794217,-1.23794217,0.11486717,-0.11486717,0.13940869,-0.13940869,0.00092220,-0.00092220,0.07768953,-0.07768953,0.17422185,-0.17422185,0.00000000,-0.00000000
-5.84392196,1.76970193,-1.76970193,0.59627535,-0.59627535,1.22313202,-1.22313202,0.11312203,-0.11312203,0.13837491,-0.13837491,0.00086945,-0.00086945,0.07580304,-0.07580304,0.17085913,-0.17085913,0.00000000,-0.00000000
-5.83791896,1.75615059,-1.75615059,0.60113760,-0.60113760,1.21166376,-1.21166376,0.11161235,-0.11161235,0.13766955,-0.13766955,0.00082396,-0.00082396,0.07412510,-0.07412510,0.16797962,-0.16797962,0.00000000,-0.00000000
-5.83191596,1.74571570,-1.74571570,0.60437620,-0.60437620,1.20296724,-1.20296724,0.11028784,-0.11028784,0.13723676,-0.13723676,0.00078549,-0.00078549,0.07264524,-0.07264524,0.16547531,-0.16547531,0.00000000,-0.00000000
-5.82591296,1.73771984,-1.73771984,0.60576087,-0.60576087,1.19654278,-1.19654277,0.10911134,-0.10911134,0.13703420,-0.13703420,0.00075373,-0.00075373,0.07136054,-0.07136054,0.16325135,-0.16325135,0.00000000,-0.00000000
-5.81990995,1.73163063,-1.73163063,0.60512150,-0.60512150,1.19197981,-1.19197981,0.10806031,-0.10806031,0.13703516,-0.13703516,0.00072840,-0.00072840,0.07027592,-0.07027592,0.16122944,-0.16122943,0.00000000,-0.00000000
-5.81390695,1.72708134,-1.72708134,0.60235494,-0.60235494,1.18897214,-1.18897214,0.10712763,-0.10712763,0.13722995,-0.13722995,0.00070919,-0.00070919,0.06940410,-0.06940410,0.15935055,-0.15935055,0.00000000,-0.00000000
-5.80790395,1.72388521,-1.72388521,0.59742978,-0.59742978,1.18732914,-1.18732914,0.10632175,-0.10632175,0.13762669,-0.13762669,0.00069589,-0.00069589,0.06876525,-0.06876525,0.15757692,-0.15757692,0.00000000,-0.00000000
-5.80190095,1.72204290,-1.72204290,0.59038877,-0.59038877,1.18698254,-1.18698254,0.10566620,-0.10566620,0.13825126,-0.13825126,0.00068839,-0.00068839,0.06838627,-0.06838627,0.15589306,-0.15589306,0.00000000,-0.00000000
-5.79589795,1.72174255,-1.72174255,0.58134878,-0.58134878,1.18798843,-1.18798843,0.10519850,-0.10519850,0.13914649,-0.13914649,0.00068667,-0.00068667,0.06829988,-0.06829988,0.15430597,-0.15430597,0.00000000,-0.00000000
-5.78989495,1.72335223,-1.72335223,0.57049811,-0.57049811,1.19052415,-1.19052415,0.10496848,-0.10496848,0.14037065,-0.14037065,0.00069089,-0.00069089,0.06854343,-0.06854343,0.15284443,-0.15284443,0.00000000,-0.00000000
-5.78389195,1.72740491,-1.72740491,0.55809136,-0.55809136,1.19488006,-1.19488006,0.10503606,-0.10503607,0.14199519,-0.14199519,0.00070135,-0.00070135,0.06915754,-0.06915754,0.15155744,-0.15155744,0.00000000,-0.00000000
-5.77788894,1.73457599,-1.73457599,0.54444189,-0.54444189,1.20144617,-1.20144617,0.10546870,-0.10546870,0.14410191,-0.14410191,0.00071852,-0.00071852,0.07018456,-0.07018456,0.15051177,-0.15051177,0.00000000,-0.00000000
-5.77188594,1.74565418,-1.74565418,0.52991207,-0.52991206,1.21069402,-1.21069403,0.10633838,-0.10633838,0.14677951,-0.14677951,0.00074306,-0.00074306,0.07166690,-0.07166690,0.14978886,-0.14978886,0.00000000,-0.00000000
