energy_ev,total_up,In_p_up,In_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.93083290,0.09192719,0.00373470,1.19536787,0.75994840,0.93034933,0.00000000
-5.99399700,1.79847346,0.08455734,0.00369366,1.12196726,0.70407771,0.85288239,0.00000000
-5.98799400,1.66870932,0.07729471,0.00364847,1.04972194,0.64950412,0.77704716,0.00000000
-5.98199100,1.54298585,0.07023713,0.00359990,0.97943947,0.59683055,0.70364808,0.00000000
-5.97598799,1.42256732,0.06347264,0.00354873,0.91181871,0.54658641,0.63338389,0.00000000
-5.96998499,1.30852831,0.05707859,0.00349571,0.84744616,0.49922378,0.56684112,0.00000000
-5.96398199,1.20175227,0.05112117,0.00344158,0.78679660,0.45511639,0.50449162,0.00000000
-5.95797899,1.10293639,0.04565538,0.00338716,0.73023743,0.41456113,0.44669394,0.00000000
-5.95197599,1.01260171,0.04072548,0.00333329,0.67803605,0.37778174,0.39369804,0.00000000
-5.94597299,0.93110716,0.03636561,0.00328090,0.63036935,0.34493403,0.34565275,0.00000000
-5.93996998,0.85866632,0.03260074,0.00323101,0.58733444,0.31611234,0.30261544,0.00000000
-5.93396698,0.79536531,0.02944771,0.00318473,0.54895986,0.29135649,0.26456309,0.00000000
-5.92796398,0.74118084,0.02691630,0.00314322,0.51521652,0.27065894,0.23140417,0.00000000
-5.92196098,0.69599714,0.02501030,0.00310773,0.48602757,0.25397155,0.20299076,0.00000000
-5.91595798,0.65962086,0.02372839,0.00307951,0.46127700,0.24121159,0.17913011,0.00000000
-5.90995498,0.63179344,0.02306492,0.00305978,0.44081652,0.23226685,0.15959548,0.00000000
-5.90395198,0.61220052,0.02301042,0.00304970,0.42447054,0.22699949,0.14413559,0.00000000
-5.89794897,0.60047823,0.02355184,0.00305028,0.41203946,0.22524876,0.13248267,0.00000000
-5.89194597,0.59621671,0.02467264,0.00306235,0.40330136,0.22683242,0.12435885,0.00000000
-5.88594297,0.59896105,0.02635254,0.00308647,0.39801238,0.23154725,0.11948088,0.00000000
-5.87993997,0.60821042,0.02856713,0.00312289,0.39590636,0.23916865,0.11756339,0.00000000
-5.87393697,0.62341601,0.03128729,0.00317149,0.39669386,0.24944977,0.11832074,0.00000000
-5.86793397,0.64397862,0.03447865,0.00323179,0.40006148,0.26212041,0.12146777,0.00000000
-5.86193097,0.66924674,0.03810086,0.00330284,0.40567143,0.27688612,0.12671979,0.00000000
-5.85592796,0.69851586,0.04210709,0.00338330,0.41316216,0.29342778,0.13379208,0.00000000
-5.84992496,0.73102980,0.04644362,0.00347142,0.42215007,0.31140206,0.14239922,0.00000000
-5.84392196,0.76598449,0.05104968,0.00356505,0.43223263,0.33044295,0.15225470,0.00000000
-5.83791896,0.80253484,0.05585751,0.00366171,0.44299303,0.35016462,0.16307091,0.00000000
-5.83191596,0.83980459,0.06079287,0.00375865,0.45400624,0.37016577,0.17455984,0.00000000
-5.82591296,0.87689945,0.06577585,0.00385296,0.46484648,0.39003535,0.18643466,0.00000000
-5.81990995,0.91292302,0.07072204,0.00394158,0.47509570,0.40935986,0.19841216,0.00000000
-5.81390695,0.94699531,0.07554414,0.00402150,0.48435302,0.42773170,0.21021625,0.00000000
-5.80790395,0.97827308,0.08015379,0.00408976,0.49224437,0.44475871,0.22158222,0.00000000
