energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,7.99850355,0.21381982,0.07539155,1.33658426,0.63767906,0.19627132,2.35454475,0.75650895,3.19744721
-5.99399700,7.91009639,0.22067515,0.07673929,1.33337952,0.65193114,0.19256723,2.34142389,0.76512770,3.11977622
-5.98799400,7.82548880,0.22765689,0.07798982,1.33025201,0.66558847,0.18879041,2.32807764,0.77366254,3.04629644
-5.98199100,7.74435882,0.23464930,0.07912120,1.32722997,0.67842524,0.18494313,2.31448665,0.78198046,2.97705696
-5.97598799,7.66591874,0.24152863,0.08011070,1.32425549,0.69019893,0.18101710,2.30050509,0.78991986,2.91187737
-5.96998499,7.58895398,0.24816513,0.08093531,1.32118571,0.70065669,0.17699509,2.28586771,0.79729202,2.85036520
-5.96398199,7.51188082,0.25442534,0.08157230,1.31779812,0.70954250,0.17285308,2.27020280,0.80388397,2.79194155
-5.95797899,7.43282029,0.26017469,0.08199984,1.31379992,0.71660496,0.16856270,2.25305037,0.80946280,2.73587377
-5.95197599,7.34968478,0.26528036,0.08219763,1.30884083,0.72160535,0.16409385,2.23388457,0.81378126,2.68131360
-5.94597299,7.26027340,0.26961424,0.08214746,1.30252885,0.72432559,0.15941741,2.21213922,0.81658460,2.62733892
-5.93996998,7.16237170,0.27305617,0.08183390,1.29444819,0.72457580,0.15450777,2.18723541,0.81761833,2.57299731
-5.93396698,7.05385146,0.27549701,0.08124477,1.28417840,0.72220113,0.14934511,2.15860966,0.81663664,2.51734944
-5.92796398,6.93276610,0.27684170,0.08037165,1.27131401,0.71708762,0.14391734,2.12574154,0.81341119,2.45951045
-5.92196098,6.79743787,0.27701216,0.07921029,1.25548356,0.70916682,0.13822152,2.08817941,0.80773987,2.39868766
-5.91595798,6.64653325,0.27594971,0.07776089,1.23636725,0.69841902,0.13226480,2.04556335,0.79945512,2.33421309
-5.90995498,6.47912374,0.27361722,0.07602825,1.21371242,0.68487506,0.12606479,1.99764422,0.78843147,2.26556973
-5.90395198,6.29473005,0.27000055,0.07402185,1.18734624,0.66861655,0.11964944,1.94429830,0.77459194,2.19241063
-5.89794897,6.09334836,0.26510948,0.07175575,1.15718501,0.64977468,0.11305634,1.88553701,0.75791294,2.11457047
-5.89194597,5.87545826,0.25897784,0.06924838,1.12323984,0.62852764,0.10633173,1.82151143,0.73842749,2.03206937
-5.88594297,5.64201300,0.25166304,0.06652222,1.08561847,0.60509680,0.09952909,1.75251179,0.71622656,1.94510927
-5.87993997,5.39441300,0.24324474,0.06360332,1.04452338,0.57974186,0.09270755,1.67896211,0.69145842,1.85406357
-5.87393697,5.13446476,0.23382296,0.06052078,1.00024633,0.55275522,0.08593019,1.60141041,0.66432602,1.75946054
-5.86793397,4.86432754,0.22351543,0.05730611,0.95315966,0.52445578,0.07926231,1.52051532,0.63508260,1.66196198
-5.86193097,4.58645061,0.21245460,0.05399256,0.90370495,0.49518241,0.07276986,1.43702964,0.60402553,1.56233806
-5.85592796,4.30350437,0.20078403,0.05061439,0.85237959,0.46528742,0.06651802,1.35178181,0.57148886,1.46143967
-5.84992496,4.01830826,0.18865472,0.04720617,0.79972192,0.43513022,0.06057005,1.26565628,0.53783474,1.36016978
-5.84392196,3.73375883,0.17622120,0.04380203,0.74629559,0.40507139,0.05498643,1.17957345,0.50344420,1.25945482
-5.83791896,3.45276065,0.16363767,0.04043503,0.69267393,0.37546731,0.04982438,1.09447018,0.46870766,1.16021746
-5.83191596,3.17816265,0.15105443,0.03713653,0.63942486,0.34666563,0.04513761,1.01128158,0.43401546,1.06335155
-5.82591296,2.91270191,0.13861443,0.03393568,0.58709696,0.31900149,0.04097649,0.93092458,0.39974897,0.96970031
-5.81990995,2.65895627,0.12645047,0.03085892,0.53620714,0.29279463,0.03738838,0.85428383,0.36627246,0.88003804
-5.81390695,2.41930676,0.11468270,0.02792973,0.48723029,0.26834742,0.03441816,0.78220009,0.33392600,0.79505594
-5.80790395,2.19591004,0.10341689,0.02516829,0.44059113,0.24594369,0.03210895,0.71546137,0.30301968,0.71535202
-5.80190095,1.99068050,0.09274308,0.02259141,0.39665833,0.22584821,0.03050271,0.65479639,0.27382925,0.64142501
-5.79589795,1.80528114,0.08273503,0.02021247,0.35574097,0.20830676,0.02964092,0.60087050,0.24659308,0.57367208
-5.78989495,1.64112212,0.07345007,0.01804146,0.31808709,0.19354658,0.02956499,0.55428325,0.22151061,0.51238974
-5.78389195,1.49936503,0.06492958,0.01608512,0.28388419,0.18177691,0.03031649,0.51556741,0.19874205,0.45777760
-5.77788894,1.38093133,0.05719984,0.01434710,0.25326144,0.17318944,0.03193702,0.48518869,0.17840917,0.40994412
-5.77188594,1.28651284,0.05027321,0.01282821,0.22629308,0.16795853,0.03446773,0.46354548,0.16059705,0.36891381
