energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,1.51619448,0.18508235,0.14603229,0.01107547,0.04511846,0.27532697,0.29465884,0.03161805,0.77387922
-5.99399700,1.52222010,0.18067704,0.14368291,0.01198743,0.04937139,0.26174124,0.30340134,0.03480898,0.76859406
-5.98799400,1.53671356,0.17789859,0.14188193,0.01291140,0.05396641,0.24982827,0.31362081,0.03821217,0.76759521
-5.98199100,1.55957916,0.17678880,0.14063511,0.01383550,0.05886806,0.23970002,0.32525105,0.04180092,0.77090816
-5.97598799,1.59057445,0.17737213,0.13993593,0.01474698,0.06403683,0.23144953,0.33818747,0.04554380,0.77848385
-5.96998499,1.62932244,0.17965646,0.13976687,0.01563268,0.06943028,0.22515094,0.35228984,0.04940510,0.79020334
-5.96398199,1.67532965,0.18363428,0.14010109,0.01647942,0.07500425,0.22086012,0.36738664,0.05334554,0.80588542
-5.95797899,1.72800972,0.18928443,0.14090470,0.01727453,0.08071437,0.21861594,0.38328101,0.05732309,0.82529691
-5.95197599,1.78671156,0.19657421,0.14213937,0.01800639,0.08651760,0.21844195,0.39975797,0.06129411,0.84816521
-5.94597299,1.85075089,0.20546191,0.14376514,0.01866498,0.09237390,0.22034839,0.41659285,0.06521455,0.87419273
-5.93996998,1.91944387,0.21589973,0.14574333,0.01924238,0.09824796,0.22433443,0.43356053,0.06904129,0.90307222
-5.93396698,1.99214107,0.22783677,0.14803943,0.01973326,0.10411080,0.23039021,0.45044510,0.07273360,0.93450255
-5.92796398,2.06826023,0.24122222,0.15062570,0.02013533,0.10994135,0.23849872,0.46704967,0.07625460,0.96820387
-5.92196098,2.14731615,0.25600847,0.15348349,0.02044962,0.11572783,0.24863730,0.48320580,0.07957265,1.00393155
-5.91595798,2.22894613,0.27215406,0.15660500,0.02068074,0.12146891,0.26077841,0.49878209,0.08266268,1.04148805
-5.90995498,2.31292953,0.28962633,0.15999456,0.02083699,0.12717462,0.27488984,0.51369166,0.08550734,1.08073199
-5.90395198,2.39920054,0.30840366,0.16366919,0.02093030,0.13286689,0.29093412,0.52789801,0.08809790,1.12158407
-5.89794897,2.48785333,0.32847724,0.16765861,0.02097608,0.13857986,0.30886720,0.54141902,0.09043491,1.16402933
-5.89194597,2.57913920,0.34985225,0.17200453,0.02099290,0.14435979,0.32863639,0.55432876,0.09252850,1.20811561
-5.88594297,2.67345589,0.37254847,0.17675942,0.02100212,0.15026459,0.35017788,0.56675701,0.09439833,1.25394832
-5.87993997,2.77132940,0.39660027,0.18198470,0.02102723,0.15636320,0.37341376,0.57888641,0.09607320,1.30168168
-5.87393697,2.87338921,0.42205598,0.18774863,0.02109331,0.16273446,0.39824895,0.59094721,0.09759020,1.35150684
-5.86793397,2.98033801,0.44897675,0.19412380,0.02122621,0.16946593,0.42456833,0.60320982,0.09899359,1.40363753
-5.86193097,3.09291727,0.47743481,0.20118448,0.02145179,0.17665234,0.45223408,0.61597532,0.10033329,1.45829386
