energy_ev,total_up,Ag_p_up,Ag_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.94719966,0.20633095,1.08847505,0.13268982,0.54054479,0.01031849,0.08894140,0.01062442,0.22374524
-5.99399700,1.92483852,0.19625457,1.06755855,0.12662643,0.54619206,0.01081954,0.08779832,0.01078673,0.21784469
-5.98799400,1.90475749,0.18789541,1.04707743,0.12135408,0.55252661,0.01130749,0.08694757,0.01093935,0.21276724
-5.98199100,1.88687126,0.18118471,1.02715344,0.11686399,0.55938212,0.01177764,0.08636380,0.01107679,0.20852285
-5.97598799,1.87105172,0.17603089,1.00790452,0.11313226,0.56657608,0.01222489,0.08601480,0.01119377,0.20510659
-5.96998499,1.85714199,0.17232479,0.98944778,0.11012214,0.57391700,0.01264384,0.08586274,0.01128530,0.20250030
-5.96398199,1.84497069,0.16994505,0.97190214,0.10778648,0.58121175,0.01302879,0.08586555,0.01134684,0.20067460
-5.95797899,1.83436557,0.16876315,0.95539036,0.10607040,0.58827276,0.01337393,0.08597835,0.01137442,0.19959100
-5.95197599,1.82516630,0.16864812,0.94004053,0.10491396,0.59492477,0.01367339,0.08615503,0.01136468,0.19920418
-5.94597299,1.81723568,0.16947077,0.92598686,0.10425486,0.60101088,0.01392143,0.08634969,0.01131502,0.19946422
-5.93996998,1.81046901,0.17110721,0.91336957,0.10403095,0.60639779,0.01411265,0.08651814,0.01122358,0.20031880
-5.93396698,1.80480102,0.17344181,0.90233397,0.10418262,0.61097984,0.01424211,0.08661929,0.01108937,0.20171526
-5.92796398,1.80021034,0.17636929,0.89302869,0.10465479,0.61468192,0.01430559,0.08661638,0.01091221,0.20360236
-5.92196098,1.79672109,0.17979625,0.88560298,0.10539871,0.61746103,0.01429974,0.08647810,0.01069279,0.20593183
-5.91595798,1.79440165,0.18364186,0.88020325,0.10637324,0.61930641,0.01422222,0.08617941,0.01043264,0.20865945
-5.90995498,1.79336066,0.18783806,0.87696885,0.10754584,0.62023845,0.01407192,0.08570220,0.01013411,0.21174581
-5.90395198,1.79374048,0.19232907,0.87602737,0.10889300,0.62030620,0.01384898,0.08503571,0.00980029,0.21515653
-5.89794897,1.79570846,0.19707062,0.87748964,0.11040041,0.61958381,0.01355490,0.08417662,0.00943499,0.21886220
-5.89194597,1.79944662,0.20202876,0.88144461,0.11206257,0.61816601,0.01319254,0.08312892,0.00904263,0.22283778
-5.88594297,1.80514026,0.20717858,0.88795462,0.11388215,0.61616285,0.01276610,0.08190359,0.00862817,0.22706184
-5.87993997,1.81296645,0.21250286,0.89705127,0.11586902,0.61369403,0.01228101,0.08051795,0.00819700,0.23151545
-5.87393697,1.82308297,0.21799090,0.90873226,0.11803905,0.61088309,0.01174381,0.07899492,0.00775485,0.23618107
-5.86793397,1.83561870,0.22363754,0.92295962,0.12041269,0.60785178,0.01116197,0.07736212,0.00730765,0.24104132
-5.86193097,1.85066606,0.22944252,0.93965954,0.12301357,0.60471489,0.01054372,0.07565086,0.00686147,0.24607805
-5.85592796,1.86827632,0.23541032,0.95872403,0.12586701,0.60157585,0.00989777,0.07389514,0.00642233,0.25127150
-5.84992496,1.88845794,0.24155038,0.98001460,0.12899863,0.59852328,0.00923309,0.07213056,0.00599618,0.25659989
-5.84392196,1.91117860,0.24787772,1.00336785,0.13243308,0.59562871,0.00855867,0.07039344,0.00558875,0.26203939
-5.83791896,1.93637049,0.25441397,1.02860289,0.13619297,0.59294549,0.00788330,0.06871987,0.00520545,0.26756451
-5.83191596,1.96393893,0.26118863,1.05553029,0.14029791,0.59050903,0.00721530,0.06714504,0.00485133,0.27314894
-5.82591296,1.99377360,0.26824043,1.08396214,0.14476393,0.58833812,0.00656241,0.06570259,0.00453098,0.27876671
-5.81990995,2.02576162,0.27561859,1.11372261,0.14960293,0.58643737,0.00593155,0.06442417,0.00424848,0.28439367
