energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,2.55421136,0.00289202,0.43365138,1.21469283,0.00000000,0.66512455,0.39203303
-5.99399700,2.49303167,0.00284279,0.44452884,1.15820869,0.00000000,0.66164248,0.39176644
-5.98799400,2.45160840,0.00281085,0.45963464,1.10996992,0.00000000,0.66329091,0.39494982
-5.98199100,2.42961179,0.00279586,0.47888803,1.06982065,0.00000000,0.66996639,0.40149130
-5.97598799,2.42625087,0.00279711,0.50210192,1.03742882,0.00000000,0.68143425,0.41122044
-5.96998499,2.44029519,0.00281349,0.52898637,1.01229635,0.00000000,0.69733184,0.42389211
-5.96398199,2.47010969,0.00284353,0.55915523,0.99377422,0.00000000,0.71717598,0.43919254
-5.95797899,2.51370212,0.00288546,0.59213581,0.98108214,0.00000000,0.74037435,0.45674758
-5.95197599,2.56878160,0.00293724,0.62738146,0.97333228,0.00000000,0.76624078,0.47613299
-5.94597299,2.63282678,0.00299663,0.66428678,0.96955624,0.00000000,0.79401401,0.49688630
-5.93996998,2.70316134,0.00306125,0.70220483,0.96873447,0.00000000,0.82287937,0.51852013
-5.93396698,2.77703431,0.00312870,0.74046596,0.96982707,0.00000000,0.85199272,0.54053631
-5.92796398,2.85170249,0.00319658,0.77839763,0.97180484,0.00000000,0.88050582,0.56244044
-5.92196098,2.92451183,0.00326262,0.81534437,0.97367947,0.00000000,0.90759224,0.58375634
-5.91595798,2.99297502,0.00332473,0.85068729,0.97453180,0.00000000,0.93247274,0.60403973
-5.90995498,3.05484213,0.00338103,0.88386225,0.97353698,0.00000000,0.95443937,0.62289079
-5.90395198,3.10816190,0.00342995,0.91437615,0.96998575,0.00000000,0.97287704,0.63996496
-5.89794897,3.15133128,0.00347026,0.94182051,0.96330103,0.00000000,0.98728196,0.65498160
-5.89194597,3.18313167,0.00350103,0.96588198,0.95304933,0.00000000,0.99727617,0.66773032
-5.88594297,3.20275068,0.00352171,0.98634936,0.93894663,0.00000000,1.00261751,0.67807450
-5.87993997,3.20978900,0.00353208,1.00311687,0.92085887,0.00000000,1.00320492,0.68595226
-5.87393697,3.20425273,0.00353224,1.01618378,0.89879699,0.00000000,0.99907874,0.69137466
-5.86793397,3.18653216,0.00352257,1.02565046,0.87290727,0.00000000,0.99041630,0.69442146
-5.86193097,3.15736850,0.00350367,1.03171121,0.84345737,0.00000000,0.97752311,0.69523476
-5.85592796,3.11781070,0.00347636,1.03464447,0.81081911,0.00000000,0.96082009,0.69401081
-5.84992496,3.06916484,0.00344157,1.03480085,0.77544871,0.00000000,0.94082776,0.69099063
-5.84392196,3.01293881,0.00340034,1.03258975,0.73786568,0.00000000,0.91814793,0.68644971
-5.83791896,2.95078494,0.00335374,1.02846530,0.69863124,0.00000000,0.89344409,0.68068763
-5.83191596,2.88444322,0.00330283,1.02291216,0.65832722,0.00000000,0.86742109,0.67401773
-5.82591296,2.81568763,0.00324866,1.01643201,0.61753639,0.00000000,0.84080520,0.66675760
-5.81990995,2.74627736,0.00319222,1.00953108,0.57682486,0.00000000,0.81432522,0.65922047
-5.81390695,2.67791456,0.00313443,1.00270911,0.53672710,0.00000000,0.78869522,0.65170792
-5.80790395,2.61220972,0.00307612,0.99645015,0.49773400,0.00000000,0.76459960,0.64450408
-5.80190095,2.55065486,0.00301810,0.99121514,0.46028414,0.00000000,0.74268055,0.63787123
-5.79589795,2.49460476,0.00296109,0.98743631,0.42475820,0.00000000,0.72352825,0.63204689
-5.78989495,2.44526562,0.00290579,0.98551331,0.39147649,0.00000000,0.70767371,0.62724226
-5.78389195,2.40369023,0.00285290,0.98581070,0.36069921,0.00000000,0.69558407,0.62364177
-5.77788894,2.37077862,0.00280311,0.98865666,0.33262896,0.00000000,0.68766028,0.62140355
