energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,5.17393171,0.03469494,0.46060568,0.71858795,0.40818573,1.61443302,2.53920634,1.88975222,0.00000000
-5.99399700,5.14553729,0.03405168,0.45834207,0.70417897,0.41519452,1.56315661,2.52538736,1.88192585,0.00000000
-5.98799400,5.11820159,0.03339464,0.45567961,0.69321899,0.42290545,1.52143014,2.50829556,1.87639662,0.00000000
-5.98199100,5.09398517,0.03276368,0.45278138,0.68611011,0.43151499,1.49068712,2.48855084,1.87401349,0.00000000
-5.97598799,5.07503331,0.03219960,0.44983440,0.68319165,0.44123315,1.47225070,2.46685551,1.87561783,0.00000000
-5.96998499,5.06354323,0.03174319,0.44704514,0.68473762,0.45228104,1.46731491,2.44398467,1.88203280,0.00000000
-5.96398199,5.06172457,0.03143412,0.44463403,0.69095439,0.46488696,1.47692623,2.42077365,1.89405036,0.00000000
-5.95797899,5.07175258,0.03130997,0.44282928,0.70197822,0.47928111,1.50196503,2.39810208,1.91241558,0.00000000
-5.95197599,5.09571404,0.03140516,0.44186006,0.71787243,0.49568866,1.54312654,2.37687484,1.93780801,0.00000000
-5.94597299,5.13554673,0.03175003,0.44194923,0.73862406,0.51432136,1.60090131,2.35799990,1.97082030,0.00000000
-5.93996998,5.19297360,0.03236989,0.44330597,0.76414017,0.53536788,1.67555545,2.34236372,2.01193447,0.00000000
-5.93396698,5.26943380,0.03328421,0.44611841,0.79424400,0.55898309,1.76711107,2.33080470,2.06149657,0.00000000
-5.92796398,5.36601314,0.03450588,0.45054675,0.82867122,0.58527685,1.87532807,2.32408581,2.11969076,0.00000000
-5.92196098,5.48337695,0.03604055,0.45671707,0.86706695,0.61430262,1.99968813,2.32286719,2.18651414,0.00000000
-5.91595798,5.62170904,0.03788615,0.46471611,0.90898397,0.64604660,2.13938243,2.32768029,2.26175373,0.00000000
-5.90995498,5.78066014,0.04003253,0.47458743,0.95388274,0.68041808,2.29330454,2.33890449,2.34496715,0.00000000
-5.90395198,5.95930968,0.04246128,0.48632903,1.00113378,0.71724142,2.46004977,2.35674777,2.43546871,0.00000000
-5.89794897,6.15614397,0.04514575,0.49989269,1.05002293,0.75625056,2.63792240,2.38123242,2.53232221,0.00000000
-5.89194597,6.36905381,0.04805124,0.51518508,1.09975973,0.79708636,2.82495182,2.41218701,2.63434190,0.00000000
-5.88594297,6.59535357,0.05113548,0.53207074,1.14948933,0.83929745,3.01891825,2.44924540,2.74010242,0.00000000
-5.87993997,6.83182292,0.05434926,0.55037663,1.19830760,0.88234466,3.21738823,2.49185325,2.84795852,0.00000000
-5.87393697,7.07477135,0.05763742,0.56989830,1.24527958,0.92560949,3.41775965,2.53928237,2.95607455,0.00000000
-5.86793397,7.32012465,0.06093991,0.59040727,1.28946053,0.96840619,3.61731545,2.59065262,3.06246347,0.00000000
-5.86193097,7.56353088,0.06419324,0.61165931,1.32991909,1.00999771,3.81328449,2.64496075,3.16503446,0.00000000
-5.85592796,7.80048284,0.06733194,0.63340313,1.36576182,1.04961455,4.00290774,2.70111540,3.26164783,0.00000000
-5.84992496,8.02645249,0.07029032,0.65538914,1.39615798,1.08647644,4.18350739,2.75797664,3.35017535,0.00000000
-5.84392196,8.23703231,0.07300421,0.67737780,1.42036373,1.11981557,4.35255616,2.81439872,3.42856385,0.00000000
-5.83791896,8.42807765,0.07541281,0.69914697,1.43774462,1.14890086,4.50774382,2.86927391,3.49489950,0.00000000
-5.83191596,8.59584422,0.07746045,0.72049808,1.44779534,1.17306204,4.64703829,2.92157567,3.54747021,0.00000000
-5.82591296,8.73711431,0.07909834,0.74126062,1.45015592,1.19171259,4.76873819,2.97039893,3.58482336,0.00000000
-5.81990995,8.84930629,0.08028600,0.76129485,1.44462361,1.20437051,4.87151470,3.01499561,3.60581633,0.00000000
-5.81390695,8.93056200,0.08099262,0.78049256,1.43115973,1.21067597,4.95444067,3.05480364,3.60965738,0.00000000
-5.80790395,8.97980806,0.08119800,0.79877586,1.40989136,1.21040502,5.01700557,3.08946789,3.59593511,0.00000000
-5.80190095,8.99678797,0.08089322,0.81609428,1.38110765,1.20347869,5.05911571,3.11885208,3.56463480,0.00000000
-5.79589795,8.98206353,0.08008091,0.83242030,1.34525096,1.18996706,5.08107983,3.14304078,3.51614095,0.00000000
-5.78989495,8.93698527,0.07877512,0.84774373,1.30290309,1.17008807,5.08358083,3.16233160,3.45122568,0.00000000
-5.78389195,8.86363351,0.07700085,0.86206539,1.25476747,1.14420110,5.06763521,3.17721766,3.37102341,0.00000000
-5.77788894,8.76473263,0.07479315,0.87539057,1.20164783,1.11279563,5.03454251,3.18836135,3.27699294,0.00000000
-5.77188594,8.64354281,0.07219600,0.88772275,1.14442438,1.07647543,4.98582704,3.19656064,3.17086853,0.00000000
-5.76588294,8.50373431,0.06926076,0.89905805,1.08402857,1.03593912,4.92317529,3.20270953,3.05460216,0.00000000
-5.75987994,8.34925018,0.06604459,0.90938082,1.02141726,0.99195777,4.84837166,3.20775479,2.93029958,0.00000000
-5.75387694,8.18416378,0.06260862,0.91866076,0.95754754,0.94535080,4.76323581,3.21265100,2.80015282,0.00000000
-5.74787394,8.01253763,0.05901610,0.92685160,0.89335291,0.89696095,4.66956430,3.21831616,2.66637218,0.00000000
-5.74187094,7.83828952,0.05533058,0.93389167,0.82972174,0.84762954,4.56907897,3.22559015,2.53112044,0.00000000
-5.73586793,7.66507174,0.05161418,0.93970610,0.76747866,0.79817299,4.46338389,3.23519787,2.39645213,0.00000000
