energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.82971248,0.69880865,0.28924674,0.00456423,0.45652166,0.08324014,1.26226274,0.42210973,0.34364141
-5.99399700,2.72066293,0.62545900,0.27884958,0.00479764,0.46951334,0.07739091,1.17713793,0.43861658,0.35074021
-5.98799400,2.65663715,0.56253483,0.27286473,0.00510674,0.49114978,0.07267796,1.11051419,0.46310985,0.36408126
-5.98199100,2.63778470,0.50996285,0.27128258,0.00549217,0.52158384,0.06910008,1.06232437,0.49579116,0.38376742
-5.97598799,2.66361175,0.46753289,0.27402416,0.00595323,0.56085642,0.06663727,1.03222545,0.53675353,0.40981882
-5.96998499,2.73301515,0.43491944,0.28094467,0.00648780,0.60889189,0.06525272,1.01962540,0.58597448,0.44217094
-5.96398199,2.84431859,0.41170228,0.29183744,0.00709235,0.66549418,0.06489496,1.02371082,0.64330986,0.48067319
-5.95797899,2.99531026,0.39738548,0.30643816,0.00776189,0.73034368,0.06549994,1.04347437,0.70848874,0.52508805
-5.95197599,3.18328223,0.39141430,0.32442942,0.00849000,0.80299568,0.06699313,1.07774136,0.78110996,0.57509123
-5.94597299,3.40507182,0.39318973,0.34544563,0.00926883,0.88288080,0.06929154,1.12519540,0.86064098,0.63027303
-5.93996998,3.65710615,0.40208064,0.36907838,0.01008927,0.96930795,0.07230561,1.18440281,0.94641949,0.69014130
-5.93396698,3.93545038,0.41743361,0.39488226,0.01094098,1.06147028,0.07594099,1.25383602,1.03765834,0.75412616
-5.92796398,4.23586097,0.43858082,0.42238123,0.01181263,1.15845443,0.08010023,1.33189603,1.13345422,0.82158678
-5.92196098,4.55384419,0.46484615,0.45107561,0.01269206,1.25925332,0.08468430,1.41693424,1.23280023,0.89182025
-5.91595798,4.88472047,0.49555008,0.48044969,0.01356652,1.36278237,0.08959398,1.50727382,1.33460249,0.96407250
-5.90995498,5.22369414,0.53001365,0.50997986,0.01442295,1.46789900,0.09473119,1.60123068,1.43770057,1.03755127
-5.90395198,5.56592791,0.56756182,0.53914324,0.01524829,1.57342498,0.10000010,1.69713427,1.54089133,1.11144067
-5.89794897,5.90662088,0.60752678,0.56742659,0.01602972,1.67817090,0.10530822,1.79334800,1.64295569,1.18491713
-5.89194597,6.24108830,0.64925108,0.59433536,0.01675504,1.78096214,0.11056732,1.88828925,1.74268746,1.25716621
-5.88594297,6.56484112,0.69209115,0.61940271,0.01741289,1.88066536,0.11569424,1.98044867,1.83892327,1.32739972
-5.87993997,6.87366297,0.73542095,0.64219805,0.01799308,1.97621451,0.12061161,2.06840849,1.93057271,1.39487269
-5.87393697,7.16368255,0.77863602,0.66233509,0.01848681,2.06663549,0.12524845,2.15085961,2.01664747,1.45889945
-5.86793397,7.43143890,0.82115778,0.67947901,0.01888687,2.15106859,0.12954073,2.22661696,2.09628841,1.51886856
-5.86193097,7.67393796,0.86243804,0.69335256,0.01918779,2.22878773,0.13343176,2.29463310,2.16878972,1.57425586
-5.85592796,7.88869875,0.90196351,0.70374096,0.01938595,2.29921610,0.13687256,2.35400958,2.23361906,1.62463548
-5.84992496,8.07378809,0.93926043,0.71049538,0.01947961,2.36193754,0.13982221,2.40400607,2.29043309,1.66968836
-5.84392196,8.22784342,0.97389892,0.71353507,0.01946890,2.41670358,0.14224813,2.44404716,2.33908771,1.70920822
-5.83791896,8.35008352,1.00549724,0.71284792,0.01935577,2.46343584,0.14412625,2.47372681,2.37964287,1.74310485
-5.83191596,8.44030766,1.03372565,0.70848976,0.01914383,2.50222417,0.14544136,2.49281060,2.41236145,1.77140468
-5.82591296,8.49888385,1.05831005,0.70058222,0.01883825,2.53332051,0.14618724,2.50123590,2.43770255,1.79424881
-5.81990995,8.52672734,1.07903522,0.68930955,0.01844551,2.55712905,0.14636690,2.49911013,2.45630913,1.81188848
-5.81390695,8.52527041,1.09574771,0.67491438,0.01797324,2.57419303,0.14599280,2.48670740,2.46899051,1.82467822
-5.80790395,8.49642487,1.10835841,0.65769273,0.01742994,2.58517865,0.14508693,2.46446365,2.47670000,1.83306680
-5.80190095,8.44253824,1.11684474,0.63798840,0.01682479,2.59085653,0.14368099,2.43297034,2.48050841,1.83758608
-5.79589795,8.36634477,1.12125250,0.61618710,0.01616739,2.59208131,0.14181629,2.39296709,2.48157381,1.83883808
-5.78989495,8.27091211,1.12169721,0.59271025,0.01546757,2.58976957,0.13954369,2.34533295,2.48110841,1.83748015
-5.78389195,8.15958427,1.11836496,0.56800887,0.01473517,2.58487660,0.13692327,2.29107653,2.48034326,1.83420869
-5.77788894,8.03592132,1.11151252,0.54255757,0.01397988,2.57837226,0.13402387,2.23132479,2.48049142,1.82974137
-5.77188594,7.90363628,1.10146661,0.51684867,0.01321107,2.57121638,0.13092229,2.16731034,2.48271068,1.82479821
-5.76588294,7.76652940,1.08862207,0.49138670,0.01243772,2.56433381,0.12770241,2.10035718,2.48806659,1.82008187
-5.75987994,7.62842027,1.07343869,0.46668305,0.01166824,2.55858984,0.12445381,2.03186452,2.49749675,1.81625736
-5.75387694,7.49307823,1.05643649,0.44325095,0.01091046,2.55476608,0.12127030,1.96328876,2.51177764,1.81393187
-5.74787394,7.36415159,1.03818918,0.42160056,0.01017158,2.55353766,0.11824805,1.89612323,2.53149479,1.81363511
-5.74187094,7.24509676,1.01931565,0.40223416,0.00945810,2.55545217,0.11548350,1.83187589,2.55701753,1.81580096
-5.73586793,7.13910822,1.00046937,0.38564132,0.00877580,2.56091106,0.11307105,1.77204483,2.58847945,1.82075100
-5.72986493,7.04905081,0.98232570,0.37229382,0.00812980,2.57015427,0.11110060,1.71809187,2.62576541,1.82868082
-5.72386193,6.97739589,0.96556708,0.36264037,0.00752446,2.58324881,0.10965495,1.67141438,2.66850604,1.83964965
-5.71785893,6.92616299,0.95086642,0.35710077,0.00696346,2.60008188,0.10880718,1.63331584,2.71608034,1.85357407
-5.71185593,6.89686888,0.93886902,0.35605967,0.00644978,2.62035924,0.10861813,1.60497570,2.76762677,1.87022618
-5.70585293,6.89048558,0.93017334,0.35985964,0.00598569,2.64360913,0.10913399,1.58741905,2.82206278,1.88923678
-5.69984992,6.90740905,0.92531142,0.36879369,0.00557277,2.66919196,0.11038418,1.58148713,2.87811261,1.91010345
-5.69384692,6.94743968,0.92472939,0.38309719,0.00521192,2.69631580,0.11237958,1.58780944,2.93434246,1.93220357
-5.68784392,7.00977593,0.92876911,0.40293938,0.00490337,2.72405731,0.11511119,1.60677840,2.98920211,1.95481199
-5.68184092,7.09302153,0.93765145,0.42841465,0.00464665,2.75138752,0.11854935,1.63852774,3.04107157,1.97712261
-5.67583792,7.19520656,0.95146234,0.45953385,0.00444066,2.77720167,0.12264352,1.68291552,3.08831087,1.99827322
-5.66983492,7.31382253,0.97014214,0.49621592,0.00428361,2.80035214,0.12732275,1.73951275,3.12931140,2.01737260
-5.66383192,7.44587061,0.99347910,0.53828045,0.00417311,2.81968315,0.13249680,1.80759867,3.16254647,2.03352881
-5.65782891,7.58792238,1.02110757,0.58544139,0.00410616,2.83406604,0.13805796,1.88616322,3.18661935,2.04587751
-5.65182591,7.73619186,1.05251123,0.63730264,0.00407918,2.84243381,0.14388349,1.97391746,3.20030681,2.05360928
-5.64582291,7.88661725,1.08703167,0.69335591,0.00408811,2.84381364,0.14983868,2.06931211,3.20259651,2.05599475
-5.63981991,8.03495072,1.12388225,0.75298130,0.00412841,2.83735627,0.15578041,2.17056441,3.19271693,2.05240681
-5.63381691,8.17685433,1.16216702,0.81545119,0.00419520,2.82236123,0.16156113,2.27569287,3.17015882,2.04233891
-5.62781391,8.30799987,1.20090412,0.87993756,0.00428329,2.79829720,0.16703310,2.38255947,3.13468776,2.02541915
-5.62181091,8.42417059,1.23905313,0.94552315,0.00438734,2.76481694,0.17205278,2.48891834,3.08634757,2.00141968
-5.61580790,8.52136226,1.27554518,1.01121632,0.00450192,2.72176656,0.17648513,2.59246961,3.02545503,1.97026137
-5.60980490,8.59588129,1.30931505,1.07596963,0.00462166,2.66918903,0.18020780,2.69091709,2.95258648,1.93201384
-5.60380190,8.64443735,1.33933375,1.13870173,0.00474137,2.60732220,0.18311490,2.78202778,2.86855738,1.88689118
-5.59779890,8.66422813,1.36464048,1.19832201,0.00485617,2.53659157,0.18512029,2.86369153,2.77439605,1.83524376
-5.59179590,8.65301377,1.38437274,1.25375743,0.00496159,2.45759849,0.18616027,2.93397863,2.67131291,1.77754671
-5.58579290,8.60917868,1.39779327,1.30398047,0.00505370,2.37110422,0.18619549,2.99119330,2.56066667,1.71438569
-5.57978989,8.53177864,1.40431276,1.34803738,0.00512923,2.27801072,0.18521210,3.03392122,2.44392885,1.64644059
-5.57378689,8.42057154,1.40350753,1.38507547,0.00518561,2.17933872,0.18322203,3.06106917,2.32264797,1.57446782
-5.56778389,8.27603001,1.39513144,1.41436844,0.00522109,2.07620392,0.18026245,3.07189527,2.19841432,1.49928176
-5.56178089,8.09933545,1.37912152,1.43533858,0.00523474,1.96979184,0.17639435,3.06602866,2.07282645,1.42173592
-5.55577789,7.89235259,1.35559736,1.44757490,0.00522648,1.86133214,0.17170049,3.04347766,1.94745995,1.34270440
-5.54977489,7.65758518,1.32485428,1.45084622,0.00519707,1.75207282,0.16628253,3.00462622,1.82383899,1.26306384
-5.54377189,7.39811350,1.28735067,1.44510870,0.00514809,1.64325494,0.16025775,2.95021856,1.70341088,1.18367640
-5.53776888,7.11751528,1.24369022,1.43050726,0.00508180,1.53608832,0.15375527,2.88133273,1.58752381,1.10537389
-5.53176588,6.81977224,1.19459982,1.40737084,0.00500114,1.43172863,0.14691205,2.79934392,1.47740771,1.02894341
-5.52576288,6.50916513,1.14090419,1.37620160,0.00490954,1.33125622,0.13986875,2.70587908,1.37415808,0.95511442
-5.51975988,6.19016047,1.08349833,1.33765844,0.00481081,1.23565720,0.13276565,2.60276453,1.27872269,0.88454769
-5.51375688,5.86729279,1.02331889,1.29253556,0.00470897,1.14580685,0.12573865,2.49196856,1.19189097,0.81782586
-5.50775388,5.54504624,0.96131568,1.24173700,0.00460814,1.06245588,0.11891572,2.37554122,1.11428599,0.75544608
-5.50175088,5.22773971,0.89842435,1.18624816,0.00451231,0.98621962,0.11241359,2.25555361,1.04635900,0.69781446
-5.49574787,4.91941936,0.83554120,1.12710551,0.00442523,0.91757046,0.10633506,2.13403878,0.98838637,0.64524257
