energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,10.69866142,0.02901254,1.16413114,3.25388154,5.22180860,0.09780994,3.17143718,1.68756699,0.62952206
-5.99399700,10.78981961,0.02902426,1.16851843,3.27963369,5.27980554,0.09765083,3.19200252,1.68669752,0.63047087
-5.98799400,10.86959186,0.02902093,1.17144173,3.30072603,5.33241701,0.09734306,3.20989244,1.68415137,0.63070743
-5.98199100,10.93823758,0.02900356,1.17301881,3.31721357,5.37956891,0.09690301,3.22525405,1.68019656,0.63038140
-5.97598799,10.99594732,0.02897203,1.17335828,3.32916033,5.42114827,0.09634590,3.23820014,1.67509002,0.62964469
-5.96998499,11.04283447,0.02892507,1.17255651,3.33663864,5.45700284,0.09568528,3.24880632,1.66907058,0.62864693
-5.96398199,11.07893204,0.02886035,1.17069543,3.33972917,5.48694326,0.09493282,3.25710983,1.66235278,0.62753103
-5.95797899,11.10419434,0.02877465,1.16784148,3.33852142,5.51074767,0.09409815,3.26310999,1.65512166,0.62642887
-5.95197599,11.11850319,0.02866404,1.16404546,3.33311464,5.52816855,0.09318878,3.26677009,1.64752866,0.62545721
-5.94597299,11.12167808,0.02852415,1.15934335,3.32361893,5.53894135,0.09221024,3.26802063,1.63968883,0.62471409
-5.93996998,11.11348985,0.02835038,1.15375786,3.31015651,5.54279464,0.09116621,3.26676385,1.63167931,0.62427568
-5.93396698,11.09367735,0.02813825,1.14730082,3.29286314,5.53946138,0.09005881,3.26287939,1.62353934,0.62419397
-5.92796398,11.06196641,0.02788363,1.13997593,3.27188949,5.52869089,0.08888889,3.25623091,1.61527165,0.62449508
-5.92196098,11.01809054,0.02758302,1.13178203,3.24740266,5.51026107,0.08765649,3.24667357,1.60684535,0.62517859
-5.91595798,10.96181286,0.02723380,1.12271647,3.21958772,5.48399054,0.08636116,3.23406224,1.59820016,0.62621774
-5.90995498,10.89294839,0.02683444,1.11277861,3.18864923,5.44975027,0.08500241,3.21826009,1.58925201,0.62756064
-5.90395198,10.81138622,0.02638462,1.10197312,3.15481288,5.40747435,0.08358013,3.19914748,1.57989954,0.62913240
-5.89794897,10.71711072,0.02588537,1.09031305,3.11832694,5.35716961,0.08209492,3.17663074,1.57003153,0.63083809
-5.89194597,10.61022115,0.02533909,1.07782253,3.07946358,5.29892358,0.08054844,3.15065054,1.55953479,0.63256656
-5.88594297,10.49094876,0.02474953,1.06453891,3.03851992,5.23291089,0.07894368,3.12118950,1.54830210,0.63419478
-5.87993997,10.35967083,0.02412176,1.05051434,2.99581839,5.15939745,0.07728514,3.08827877,1.53624000,0.63559268
-5.87393697,10.21692077,0.02346199,1.03581665,2.95170653,5.07874257,0.07557899,3.05200307,1.52327584,0.63662818
-5.86793397,10.06339366,0.02277742,1.02052953,2.90655562,4.99139864,0.07383305,3.01250393,1.50936384,0.63717226
-5.86193097,9.89994681,0.02207602,1.00475201,2.86075828,4.89790846,0.07205683,2.96998099,1.49448979,0.63710382
-5.85592796,9.72759475,0.02136630,0.98859712,2.81472454,4.79890001,0.07026136,2.92469094,1.47867404,0.63631412
-5.84992496,9.54749863,0.02065701,0.97218994,2.76887652,4.69507883,0.06845903,2.87694427,1.46197277,0.63471061
-5.84392196,9.36094998,0.01995690,0.95566500,2.72364153,4.58721815,0.06666332,2.82709965,1.44447722,0.63222007
-5.83791896,9.16934907,0.01927444,0.93916310,2.67944372,4.47614675,0.06488852,2.77555618,1.42631113,0.62879078
-5.83191596,8.97417850,0.01861754,0.92282771,2.63669452,4.36273507,0.06314940,2.72274383,1.40762629,0.62439381
-5.82591296,8.77697265,0.01799331,0.90680107,2.59578208,4.24787966,0.06146081,2.66911232,1.38859665,0.61902335
-5.81990995,8.57928417,0.01740787,0.89122007,2.55706014,4.13248654,0.05983734,2.61511893,1.36941102,0.61269608
-5.81390695,8.38264854,0.01686618,0.87621220,2.52083693,4.01745392,0.05829298,2.56121593,1.35026513,0.60544966
-5.80790395,8.18854822,0.01637190,0.86189165,2.48736457,3.90365469,0.05684075,2.50783791,1.33135306,0.59734051
-5.80190095,7.99837763,0.01592730,0.84835568,2.45682956,3.79191931,0.05549242,2.45538988,1.31285887,0.58844094
-5.79589795,7.81341060,0.01553327,0.83568156,2.42934502,3.68301969,0.05425827,2.40423643,1.29494860,0.57883581
-5.78989495,7.63477146,0.01518932,0.82392412,2.40494518,3.57765456,0.05314689,2.35469267,1.27776325,0.56861904
-5.78389195,7.46341116,0.01489365,0.81311404,2.38358259,3.47643680,0.05216507,2.30701707,1.26141297,0.55788989
-5.77788894,7.30008935,0.01464326,0.80325707,2.36512832,3.37988337,0.05131772,2.26140681,1.24597286,0.54674949
-5.77188594,7.14536320,0.01443416,0.79433407,2.34937545,3.28840798,0.05060785,2.21799546,1.23148039,0.53529754
-5.76588294,6.99958344,0.01426147,0.78630207,2.33604576,3.20231694,0.05003667,2.17685337,1.21793480,0.52362947
-5.75987994,6.86289770,0.01411973,0.77909623,2.32479944,3.12180827,0.04960364,2.13799032,1.20529815,0.51183412
-5.75387694,6.73526084,0.01400305,0.77263258,2.31524765,3.04697404,0.04930657,2.10136053,1.19349819,0.49999201
-5.74787394,6.61645184,0.01390539,0.76681158,2.30696718,2.97780586,0.04914185,2.06686948,1.18243272,0.48817427
-5.74187094,6.50609625,0.01382077,0.76152221,2.29951678,2.91420326,0.04910450,2.03438227,1.17197511,0.47644216
-5.73586793,6.40369307,0.01374351,0.75664650,2.29245430,2.85598446,0.04918838,2.00373301,1.16198084,0.46484731
-5.72986493,6.30864475,0.01366837,0.75206422,2.28535396,2.80289913,0.04938630,1.97473471,1.15229453,0.45343236
-5.72386193,6.22028878,0.01359078,0.74765760,2.27782278,2.75464243,0.04969013,1.94718933,1.14275722,0.44223219
-5.71785893,6.13792945,0.01350695,0.74331582,2.26951564,2.71086982,0.05009085,1.92089733,1.13321348,0.43127539
-5.71185593,6.06086822,0.01341393,0.73893901,2.26014792,2.67121180,0.05057861,1.89566642,1.12351802,0.42058600
-5.70585293,5.98843123,0.01330972,0.73444169,2.24950557,2.63528804,0.05114277,1.87131911,1.11354159,0.41018524
-5.69984992,5.91999305,0.01319324,0.72975546,2.23745175,2.60272021,0.05177184,1.84769886,1.10317584,0.40009328
-5.69384692,5.85499536,0.01306432,0.72483070,2.22393006,2.57314307,0.05245352,1.82467448,1.09233709,0.39033072
-5.68784392,5.79296017,0.01292365,0.71963744,2.20896412,2.54621326,0.05317465,1.80214288,1.08096883,0.38091979
-5.68184092,5.73349701,0.01277268,0.71416518,2.19265366,2.52161565,0.05392120,1.78002998,1.06904297,0.37188519
-5.67583792,5.67630430,0.01261355,0.70842185,2.17516732,2.49906700,0.05467830,1.75829001,1.05655983,0.36325443
-5.66983492,5.62116498,0.01244891,0.70243189,2.15673266,2.47831701,0.05543027,1.73690327,1.04354709,0.35505773
-5.66383192,5.56793708,0.01228182,0.69623358,2.13762379,2.45914688,0.05616076,1.71587261,1.03005761,0.34732739
-5.65782891,5.51654015,0.01211561,0.68987588,2.11814742,2.44136570,0.05685284,1.69521888,1.01616653,0.34009679
-5.65182591,5.46693854,0.01195374,0.68341484,2.09862790,2.42480515,0.05748927,1.67497568,1.00196769,0.33339898
-5.64582291,5.41912276,0.01179969,0.67690984,2.07939196,2.40931295,0.05805270,1.65518381,0.98756963,0.32726500
-5.63981991,5.37309027,0.01165682,0.67041990,2.06075401,2.39474575,0.05852604,1.63588563,0.97309137,0.32172208
-5.63381691,5.32882700,0.01152832,0.66400016,2.04300247,2.38096201,0.05889279,1.61711975,0.95865813,0.31679181
-5.62781391,5.28629083,0.01141709,0.65769874,2.02638775,2.36781555,0.05913742,1.59891639,0.94439723,0.31248839
-5.62181091,5.24539819,0.01132569,0.65155426,2.01111241,2.35515032,0.05924580,1.58129359,0.93043421,0.30881722
-5.61580790,5.20601466,0.01125631,0.64559386,1.99732385,2.34279693,0.05920558,1.56425454,0.91688939,0.30577372
-5.60980490,5.16795035,0.01121074,0.63983203,1.98510955,2.33057122,0.05900659,1.54778614,0.90387489,0.30334271
-5.60380190,5.13096027,0.01119032,0.63427024,1.97449526,2.31827527,0.05864119,1.53185896,0.89149217,0.30149830
-5.59779890,5.09475002,0.01119599,0.62889725,1.96544575,2.30570080,0.05810456,1.51642849,0.87983012,0.30020422
-5.59179590,5.05898629,0.01122827,0.62369015,1.95786824,2.29263492,0.05739497,1.50143766,0.86896369,0.29941488
-5.58579290,5.02331187,0.01128728,0.61861601,1.95161796,2.27886807,0.05651392,1.48682055,0.85895299,0.29907673
-5.57978989,4.98736418,0.01137275,0.61363409,1.94650568,2.26420360,0.05546622,1.47250691,0.84984294,0.29913016
