energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,7.39604540,0.02955125,0.60801710,2.00423350,1.92804742,0.14180216,3.11758380,1.18754227,0.36851306
-5.99399700,7.31640038,0.02865405,0.59546599,2.00828605,1.92162803,0.13652975,3.07736677,1.17014516,0.37109930
-5.98799400,7.23769530,0.02783758,0.58271196,2.02108203,1.91514114,0.13114038,3.03668869,1.15264255,0.37353417
-5.98199100,7.16197832,0.02712108,0.56992544,2.04394677,1.90902296,0.12566220,2.99640156,1.13545013,0.37586123
-5.97598799,7.09139009,0.02652229,0.55729392,2.07819581,1.90372897,0.12012423,2.95740811,1.11897868,0.37813962
-5.96998499,7.02813743,0.02605713,0.54501981,2.12510378,1.89972850,0.11455659,2.92065123,1.10362901,0.38044400
-5.96398199,6.97445607,0.02573949,0.53331722,2.18586733,1.89749694,0.10899069,2.88709842,1.08978655,0.38286336
-5.95797899,6.93256191,0.02558086,0.52240753,2.26156232,1.89750552,0.10345920,2.85772128,1.07781520,0.38549893
-5.95197599,6.90459111,0.02559012,0.51251395,2.35309649,1.90020852,0.09799586,2.83347012,1.06805029,0.38846095
-5.94597299,6.89253033,0.02577318,0.50385508,2.46115867,1.90602810,0.09263513,2.81524431,1.06079088,0.39186449
-5.93996998,6.89813943,0.02613274,0.49663763,2.58616668,1.91533719,0.08741178,2.80385957,1.05629135,0.39582449
-5.93396698,6.92286982,0.02666804,0.49104879,2.72821627,1.92844104,0.08236032,2.80001327,1.05475268,0.40045009
-5.92796398,6.96778243,0.02737462,0.48724838,2.88703373,1.94555835,0.07751437,2.80424982,1.05631376,0.40583876
-5.92196098,7.03346973,0.02824421,0.48536120,3.06193508,1.96680294,0.07290595,2.81692771,1.06104336,0.41207022
-5.91595798,7.11998660,0.02926464,0.48547000,3.25179479,1.99216706,0.06856489,2.83819038,1.06893306,0.41920076
-5.90995498,7.22679472,0.03041991,0.48760945,3.45502679,2.02150761,0.06451809,2.86794266,1.07989208,0.42725811
-5.90395198,7.35272468,0.03169032,0.49176140,3.66957999,2.05453625,0.06078895,2.90583473,1.09374413,0.43623730
-5.89794897,7.49595961,0.03305273,0.49785177,3.89295036,2.09081439,0.05739685,2.95125474,1.11022706,0.44609757
-5.89194597,7.65404281,0.03448101,0.50574935,4.12221052,2.12975395,0.05435666,3.00333136,1.12899546,0.45676087
-5.88594297,7.82391096,0.03594655,0.51526657,4.35405726,2.17062421,0.05167839,3.06094658,1.14962644,0.46811169
-5.87993997,8.00195297,0.03741887,0.52616238,4.58487627,2.21256506,0.04936697,3.12275888,1.17162858,0.47999866
-5.87393697,8.18409336,0.03886640,0.53814716,4.81082271,2.25460648,0.04742209,3.18723605,1.19445385,0.49223767
-5.86793397,8.36589744,0.04025722,0.55088959,5.02791507,2.29569354,0.04583812,3.25269657,1.21751221,0.50461635
-5.86193097,8.54269448,0.04156000,0.56402511,5.23213914,2.33471641,0.04460424,3.31735810,1.24018822,0.51690002
-5.85592796,8.70971423,0.04274474,0.57716592,5.41955831,2.37054381,0.04370456,3.37939083,1.26185916,0.52883847
-5.84992496,8.86223088,0.04378367,0.58991187,5.58642584,2.40205893,0.04311837,3.43697375,1.28191387,0.54017361
-5.84392196,8.99570884,0.04465198,0.60186206,5.72929455,2.42819599,0.04282048,3.48835125,1.29977147,0.55064742
-5.83791896,9.10594399,0.04532845,0.61262658,5.84511950,2.44797611,0.04278163,3.53188787,1.31489931,0.56001004
-5.83191596,9.18919479,0.04579605,0.62183806,5.93134936,2.46054074,0.04296900,3.56611888,1.32682936,0.56802754
-5.82591296,9.24229799,0.04604226,0.62916244,5.98600271,2.46518148,0.04334674,3.58979477,1.33517237,0.57448914
-5.81990995,9.26276457,0.04605937,0.63430881,6.00772627,2.46136477,0.04387661,3.60191815,1.33962945,0.57921364
-5.81390695,9.24885270,0.04584449,0.63703776,5.99583276,2.44875080,0.04451867,3.60177177,1.34000058,0.58205477
-5.80790395,9.19961554,0.04539951,0.63716814,5.95031724,2.42720576,0.04523199,3.58893710,1.33618993,0.58290544
-5.80190095,9.11492295,0.04473082,0.63458191,5.87185151,2.39680716,0.04597548,3.56330308,1.32820791,0.58170073
-5.79589795,8.99545752,0.04384894,0.62922708,5.76175738,2.35784226,0.04670863,3.52506544,1.31617007,0.57841951
-5.78989495,8.84268612,0.04276806,0.62111861,5.62196042,2.31079976,0.04739242,3.47471696,1.30029306,0.57308499
-5.78389195,8.65880925,0.04150544,0.61033736,5.45492646,2.25635543,0.04799006,3.41302979,1.28088794,0.56576393
-5.77788894,8.44669128,0.04008080,0.59702718,5.26358406,2.19535237,0.04846786,3.34103073,1.25835119,0.55656487
-5.77188594,8.20977491,0.03851568,0.58139031,5.05123617,2.12877684,0.04879594,3.25997090,1.23315387,0.54563542
-5.76588294,7.95198370,0.03683280,0.56368136,4.82146498,2.05773070,0.04894892,3.17129105,1.20582922,0.53315867
-5.75987994,7.67761635,0.03505543,0.54420007,4.57803341,1.98340154,0.04890653,3.07658386,1.17695922,0.51934906
-5.75387694,7.39123671,0.03320683,0.52328319,4.32478717,1.90703166,0.04865399,2.97755440,1.14716034,0.50444764
-5.74787394,7.09756275,0.03130977,0.50129572,4.06556051,1.82988682,0.04818240,2.87598000,1.11706884,0.48871703
-5.74187094,6.80135790,0.02938608,0.47862194,3.80408871,1.75322593,0.04748885,2.77367044,1.08732600,0.47243607
-5.73586793,6.50732735,0.02745632,0.45565636,3.54392971,1.67827233,0.04657637,2.67242938,1.05856336,0.45589442
