energy_ev,total_up,B_p_up,B_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,0.46019857,0.06754506,0.00000000,0.19564449,0.23877495,0.13352100,0.00000000
-5.99399700,0.50225794,0.07405013,0.00000000,0.21319771,0.26125127,0.14487725,0.00000000
-5.98799400,0.54710028,0.08089461,0.00000000,0.23218753,0.28499494,0.15723131,0.00000000
-5.98199100,0.59400038,0.08797811,0.00000000,0.25234858,0.30961806,0.17036929,0.00000000
-5.97598799,0.64219598,0.09519263,0.00000000,0.27340304,0.33471042,0.18407145,0.00000000
-5.96998499,0.69089835,0.10242432,0.00000000,0.29506521,0.35984507,0.19811483,0.00000000
-5.96398199,0.73930577,0.10955583,0.00000000,0.31704699,0.38458560,0.21227660,0.00000000
-5.95797899,0.78661956,0.11646902,0.00000000,0.33906406,0.40849494,0.22633801,0.00000000
-5.95197599,0.83206209,0.12304789,0.00000000,0.36084257,0.43114537,0.24008883,0.00000000
-5.94597299,0.87489607,0.12918185,0.00000000,0.38212600,0.45212931,0.25333204,0.00000000
-5.93996998,0.91444409,0.13476891,0.00000000,0.40268192,0.47107051,0.26588855,0.00000000
-5.93396698,0.95010773,0.13971885,0.00000000,0.42230813,0.48763494,0.27760170,0.00000000
-5.92796398,0.98138502,0.14395611,0.00000000,0.44083809,0.50154107,0.28834134,0.00000000
-5.92196098,1.00788546,0.14742233,0.00000000,0.45814501,0.51256885,0.29800711,0.00000000
-5.91595798,1.02934174,0.15007832,0.00000000,0.47414462,0.52056697,0.30653090,0.00000000
-5.90995498,1.04561755,0.15190545,0.00000000,0.48879619,0.52545810,0.31387816,0.00000000
-5.90395198,1.05671101,0.15290629,0.00000000,0.50210189,0.52724169,0.32004810,0.00000000
-5.89794897,1.06275349,0.15310457,0.00000000,0.51410444,0.52599433,0.32507265,0.00000000
-5.89194597,1.06400396,0.15254431,0.00000000,0.52488309,0.52186751,0.32901436,0.00000000
