energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,10.74279239,0.00500805,3.55297060,0.86275835,0.15414484,0.07310058,2.28468848,5.18514804,4.01034227
-5.99399700,10.66284780,0.00487094,3.53508323,0.85449038,0.15240168,0.07218167,2.25228436,5.17337200,3.98972696
-5.98799400,10.54844117,0.00477677,3.50241432,0.84349819,0.15040590,0.07151281,2.21573046,5.14843107,3.95176755
-5.98199100,10.40268737,0.00472969,3.45591864,0.83014902,0.14819364,0.07109390,2.17581069,5.11156780,3.89763558
-5.97598799,10.22948051,0.00473383,3.39685661,0.81486721,0.14581144,0.07092448,2.13342304,5.06430931,3.82886545
-5.96998499,10.03335091,0.00479319,3.32674408,0.79812033,0.14331500,0.07100364,2.08955235,5.00841114,3.74729467
-5.96398199,9.81930197,0.00491149,3.24729402,0.78040443,0.14076775,0.07132970,2.04524044,4.94579313,3.65499470
-5.95797899,9.59263401,0.00509215,3.16035290,0.76222892,0.13823916,0.07189988,2.00155492,4.87846986,3.55419556
-5.95197599,9.35876252,0.00533808,3.06783439,0.74410175,0.13580310,0.07270990,1.95955802,4.80847867,3.44720727
-5.94597299,9.12303859,0.00565165,2.97165330,0.72651540,0.13353611,0.07375356,1.92027647,4.73780811,3.33634185
-5.93996998,8.89057896,0.00603457,2.87366241,0.70993412,0.13151575,0.07502231,1.88467381,4.66833005,3.22383885
-5.93396698,8.66611272,0.00648785,2.77559499,0.69478294,0.12981910,0.07650489,1.85362618,4.60173812,3.11179770
-5.92796398,8.45385062,0.00701170,2.67901502,0.68143874,0.12852140,0.07818706,1.82790243,4.53949532,3.00211937
-5.92196098,8.25738184,0.00760554,2.58527706,0.67022348,0.12769496,0.08005148,1.80814917,4.48279284,2.89645959
-5.91595798,8.07960165,0.00826794,2.49549705,0.66139996,0.12740822,0.08207772,1.79488145,4.43252188,2.79619495
-5.90995498,7.92267160,0.00899670,2.41053462,0.65516988,0.12772519,0.08424243,1.78847883,4.38925934,2.70240277
-5.90395198,7.78801246,0.00978878,2.33098722,0.65167419,0.12870496,0.08651973,1.78918705,4.35326788,2.61585475
-5.89794897,7.67632824,0.01064043,2.25719543,0.65099556,0.13040158,0.08888173,1.79712467,4.32450987,2.53702385
-5.89194597,7.58765823,0.01154720,2.18925855,0.65316263,0.13286393,0.09129920,1.81229401,4.30267416,2.46610300
-5.88594297,7.52145263,0.01250400,2.12705902,0.65815568,0.13613585,0.09374233,1.83459556,4.28721380,2.40303405
-5.87993997,7.47666609,0.01350521,2.07029378,0.66591325,0.14025618,0.09618160,1.86384459,4.27739264,2.34754453
-5.87393697,7.45186327,0.01454468,2.01851061,0.67633940,0.14525879,0.09858862,1.89978894,4.27233785,2.29918993
-5.86793397,7.44532953,0.01561586,1.97114724,0.68931091,0.15117251,0.10093688,1.94212665,4.27109552,2.25739874
-5.86193097,7.45518052,0.01671181,1.92757111,0.70468423,0.15802089,0.10320250,1.99052227,4.27268625,2.22151776
-5.85592796,7.47946454,0.01782526,1.88711765,0.72230165,0.16582173,0.10536474,2.04462082,4.27615789,2.19085521
-5.84992496,7.51625262,0.01894866,1.84912546,0.74199636,0.17458633,0.10740635,2.10405856,4.28063265,2.16471958
