energy_ev,total_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.84992496,4.61737493,2.22444946,0.54348171,2.49063846,0.89920697,0.00613633,0.98217644,0.02215050,1.99066667
-5.84392196,4.57012191,2.21234922,0.54037779,2.45134826,0.88861920,0.00601468,0.98030867,0.02239884,1.96615577
-5.83791896,4.52431063,2.20144039,0.53723820,2.41075676,0.87886353,0.00588770,0.97926977,0.02257373,1.94162676
-5.83191596,4.48064672,2.19212526,0.53406157,2.36969121,0.87008161,0.00575553,0.97915371,0.02266921,1.91742007
-5.82591296,4.43964550,2.18468213,0.53083921,2.32888158,0.86237153,0.00561817,0.98001302,0.02268044,1.89379245
-5.81990995,4.40162648,2.17925973,0.52755624,2.28894485,0.85578617,0.00547552,0.98185758,0.02260395,1.87091531
-5.81390695,4.36671308,2.17587559,0.52419264,2.25037394,0.85033265,0.00532744,0.98465427,0.02243777,1.84887560
-5.80790395,4.33483742,2.17441825,0.52072418,2.21353127,0.84597292,0.00517379,0.98832773,0.02218163,1.82767898
-5.80190095,4.30574967,2.17465309,0.51712292,2.17864700,0.84262534,0.00501450,0.99276204,0.02183695,1.80725521
-5.79589795,4.27903176,2.17623157,0.51335760,2.14582169,0.84016753,0.00484958,0.99780356,0.02140685,1.78746512
-5.78989495,4.25411502,2.17870362,0.50939377,2.11503303,0.83844005,0.00467917,1.00326469,0.02089610,1.76810928
-5.78389195,4.23030129,2.18153271,0.50519378,2.08614631,0.83725131,0.00450354,1.00892868,0.02031095,1.74893778
-5.77788894,4.20678715,2.18411337,0.50071671,2.05892791,0.83638320,0.00432313,1.01455529,0.01965892,1.72966108
-5.77188594,4.18269068,2.18579059,0.49591837,2.03306136,0.83559762,0.00413848,1.01988728,0.01894861,1.70996161
-5.76588294,4.15708034,2.18588062,0.49075156,2.00816527,0.83464361,0.00395031,1.02465741,0.01818940,1.68950593
-5.75987994,4.12900523,2.18369277,0.48516647,1.98381242,0.83326493,0.00375944,1.02859594,0.01739120,1.66795725
-5.75387694,4.09752617,2.17855143,0.47911159,1.95954948,0.83120791,0.00356677,1.03143830,0.01656413,1.64498792
-5.74787394,4.06174675,2.16981791,0.47253498,1.93491651,0.82822927,0.00337330,1.03293262,0.01571830,1.62029198
-5.74187094,4.02084367,2.15691143,0.46538595,1.90946596,0.82410379,0.00318004,1.03284707,0.01486354,1.59359709
-5.73586793,3.97409547,2.13932859,0.45761722,1.88278026,0.81863141,0.00298803,1.03097656,0.01400922,1.56467589
-5.72986493,3.92090878,2.11666086,0.44918737,1.85448789,0.81164374,0.00279829,1.02714870,0.01316408,1.53335636
-5.72386193,3.86084138,2.08860942,0.44006357,1.82427720,0.80300950,0.00261183,1.02122878,0.01233610,1.49953089
-5.71785893,3.79362128,2.05499704,0.43022435,1.79190799,0.79263900,0.00242958,1.01312361,0.01153246,1.46316376
-5.71185593,3.71916115,2.01577640,0.41966238,1.75722034,0.78048728,0.00225241,1.00278413,0.01075951,1.42429684
-5.70585293,3.63756761,1.97103479,0.40838700,1.72014077,0.76655589,0.00208110,0.99020677,0.01002279,1.38305317
-5.69984992,3.54914497,1.92099488,0.39642631,1.68068552,0.75089335,0.00191637,0.97543345,0.00932707,1.33963830
-5.69384692,3.45439339,1.86601155,0.38382876,1.63896105,0.73359409,0.00175882,0.95855043,0.00867641,1.29433928
-5.68784392,3.35400122,1.80656489,0.37066403,1.59516188,0.71479616,0.00160895,0.93968590,0.00807432,1.24752114
-5.68184092,3.24883191,1.74324959,0.35702312,1.54956581,0.69467760,0.00146720,0.91900668,0.00752377,1.19962098
-5.67583792,3.13990576,1.67676100,0.34301755,1.50252681,0.67345179,0.00133388,0.89671389,0.00702732,1.15113981
-5.66983492,3.02837703,1.60787842,0.32877778,1.45446583,0.65136177,0.00120925,0.87303808,0.00658722,1.10263210
-5.66383192,2.91550713,1.53744596,0.31445071,1.40585976,0.62867387,0.00109346,0.84823364,0.00620544,1.05469359
-5.65782891,2.80263464,1.46635180,0.30019646,1.35722891,0.60567083,0.00098660,0.82257299,0.00588372,1.00794749
-5.65182591,2.69114302,1.39550626,0.28618450,1.30912331,0.58264455,0.00088870,0.79634044,0.00562357,0.96302951
-5.64582291,2.58242700,1.32581958,0.27258925,1.26210817,0.55988874,0.00079972,0.76982605,0.00542628,0.92057219
-5.63981991,2.47785861,1.25817990,0.25958541,1.21674899,0.53769172,0.00071957,0.74331949,0.00529284,0.88118900
-5.63381691,2.37875376,1.19343218,0.24734313,1.17359650,0.51632948,0.00064810,0.71710411,0.00522386,0.84545872
-5.62781391,2.28634054,1.13235876,0.23602333,1.13317210,0.49605921,0.00058515,0.69145127,0.00521955,0.81391053
-5.62181091,2.20172992,1.07566189,0.22577316,1.09595388,0.47711352,0.00053050,0.66661501,0.00527951,0.78701045
-5.61580790,2.12588996,1.02394905,0.21672211,1.06236398,0.45969536,0.00048392,0.64282726,0.00540271,0.76514951
-5.60980490,2.05962410,0.97772114,0.20897863,1.03275731,0.44397394,0.00044517,0.62029351,0.00558733,0.74863404
-5.60380190,2.00355438,0.93736413,0.20262759,1.00741226,0.43008157,0.00041398,0.59918913,0.00583065,0.73767857
