energy_ev,total_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.60775693,0.66937000,0.45607491,0.64659899,1.04040554,0.00454827,0.18713264,0.94465441,0.00000000
-5.99399700,2.59781053,0.66480685,0.44938238,0.65152523,1.03869927,0.00418214,0.18728836,0.93879189,0.00000000
-5.98799400,2.58936975,0.66086375,0.44318557,0.65629138,1.03640399,0.00384430,0.18797842,0.93473650,0.00000000
-5.98199100,2.58185415,0.65726214,0.43741118,0.66066008,1.03335623,0.00353594,0.18914340,0.93225716,0.00000000
-5.97598799,2.57477459,0.65376226,0.43197884,0.66442885,1.02944783,0.00325772,0.19073188,0.93114573,0.00000000
-5.96998499,2.56776179,0.65017352,0.42680742,0.66743887,1.02463482,0.00300984,0.19270164,0.93122876,0.00000000
-5.96398199,2.56058760,0.64636227,0.42182088,0.66958147,1.01894311,0.00279214,0.19502035,0.93237648,0.00000000
-5.95797899,2.55317805,0.64225672,0.41695333,0.67080222,1.01247058,0.00260416,0.19766549,0.93450871,0.00000000
-5.95197599,2.54561755,0.63784893,0.41215323,0.67110247,1.00538562,0.00244530,0.20062368,0.93759747,0.00000000
-5.94597299,2.53814418,0.63319375,0.40738638,0.67053807,0.99792203,0.00231484,0.20388932,0.94166598,0.00000000
-5.93996998,2.53113633,0.62840483,0.40263763,0.66921556,0.99037073,0.00221207,0.20746278,0.94678449,0.00000000
-5.93396698,2.52509174,0.62364797,0.39791132,0.66728595,0.98306865,0.00213632,0.21134801,0.95306299,0.00000000
-5.92796398,2.52059992,0.61913217,0.39323046,0.66493643,0.97638533,0.00208710,0.21554992,0.96064130,0.00000000
-5.92196098,2.51830972,0.61509863,0.38863484,0.66238035,0.97070812,0.00206407,0.22007156,0.96967720,0.00000000
-5.91595798,2.51889361,0.61180852,0.38417801,0.65984611,0.96642651,0.00206713,0.22491127,0.98033311,0.00000000
-5.90995498,2.52301060,0.60952972,0.37992368,0.65756540,0.96391641,0.00209644,0.23005998,0.99276213,0.00000000
