energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-5.81990995,4.07183287,0.04995455,0.65019328,0.99880230,0.37819222,2.72330811,1.46521565,1.40239657,0.00000000
-5.81390695,4.06930808,0.04916157,0.64085559,1.01574221,0.37626869,2.66706193,1.47917198,1.39894685,0.00000000
-5.80790395,4.07164976,0.04833833,0.63011668,1.03431330,0.37566699,2.60389836,1.49521733,1.39826018,0.00000000
-5.80190095,4.07947868,0.04749737,0.61823616,1.05456027,0.37636613,2.53548484,1.51345647,1.40048147,0.00000000
-5.79589795,4.09334308,0.04665081,0.60549173,1.07652895,0.37832121,2.46358915,1.53396641,1.40571373,0.00000000
-5.78989495,4.11370976,0.04580996,0.59217119,1.10026529,0.38146625,2.39002778,1.55679594,1.41401925,0.00000000
-5.78389195,4.14095441,0.04498503,0.57856420,1.12581232,0.38571720,2.31661349,1.58196517,1.42542023,0.00000000
-5.77788894,4.17535126,0.04418484,0.56495446,1.15320495,0.39097495,2.24510404,1.60946488,1.43989887,0.00000000
-5.77188594,4.21706234,0.04341660,0.55161230,1.18246273,0.39712821,2.17715405,1.63925593,1.45739649,0.00000000
-5.76588294,4.26612652,0.04268581,0.53878822,1.21358082,0.40405616,2.11427178,1.67126864,1.47781187,0.00000000
-5.75987994,4.32244890,0.04199612,0.52670740,1.24651977,0.41163072,2.05778197,1.70540230,1.50099871,0.00000000
-5.75387694,4.38579091,0.04134940,0.51556544,1.28119438,0.41971850,2.00879601,1.74152480,1.52676258,0.00000000
-5.74787394,4.45576206,0.04074579,0.50552529,1.31746278,0.42818226,1.96819002,1.77947247,1.55485748,0.00000000
-5.74187094,4.53181370,0.04018382,0.49671540,1.35511627,0.43688213,1.93659110,1.81905024,1.58498265,0.00000000
-5.73586793,4.61323587,0.03966063,0.48922915,1.39387084,0.44567644,1.91437179,1.86003225,1.61677997,0.00000000
-5.72986493,4.69915786,0.03917216,0.48312514,1.43336135,0.45442244,1.90165234,1.90216284,1.64983258,0.00000000
-5.72386193,4.78855317,0.03871343,0.47842859,1.47313900,0.46297689,1.89831007,1.94515826,1.68366524,0.00000000
-5.71785893,4.88024955,0.03827881,0.47513335,1.51267271,0.47119683,1.90399526,1.98870890,1.71774686,0.00000000
-5.71185593,4.97294457,0.03786227,0.47320448,1.55135493,0.47894039,1.91815217,2.03248245,1.75149573,0.00000000
-5.70585293,5.06522674,0.03745764,0.47258126,1.58851210,0.48606798,1.94004448,2.07612772,1.78428753,0.00000000
-5.69984992,5.15560244,0.03705888,0.47318043,1.62341944,0.49244390,1.96878379,2.11927946,1.81546634,0.00000000
-5.69384692,5.24252794,0.03666023,0.47489947,1.65532001,0.49793820,2.00336021,2.16156399,1.84435851,0.00000000
-5.68784392,5.32444614,0.03625647,0.47762001,1.68344722,0.50242915,2.04267384,2.20260577,1.87028898,0.00000000
-5.68184092,5.39982692,0.03584300,0.48121104,1.70704993,0.50580590,2.08556625,2.24203474,1.89259975,0.00000000
-5.67583792,5.46720994,0.03541597,0.48553215,1.72541908,0.50797149,2.13085118,2.27949447,1.91066958,0.00000000
-5.66983492,5.52524839,0.03497237,0.49043654,1.73791459,0.50884605,2.17734351,2.31465078,1.92393435,0.00000000
-5.66383192,5.57275224,0.03451007,0.49577407,1.74399126,0.50836988,2.22388621,2.34720092,1.93190694,0.00000000
-5.65782891,5.60872918,0.03402780,0.50139411,1.74322234,0.50650646,2.26937457,2.37688276,1.93419596,0.00000000
-5.65182591,5.63242178,0.03352520,0.50714844,1.73531964,0.50324508,2.31277763,2.40348398,1.93052223,0.00000000
-5.64582291,5.64333929,0.03300275,0.51289412,1.72014904,0.49860292,2.35315660,2.42685074,1.92073227,0.00000000
-5.63981991,5.64128278,0.03246176,0.51849638,1.69774073,0.49262654,2.38968015,2.44689566,1.90480818,0.00000000
-5.63381691,5.62636242,0.03190430,0.52383146,1.66829356,0.48539260,2.42163682,2.46360462,1.88287329,0.00000000
-5.62781391,5.59900630,0.03133322,0.52878961,1.63217329,0.47700772,2.44844448,2.47704204,1.85519343,0.00000000
-5.62181091,5.55996023,0.03075205,0.53327787,1.58990488,0.46760748,2.46965725,2.48735427,1.82217356,0.00000000
-5.61580790,5.51027826,0.03016504,0.53722288,1.54215920,0.45735465,2.48496985,2.49477087,1.78435014,0.00000000
-5.60980490,5.45130443,0.02957710,0.54057343,1.48973475,0.44643646,2.49421975,2.49960329,1.74237934,0.00000000
-5.60380190,5.38464590,0.02899384,0.54330273,1.43353537,0.43506137,2.49738722,2.50224085,1.69702176,0.00000000
-5.59779890,5.31213850,0.02842155,0.54541029,1.37454490,0.42345507,2.49459338,2.50314392,1.64912424,0.00000000
-5.59179590,5.23580550,0.02786727,0.54692319,1.31380001,0.41185609,2.48609634,2.50283414,1.59959944,0.00000000
-5.58579290,5.15781087,0.02733878,0.54789672,1.25236219,0.40051106,2.47228535,2.50188190,1.54940407,0.00000000
-5.57978989,5.08040820,0.02684463,0.54841421,1.19129020,0.38966982,2.45367309,2.50089114,1.49951637,0.00000000
-5.57378689,5.00588676,0.02639415,0.54858593,1.13161383,0.37958035,2.43088574,2.50048199,1.45091365,0.00000000
-5.56778389,4.93651599,0.02599745,0.54854713,1.07430996,0.37048385,2.40465100,2.50127166,1.40455054,0.00000000
-5.56178089,4.87448976,0.02566537,0.54845497,1.02028152,0.36260993,2.37578371,2.50385410,1.36133841,0.00000000
-5.55577789,4.82187198,0.02540940,0.54848455,0.97033983,0.35617196,2.34516926,2.50877931,1.32212645,0.00000000
-5.54977489,4.78054459,0.02524154,0.54882395,0.92519072,0.35136278,2.31374459,2.51653295,1.28768470,0.00000000
-5.54377189,4.75215944,0.02517416,0.54966853,0.88542449,0.34835064,2.28247715,2.52751717,1.25868933,0.00000000
-5.53776888,4.73809501,0.02521970,0.55121448,0.85150957,0.34727559,2.25234177,2.54203341,1.23571018,0.00000000
-5.53176588,4.73941925,0.02539044,0.55365190,0.82378989,0.34824617,2.22429618,2.56026801,1.21920080,0.00000000
-5.52576288,4.75685928,0.02569813,0.55715767,0.80248539,0.35133657,2.19925545,2.58228133,1.20949084,0.00000000
-5.51975988,4.79077899,0.02615359,0.56188828,0.78769563,0.35658428,2.17806616,2.60800099,1.20678096,0.00000000
-5.51375688,4.84116500,0.02676627,0.56797293,0.77940573,0.36398816,2.16148106,2.63721947,1.21114007,0.00000000
-5.50775388,4.90762168,0.02754387,0.57550722,0.77749456,0.37350711,2.15013517,2.66959660,1.22250502,0.00000000
-5.50175088,4.98937529,0.02849180,0.58454760,0.78174444,0.38505943,2.14452411,2.70466668,1.24068261,0.00000000
-5.49574787,5.08528759,0.02961281,0.59510698,0.79185215,0.39852270,2.14498580,2.74185013,1.26535395,0.00000000
-5.48974487,5.19387844,0.03090655,0.60715152,0.80744082,0.41373459,2.15168622,2.78046941,1.29608107,0.00000000
-5.48374187,5.31335723,0.03236924,0.62059900,0.82807231,0.43049439,2.16461018,2.81976836,1.33231586,0.00000000
-5.47773887,5.44166234,0.03399341,0.63531870,0.85325972,0.44856542,2.18355755,2.85893442,1.37341102,0.00000000
-5.47173587,5.57650767,0.03576769,0.65113295,0.88247994,0.46767838,2.20814556,2.89712284,1.41863314,0.00000000
-5.46573287,5.71543513,0.03767678,0.66782037,0.91518569,0.48753559,2.23781723,2.93348184,1.46717757,0.00000000
-5.45972986,5.85587173,0.03970151,0.68512065,0.95081699,0.50781613,2.27185583,2.96717780,1.51818484,0.00000000
-5.45372686,5.99518953,0.04181898,0.70274079,0.98881180,0.52818184,2.30940519,2.99741961,1.57075835,0.00000000
-5.44772386,6.13076698,0.04400297,0.72036264,1.02861549,0.54828400,2.34949501,3.02348103,1.62398294,0.00000000
-5.44172086,6.26004965,0.04622430,0.73765135,1.06968920,0.56777062,2.39107045,3.04472056,1.67694382,0.00000000
-5.43571786,6.38060865,0.04845148,0.75426457,1.11151659,0.58629423,2.43302488,3.06059791,1.72874540,0.00000000
-5.42971486,6.49019498,0.05065133,0.76986207,1.15360922,0.60351973,2.47423448,3.07068667,1.77852956,0.00000000
-5.42371186,6.58678813,0.05278979,0.78411528,1.19551014,0.61913232,2.51359333,3.07468278,1.82549263,0.00000000
-5.41770885,6.66863743,0.05483272,0.79671654,1.23679606,0.63284508,2.55004763,3.07240867,1.86890074,0.00000000
-5.41170585,6.73429511,0.05674677,0.80738770,1.27707776,0.64440601,2.58262752,3.06381307,1.90810301,0.00000000
-5.40570285,6.78263995,0.05850025,0.81588763,1.31599916,0.65360428,2.61047534,3.04896672,1.94254214,0.00000000
-5.39969985,6.81289114,0.06006395,0.82201851,1.35323522,0.66027539,2.63286910,3.02805427,1.97176219,0.00000000
-5.39369685,6.82461215,0.06141193,0.82563061,1.38848878,0.66430511,2.64924030,3.00136293,1.99541324,0.00000000
-5.38769385,6.81770473,0.06252220,0.82662542,1.42148688,0.66563202,2.65918544,2.96926847,2.01325304,0.00000000
-5.38169085,6.79239388,0.06337728,0.82495700,1.45197684,0.66424849,2.66247088,2.93221925,2.02514567,0.00000000
