energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.17998041,0.06780172,0.34182960,0.21744519,0.00355112,0.67540628,0.14375510
-5.99399700,1.18563480,0.06747500,0.34857580,0.22011974,0.00355242,0.68782941,0.14098139
-5.98799400,1.20454902,0.06808069,0.35901239,0.22475455,0.00358614,0.70617949,0.13987895
-5.98199100,1.23681512,0.06962475,0.37315579,0.23140178,0.00365439,0.73050333,0.14044106
-5.97598799,1.28235118,0.07209511,0.39096121,0.24009448,0.00375915,0.76076343,0.14263952
-5.96998499,1.34089098,0.07546143,0.41231844,0.25084343,0.00390221,0.79682824,0.14642442
-5.96398199,1.41197463,0.07967504,0.43704855,0.26363385,0.00408508,0.83846330,0.15172405
-5.95797899,1.49494153,0.08466932,0.46490193,0.27842227,0.00430896,0.88532407,0.15844488
-5.95197599,1.58892681,0.09036045,0.49555802,0.29513372,0.00457467,0.93695147,0.16647195
-5.94597299,1.69286234,0.09664860,0.52862716,0.31365965,0.00488257,0.99277083,0.17566959
-5.93996998,1.80548356,0.10341955,0.56365479,0.33385666,0.00523253,1.05209506,0.18588271
-5.93396698,1.92534245,0.11054685,0.60012819,0.35554636,0.00562381,1.11413236,0.19693861
-5.92796398,2.05082739,0.11789431,0.63748580,0.37851638,0.00605508,1.17799871,0.20864947
-5.92196098,2.18018953,0.12531904,0.67512893,0.40252267,0.00652434,1.24273500,0.22081540
-5.91595798,2.31157535,0.13267477,0.71243556,0.42729298,0.00702890,1.30732835,0.23322811
-5.90995498,2.44306448,0.13981536,0.74877592,0.45253149,0.00756539,1.37073699,0.24567500
-5.90395198,2.57271137,0.14659862,0.78352909,0.47792440,0.00812975,1.43191751,0.25794363
-5.89794897,2.69858942,0.15288996,0.81609999,0.50314633,0.00871726,1.48985353,0.26982639
-5.89194597,2.81883552,0.15856603,0.84593608,0.52786709,0.00932256,1.54358434,0.28112512
-5.88594297,2.93169331,0.16351800,0.87254291,0.55175880,0.00993974,1.59223210,0.29165558
-5.87993997,3.03555307,0.16765443,0.89549781,0.57450281,0.01056236,1.63502640,0.30125148
-5.87393697,3.12898673,0.17090356,0.91446100,0.59579639,0.01118356,1.67132491,0.30976800
