energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up
-6.00000000,1.44909833,0.02379109,0.03775775,0.18737996,0.15986224,0.59006085,0.44158231,0.01414016,0.78957246
-5.99399700,1.57320113,0.02600738,0.04047737,0.20438858,0.17282153,0.64656672,0.47588058,0.01561109,0.86057195
-5.98799400,1.70448662,0.02823030,0.04348517,0.22246563,0.18654455,0.70666246,0.51166825,0.01712610,0.93571296
-5.98199100,1.84231529,0.03042812,0.04676568,0.24146684,0.20092033,0.76992655,0.54891665,0.01866879,1.01465837
-5.97598799,1.98586096,0.03256717,0.05029442,0.26121167,0.21581201,0.83582634,0.58758160,0.02022077,1.09696850
-5.96998499,2.13411544,0.03461272,0.05403802,0.28148561,0.23105895,0.90372415,0.62760026,0.02176205,1.18210257
-5.96398199,2.28589906,0.03652987,0.05795465,0.30204392,0.24647985,0.97288745,0.66888786,0.02327144,1.26942342
-5.95797899,2.43987718,0.03828459,0.06199468,0.32261651,0.26187659,1.04250294,0.71133450,0.02472707,1.35820548
-5.95197599,2.59458230,0.03984475,0.06610175,0.34291415,0.27703896,1.11169423,0.75480227,0.02610694,1.44764596
-5.94597299,2.74844141,0.04118111,0.07021405,0.36263554,0.29174992,1.17954260,0.79912265,0.02738954,1.53687898
-5.93996998,2.89980777,0.04226831,0.07426589,0.38147532,0.30579126,1.24511029,0.84409458,0.02855444,1.62499240
-5.93396698,3.04699633,0.04308567,0.07818947,0.39913245,0.31894960,1.30746538,0.88948319,0.02958287,1.71104681
-5.92796398,3.18832143,0.04361794,0.08191680,0.41531893,0.33102228,1.36570752,0.93501948,0.03045830,1.79409598
-5.92196098,3.32213576,0.04385578,0.08538170,0.42976826,0.34182315,1.41899339,0.98040095,0.03116695,1.87320827
-5.91595798,3.44686913,0.04379612,0.08852179,0.44224363,0.35118786,1.46656101,1.02529339,0.03169817,1.94748821
-5.90995498,3.56106581,0.04344221,0.09128049,0.45254515,0.35897858,1.50775188,1.06933384,0.03204477,2.01609746
