energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
0.51925963,1.89050163,-3.86086720,0.14199611,-0.40262103,0.85950637,-3.05521680,0.00065721,-0.01751962,0.34147442,-0.11385947,0.03975396,-0.04167617,0.48737900,-0.31118753,0.27059419,-0.47388880,0.00142111,-0.00203184
0.52526263,1.85720753,-3.90843463,0.14046545,-0.40381716,0.84515976,-3.09714451,0.00058441,-0.01814993,0.34207966,-0.11351807,0.03993403,-0.04062639,0.47040834,-0.31517008,0.25698918,-0.48381983,0.00140121,-0.00206334
0.53126563,1.82581390,-3.95436033,0.13969042,-0.40521255,0.83124098,-3.13663818,0.00052037,-0.01884039,0.34308879,-0.11309107,0.04003787,-0.03955313,0.45398999,-0.31975201,0.24404443,-0.49427433,0.00138408,-0.00209361
0.53726863,1.79672331,-3.99835544,0.13976630,-0.40683358,0.81789839,-3.17344656,0.00046537,-0.01958412,0.34444830,-0.11259158,0.04006387,-0.03846247,0.43833687,-0.32493618,0.23187882,-0.50519070,0.00137046,-0.00212244
0.54327164,1.77030661,-4.04019977,0.14078922,-0.40870734,0.80526990,-3.20739243,0.00041978,-0.02037360,0.34609237,-0.11203669,0.04001237,-0.03736129,0.42364883,-0.33071315,0.22059803,-0.51649615,0.00136112,-0.00214964
0.54927464,1.74691050,-4.07972371,0.14285496,-0.41085937,0.79348675,-3.23835821,0.00038411,-0.02120064,0.34794879,-0.11144641,0.03988596,-0.03625709,0.41011097,-0.33705930,0.21029528,-0.52810519,0.00135678,-0.00217507
0.55527764,1.72686524,-4.11678557,0.14605741,-0.41331106,0.78267763,-3.26626742,0.00035903,-0.02205651,0.34994518,-0.11084253,0.03968984,-0.03515768,0.39789206,-0.34393532,0.20105252,-0.53991800,0.00135819,-0.00219863
0.56128064,1.71049172,-4.15124622,0.15048659,-0.41607676,0.77297230,-3.29106352,0.00034540,-0.02293185,0.35201511,-0.11024743,0.03943206,-0.03407092,0.38714289,-0.35128480,0.19294192,-0.55181901,0.00136601,-0.00222024
0.56728364,1.69810675,-4.18294313,0.15622620,-0.41916095,0.76450467,-3.31268767,0.00034435,-0.02381684,0.35410364,-0.10968293,0.03912379,-0.03300444,0.37799469,-0.35903351,0.18602749,-0.56367575,0.00138087,-0.00223983
0.57328664,1.69002613,-4.21166598,0.16335090,-0.42255552,0.75741471,-3.33105747,0.00035727,-0.02470125,0.35617198,-0.10916931,0.03877941,-0.03196544,0.37055734,-0.36708904,0.18036674,-0.57533848,0.00140330,-0.00225730
0.57928964,1.68656461,-4.23713609,0.17192327,-0.42623756,0.75184897,-3.34604814,0.00038590,-0.02557453,0.35820099,-0.10872443,0.03841660,-0.03096039,0.36491770,-0.37534134,0.17601222,-0.58664055,0.00143377,-0.00227258
0.58529265,1.68803279,-4.25899149,0.18199064,-0.43016757,0.74795966,-3.35747798,0.00043237,-0.02642597,0.36019328,-0.10836317,0.03805625,-0.02999491,0.36113782,-0.38366393,0.17301284,-0.59739994,0.00147257,-0.00228552
0.59129565,1.69473068,-4.27677929,0.19358193,-0.43428861,0.74590216,-3.36509936,0.00049920,-0.02724488,0.36217379,-0.10809697,0.03772232,-0.02907354,0.35925334,-0.39191596,0.17141494,-0.60742193,0.00151990,-0.00229598
0.59729865,1.70693845,-4.28995640,0.20670467,-0.43852620,0.74583099,-3.36859620,0.00058937,-0.02802073,0.36418883,-0.10793375,0.03744149,-0.02819965,0.35927209,-0.39994504,0.17126295,-0.61650303,0.00157578,-0.00230376
0.60330165,1.72490478,-4.29789910,0.22134239,-0.44278921,0.74789469,-3.36758842,0.00070635,-0.02874337,0.36630376,-0.10787798,0.03724275,-0.02737537,0.36117296,-0.40759090,0.17259977,-0.62443615,0.00164004,-0.00230864
0.60930465,1.74883377,-4.29992137,0.23745257,-0.44697169,0.75222971,-3.36164347,0.00085408,-0.02940324,0.36859933,-0.10793106,0.03715683,-0.02660148,0.36490538,-0.41468963,0.17546673,-0.63101676,0.00171235,-0.00231037
0.61530765,1.77887124,-4.29530121,0.25496529,-0.45095568,0.75895386,-3.35029437,0.00103700,-0.02999159,0.37116720,-0.10809176,0.03721554,-0.02587749,0.37038926,-0.42107839,0.17990325,-0.63605001,0.00179217,-0.00230868
0.62131066,1.81509171,-4.28331357,0.27378287,-0.45461482,0.76815980,-3.33306320,0.00126002,-0.03050069,0.37410472,-0.10835690,0.03745096,-0.02520163,0.37751574,-0.42660053,0.18594619,-0.63935829,0.00187878,-0.00230333
0.62731366,1.85748704,-4.26326822,0.29378040,-0.45781861,0.77990905,-3.30948897,0.00152848,-0.03092406,0.37750953,-0.10872202,0.03789460,-0.02457097,0.38614870,-0.43111062,0.19362894,-0.64078909,0.00197128,-0.00229407
0.63331666,1.90595780,-4.23455012,0.31480748,-0.46043719,0.79422701,-3.27915781,0.00184810,-0.03125670,0.38147442,-0.10918207,0.03857645,-0.02398153,0.39612707,-0.43447949,0.20298034,-0.64022246,0.00206859,-0.00228072
0.63931966,1.96030828,-4.19666006,0.33669099,-0.46234641,0.81109943,-3.24173387,0.00222487,-0.03149524,0.38608254,-0.10973201,0.03952410,-0.02342848,0.40726801,-0.43659873,0.21402342,-0.63757805,0.00216952,-0.00226317
0.64532266,2.02024587,-4.14925292,0.35923898,-0.46343289,0.83047070,-3.19698885,0.00266493,-0.03163813,0.39140372,-0.11036735,0.04076168,-0.02290632,0.41937078,-0.43738467,0.22677415,-0.63282086,0.00227273,-0.00224139
0.65132566,2.08538511,-4.09217127,0.38224547,-0.46359884,0.85224407,-3.14482832,0.00317444,-0.03168577,0.39749179,-0.11108442,0.04230905,-0.02240913,0.43222131,-0.43678146,0.24124003,-0.62596575,0.00237687,-0.00221545
0.65732866,2.15525645,-4.02547214,0.40549606,-0.46276642,0.87628409,-3.08531314,0.00375939,-0.03164062,0.40438331,-0.11188050,0.04418087,-0.02193082,0.44559724,-0.43476322,0.25741875,-0.61708013,0.00248050,-0.00218557
