energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.44386563,0.00343992,0.22101284,0.94375103,0.30583807,0.00564440,0.64118637,0.36554345,0.14095309
-5.99399700,1.45447289,0.00304206,0.22377090,0.96224430,0.30446383,0.00560315,0.64798749,0.36626421,0.14010694
-5.98799400,1.46905370,0.00271962,0.22638028,0.98032527,0.30409294,0.00561575,0.65706502,0.36780236,0.14020817
-5.98199100,1.48753312,0.00246884,0.22882712,0.99778038,0.30474181,0.00568721,0.66835754,0.37012917,0.14129386
-5.97598799,1.50990774,0.00228596,0.23112036,1.01448150,0.30644069,0.00582222,0.68183200,0.37324629,0.14339967
-5.96998499,1.53623675,0.00216728,0.23328994,1.03038229,0.30923176,0.00602503,0.69747978,0.37718303,0.14655859
-5.96398199,1.56662835,0.00210915,0.23538405,1.04551037,0.31316627,0.00629933,0.71531048,0.38199197,0.15079933
-5.95797899,1.60122200,0.00210800,0.23746558,1.05995579,0.31830101,0.00664811,0.73534382,0.38774323,0.15614435
-5.95197599,1.64016762,0.00216033,0.23960798,1.07385644,0.32469418,0.00707350,0.75760009,0.39451748,0.16260769
-5.94597299,1.68360276,0.00226262,0.24189074,1.08738112,0.33240086,0.00757665,0.78208970,0.40239826,0.17019269
-5.93996998,1.73162907,0.00241130,0.24439468,1.10071133,0.34146850,0.00815755,0.80880232,0.41146383,0.17888966
-5.93396698,1.78428942,0.00260270,0.24719730,1.11402267,0.35193240,0.00881488,0.83769647,0.42177917,0.18867384
-5.92796398,1.84154703,0.00283294,0.25036848,1.12746692,0.36381171,0.00954591,0.86868994,0.43338832,0.19950354
-5.92196098,1.90326790,0.00309788,0.25396662,1.14115597,0.37710590,0.01034643,0.90165196,0.44630771,0.21131885
-5.91595798,1.96920765,0.00339309,0.25803558,1.15514829,0.39179219,0.01121060,0.93639743,0.46052072,0.22404088
-5.90995498,2.03900385,0.00371376,0.26260240,1.16943899,0.40782380,0.01213105,0.97268387,0.47597386,0.23757174
-5.90395198,2.11217427,0.00405470,0.26767601,1.18395404,0.42512940,0.01309880,1.01021133,0.49257478,0.25179530
-5.89794897,2.18812169,0.00441035,0.27324698,1.19854894,0.44361361,0.01410343,1.04862546,0.51019233,0.26657877
-5.89194597,2.26614509,0.00477482,0.27928825,1.21301222,0.46315861,0.01513315,1.08752392,0.52865863,0.28177514
-5.88594297,2.34545699,0.00514190,0.28575686,1.22707346,0.48362686,0.01617506,1.12646571,0.54777322,0.29722633
-5.87993997,2.42520623,0.00550521,0.29259651,1.24041570,0.50486466,0.01721537,1.16498343,0.56730906,0.31276711
-5.87393697,2.50450538,0.00585826,0.29974083,1.25269140,0.52670655,0.01823969,1.20259777,0.58702014,0.32822952
