energy_ev,total_up,P_s_up,P_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,1.06609000,0.00046960,0.38685230,1.09986921,0.56224016,0.00132905,0.09444819
-5.99399700,1.03773735,0.00049052,0.36374591,1.04921742,0.55197963,0.00128398,0.09405815
-5.98799400,1.00846834,0.00050963,0.34051932,0.99761629,0.54123296,0.00123621,0.09353252
-5.98199100,0.97831040,0.00052673,0.31728981,0.94533221,0.52998223,0.00118656,0.09285011
-5.97598799,0.94735669,0.00054170,0.29419538,0.89268995,0.51824124,0.00113586,0.09199933
-5.96998499,0.91575854,0.00055447,0.27138801,0.84005723,0.50605283,0.00108489,0.09097840
-5.96398199,0.88371707,0.00056504,0.24902668,0.78782871,0.49348580,0.00103437,0.08979554
-5.95797899,0.85147464,0.00057350,0.22727061,0.73641050,0.48063190,0.00098496,0.08846885
-5.95197599,0.81930689,0.00058000,0.20627306,0.68620579,0.46760307,0.00093724,0.08702621
-5.94597299,0.78751573,0.00058477,0.18617582,0.63760251,0.45452922,0.00089169,0.08550497
-5.93996998,0.75642357,0.00058811,0.16710479,0.59096313,0.44155655,0.00084876,0.08395169
-5.93396698,0.72636915,0.00059042,0.14916662,0.54661717,0.42884668,0.00080878,0.08242182
-5.92796398,0.69770478,0.00059214,0.13244649,0.50485621,0.41657624,0.00077208,0.08097927
-5.92196098,0.67079503,0.00059376,0.11700700,0.46593157,0.40493712,0.00073890,0.07969611
-5.91595798,0.64601641,0.00059586,0.10288812,0.43005405,0.39413701,0.00070951,0.07865204
-5.90995498,0.62375793,0.00059902,0.09010796,0.39739576,0.38440014,0.00068416,0.07793398
-5.90395198,0.60442196,0.00060387,0.07866438,0.36809329,0.37596789,0.00066312,0.07763546
-5.89794897,0.58842492,0.00061102,0.06853708,0.34225191,0.36909909,0.00064670,0.07785589
-5.89194597,0.57619751,0.00062112,0.05969012,0.31995026,0.36406973,0.00063527,0.07869975
-5.88594297,0.56818390,0.00063477,0.05207462,0.30124502,0.36117188,0.00062929,0.08027553
-5.87993997,0.56483965,0.00065253,0.04563155,0.28617533,0.36071166,0.00062927,0.08269446
-5.87393697,0.56662799,0.00067493,0.04029438,0.27476639,0.36300612,0.00063582,0.08606900
-5.86793397,0.57401435,0.00070242,0.03599158,0.26703215,0.36837892,0.00064965,0.09051106
-5.86193097,0.58745908,0.00073536,0.03264885,0.26297689,0.37715493,0.00067152,0.09613001
-5.85592796,0.60740833,0.00077403,0.03019095,0.26259554,0.38965367,0.00070230,0.10303036
-5.84992496,0.63428331,0.00081859,0.02854330,0.26587294,0.40618179,0.00074287,0.11130925
-5.84392196,0.66846816,0.00086911,0.02763311,0.27278186,0.42702474,0.00079420,0.12105376
-5.83791896,0.71029664,0.00092551,0.02739020,0.28328027,0.45243780,0.00085721,0.13233807
-5.83191596,0.76003824,0.00098762,0.02774756,0.29730773,0.48263682,0.00093284,0.14522052
-5.82591296,0.81788390,0.00105513,0.02864158,0.31478146,0.51778871,0.00102196,0.15974072
-5.81990995,0.88393198,0.00112766,0.03001204,0.33559213,0.55800224,0.00112535,0.17591671
-5.81390695,0.95817481,0.00120468,0.03180206,0.35959971,0.60331915,0.00124366,0.19374231
-5.80790395,1.04048638,0.00128562,0.03395772,0.38662972,0.65370608,0.00137738,0.21318470
-5.80190095,1.13061162,0.00136981,0.03642780,0.41647004,0.70904730,0.00152678,0.23418244
-5.79589795,1.22815755,0.00145654,0.03916335,0.44886849,0.76913879,0.00169187,0.25664385
-5.78989495,1.33258692,0.00154505,0.04211730,0.48353143,0.83368366,0.00187239,0.28044601
-5.78389195,1.44321448,0.00163456,0.04524412,0.52012347,0.90228920,0.00206776,0.30543431
-5.77788894,1.55920638,0.00172430,0.04849945,0.55826842,0.97446585,0.00227706,0.33142270
-5.77188594,1.67958281,0.00181350,0.05183986,0.59755152,1.04962812,0.00249900,0.35819477
-5.76588294,1.80322427,0.00190140,0.05522265,0.63752300,1.12709774,0.00273191,0.38550547
-5.75987994,1.92888159,0.00198730,0.05860570,0.67770290,1.20610913,0.00297376,0.41308377
-5.75387694,2.05518969,0.00207051,0.06194745,0.71758715,1.28581731,0.00322215,0.44063608
-5.74787394,2.18068540,0.00215038,0.06520693,0.75665485,1.36530838,0.00347433,0.46785051
-5.74187094,2.30382898,0.00222631,0.06834388,0.79437645,1.44361243,0.00372727,0.49440189
-5.73586793,2.42302940,0.00229773,0.07131896,0.83022292,1.51971905,0.00397768,0.51995752
-5.72986493,2.53667293,0.00236413,0.07409403,0.86367552,1.59259509,0.00422205,0.54418352
-5.72386193,2.64315471,0.00242499,0.07663249,0.89423601,1.66120459,0.00445681,0.56675171
-5.71785893,2.74091265,0.00247986,0.07889975,0.92143717,1.72453038,0.00467831,0.58734683
-5.71185593,2.82846282,0.00252830,0.08086372,0.94485310,1.78159702,0.00488300,0.60567397
-5.70585293,2.90443559,0.00256991,0.08249531,0.96410930,1.83149445,0.00506746,0.62146595
-5.69984992,2.96761125,0.00260432,0.08376907,0.97889196,1.87340166,0.00522856,0.63449047
-5.69384692,3.01695409,0.00263121,0.08466375,0.98895633,1.90660948,0.00536353,0.64455674
-5.68784392,3.05164358,0.00265031,0.08516288,0.99413382,1.93054194,0.00547003,0.65152149
-5.68184092,3.07110146,0.00266140,0.08525531,0.99433738,1.94477507,0.00554630,0.65529383
-5.67583792,3.07501346,0.00266433,0.08493572,0.98956522,1.94905233,0.00559114,0.65583909
-5.66983492,3.06334452,0.00265904,0.08420495,0.97990227,1.94329609,0.00560407,0.65318115
-5.66383192,3.03634666,0.00264555,0.08307029,0.96551958,1.92761418,0.00558527,0.64740324
-5.65782891,2.99455867,0.00262398,0.08154560,0.94667126,1.90230127,0.00553566,0.63864706
-5.65182591,2.93879729,0.00259455,0.07965119,0.92368925,1.86783456,0.00545684,0.62711016
-5.64582291,2.87013977,0.00255758,0.07741361,0.89697570,1.82486382,0.00535109,0.61304164
-5.63981991,2.78989823,0.00251350,0.07486519,0.86699348,1.77419587,0.00522131,0.59673616
-5.63381691,2.69958625,0.00246280,0.07204344,0.83425468,1.71677389,0.00507094,0.57852652
-5.62781391,2.60087897,0.00240607,0.06899020,0.79930786,1.65365225,0.00490383,0.55877497
-5.62181091,2.49556784,0.00234396,0.06575071,0.76272413,1.58596769,0.00472418,0.53786349
-5.61580790,2.38551175,0.00227716,0.06237255,0.72508269,1.51490793,0.00453638,0.51618350
-5.60980490,2.27258624,0.00220636,0.05890444,0.68695633,1.44167876,0.00434492,0.49412522
-5.60380190,2.15863266,0.00213229,0.05539507,0.64889725,1.36747100,0.00415420,0.47206714
-5.59779890,2.04540928,0.00205562,0.05189189,0.61142392,1.29342853,0.00396843,0.45036599
-5.59179590,1.93454603,0.00197702,0.04843998,0.57500922,1.22061852,0.00379154,0.42934748
-5.58579290,1.82750461,0.00189709,0.04508101,0.54007034,1.15000500,0.00362702,0.40929834
-5.57978989,1.72554537,0.00181636,0.04185231,0.50696088,1.08242680,0.00347787,0.39045970
-5.57378689,1.62970206,0.00173531,0.03878620,0.47596512,1.01858041,0.00334648,0.37302225
-5.56778389,1.54076514,0.00165435,0.03590940,0.44729495,0.95900840,0.00323467,0.35712326
-5.56178089,1.45927423,0.00157381,0.03324279,0.42108917,0.90409368,0.00314357,0.34284548
-5.55577789,1.38551953,0.00149396,0.03080130,0.39741536,0.85405945,0.00307370,0.33021809
-5.54977489,1.31955198,0.00141503,0.02859407,0.37627405,0.80897484,0.00302496,0.31921952
-5.54377189,1.26120140,0.00133721,0.02662483,0.35760501,0.76876561,0.00299673,0.30978197
-5.53776888,1.21010173,0.00126065,0.02489246,0.34129535,0.73322935,0.00298788,0.30179757
-5.53176588,1.16572206,0.00118550,0.02339171,0.32718901,0.70205443,0.00299695,0.29512585
-5.52576288,1.12740207,0.00111189,0.02211409,0.31509743,0.67484174,0.00302223,0.28960212
-5.51975988,1.09439037,0.00103999,0.02104878,0.30481070,0.65112822,0.00306188,0.28504657
-5.51375688,1.06588415,0.00096997,0.02018367,0.29610901,0.63041130,0.00311410,0.28127373
-5.50775388,1.04106848,0.00090202,0.01950636,0.28877384,0.61217309,0.00317726,0.27810171
-5.50175088,1.01915389,0.00083635,0.01900508,0.28259840,0.59590361,0.00324999,0.27536117
-5.49574787,0.99941068,0.00077323,0.01866963,0.27739717,0.58112194,0.00333139,0.27290337
-5.48974487,0.98119874,0.00071291,0.01849206,0.27301394,0.56739476,0.00342106,0.27060721
-5.48374187,0.96399200,0.00065569,0.01846731,0.26932826,0.55435163,0.00351923,0.26838485
-5.47773887,0.94739642,0.00060186,0.01859361,0.26625987,0.54169647,0.00362679,0.26618572
-5.47173587,0.93116127,0.00055174,0.01887262,0.26377119,0.52921507,0.00374534,0.26399877
-5.46573287,0.91518326,0.00050560,0.01930946,0.26186759,0.51677849,0.00387715,0.26185279
-5.45972986,0.89950352,0.00046374,0.01991239,0.26059547,0.50434229,0.00402514,0.25981489
-5.45372686,0.88429786,0.00042641,0.02069232,0.26003831,0.49194197,0.00419276,0.25798703
-5.44772386,0.86986070,0.00039382,0.02166213,0.26031070,0.47968484,0.00438391,0.25650089
-5.44172086,0.85658349,0.00036615,0.02283574,0.26155070,0.46773886,0.00460273,0.25551107
-5.43571786,0.84492873,0.00034353,0.02422705,0.26391072,0.45631901,0.00485342,0.25518710
