energy_ev,total_up,As_p_up,As_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,3.48983379,0.45063486,0.00000000,1.05336616,2.56236572,0.02304810,0.63475381
-5.99399700,3.46656613,0.44204779,0.00000000,1.06626411,2.53667936,0.02408868,0.63273412
-5.98799400,3.44825198,0.43449482,0.00000000,1.08335559,2.51367670,0.02515199,0.63206526
-5.98199100,3.43402000,0.42789726,0.00000000,1.10379664,2.49296148,0.02621182,0.63251529
-5.97598799,3.42295183,0.42215872,0.00000000,1.12671271,2.47410611,0.02724219,0.63384379
-5.96998499,3.41410918,0.41716611,0.00000000,1.15122238,2.45666410,0.02821807,0.63581074
-5.96398199,3.40656085,0.41279116,0.00000000,1.17646070,2.44018281,0.02911605,0.63818495
-5.95797899,3.39940928,0.40889249,0.00000000,1.20160160,2.42421631,0.02991504,0.64075217
-5.95197599,3.39181573,0.40531841,0.00000000,1.22587888,2.40833802,0.03059683,0.64332212
-5.94597299,3.38302343,0.40191036,0.00000000,1.24860515,2.39215268,0.03114662,0.64573455
-5.93996998,3.37237770,0.39850686,0.00000000,1.26918832,2.37530729,0.03155347,0.64786369
-5.93396698,3.35934223,0.39494808,0.00000000,1.28714492,2.35750037,0.03181054,0.64962121
-5.92796398,3.34351090,0.39108058,0.00000000,1.30211009,2.33848922,0.03191531,0.65095728
-5.92196098,3.32461441,0.38676217,0.00000000,1.31384363,2.31809464,0.03186960,0.65185989
-5.91595798,3.30252150,0.38186659,0.00000000,1.32223221,2.29620291,0.03167945,0.65235245
-5.90995498,3.27723464,0.37628779,0.00000000,1.32728751,2.27276492,0.03135497,0.65248969
-5.90395198,3.24888060,0.36994349,0.00000000,1.32914047,2.24779242,0.03090991,0.65235229
-5.89794897,3.21769633,0.36277801,0.00000000,1.32803207,2.22135176,0.03036128,0.65204054
-5.89194597,3.18401107,0.35476403,0.00000000,1.32430085,2.19355546,0.02972882,0.65166734
-5.88594297,3.14822590,0.34590322,0.00000000,1.31836805,2.16455230,0.02903437,0.65135101
-5.87993997,3.11079176,0.33622583,0.00000000,1.31072075,2.13451652,0.02830131,0.65120838
-5.87393697,3.07218743,0.32578914,0.00000000,1.30189394,2.10363699,0.02755389,0.65134855
-5.86793397,3.03289857,0.31467494,0.00000000,1.29245208,2.07210699,0.02681659,0.65186751
-5.86193097,2.99339896,0.30298613,0.00000000,1.28297098,2.04011527,0.02611356,0.65284413
-5.85592796,2.95413488,0.29084269,0.00000000,1.27402037,2.00783901,0.02546799,0.65433744
-5.84992496,2.91551299,0.27837716,0.00000000,1.26614792,1.97543886,0.02490167,0.65638532
-5.84392196,2.87789215,0.26572997,0.00000000,1.25986480,1.94305629,0.02443448,0.65900459
-5.83791896,2.84157897,0.25304467,0.00000000,1.25563320,1.91081318,0.02408405,0.66219217
-5.83191596,2.80682659,0.24046337,0.00000000,1.25385572,1.87881324,0.02386539,0.66592724
-5.82591296,2.77383624,0.22812263,0.00000000,1.25486678,1.84714499,0.02379065,0.67017392
-5.81990995,2.74276049,0.21614971,0.00000000,1.25892580,1.81588548,0.02386894,0.67488423
-5.81390695,2.71370746,0.20465950,0.00000000,1.26621212,1.78510442,0.02410615,0.68000095
-5.80790395,2.68674496,0.19375213,0.00000000,1.27682143,1.75486776,0.02450485,0.68546007
-5.80190095,2.66190390,0.18351114,0.00000000,1.29076353,1.72524047,0.02506428,0.69119273
-5.79589795,2.63918032,0.17400243,0.00000000,1.30796142,1.69628793,0.02578030,0.69712628
-5.78989495,2.61853577,0.16527375,0.00000000,1.32825161,1.66807567,0.02664550,0.70318457
-5.78389195,2.59989600,0.15735477,0.00000000,1.35138570,1.64066760,0.02764923,0.70928756
-5.77788894,2.58314830,0.15025760,0.00000000,1.37703328,1.61412267,0.02877783,0.71535018
-5.77188594,2.56813785,0.14397779,0.00000000,1.40478634,1.58849041,0.03001476,0.72128095
-5.76588294,2.55466405,0.13849556,0.00000000,1.43416531,1.56380594,0.03134097,0.72698038
-5.75987994,2.54247747,0.13377738,0.00000000,1.46462680,1.54008483,0.03273516,0.73233961
-5.75387694,2.53127839,0.12977764,0.00000000,1.49557327,1.51731863,0.03417422,0.73723956
-5.74787394,2.52071765,0.12644050,0.00000000,1.52636447,1.49547162,0.03563367,0.74155078
-5.74187094,2.51040048,0.12370180,0.00000000,1.55633066,1.47447923,0.03708821,0.74513433
-5.73586793,2.49989376,0.12149102,0.00000000,1.58478739,1.45424861,0.03851225,0.74784371
-5.72986493,2.48873652,0.11973320,0.00000000,1.61105141,1.43466143,0.03988050,0.74952789
-5.72386193,2.47645384,0.11835082,0.00000000,1.63445741,1.41557894,0.04116856,0.75003544
-5.71785893,2.46257325,0.11726564,0.00000000,1.65437482,1.39684905,0.04235350,0.74921945
-5.71185593,2.44664299,0.11640038,0.00000000,1.67022423,1.37831492,0.04341444,0.74694317
-5.70585293,2.42825108,0.11568031,0.00000000,1.68149279,1.35982460,0.04433301,0.74308589
-5.69984992,2.40704392,0.11503467,0.00000000,1.68774770,1.34124088,0.04509381,0.73754877
-5.69384692,2.38274329,0.11439792,0.00000000,1.68864758,1.32245068,0.04568469,0.73026025
-5.68784392,2.35516057,0.11371071,0.00000000,1.68395088,1.30337323,0.04609706,0.72118074
-5.68184092,2.32420717,0.11292076,0.00000000,1.67352128,1.28396633,0.04632593,0.71030609
-5.67583792,2.28990039,0.11198340,0.00000000,1.65732961,1.26423024,0.04636997,0.69766982
-5.66983492,2.25236421,0.11086192,0.00000000,1.63545248,1.24420884,0.04623134,0.68334382
-5.66383192,2.21182497,0.10952773,0.00000000,1.60806763,1.22398785,0.04591552,0.66743737
-5.65782891,2.16860200,0.10796023,0.00000000,1.57544627,1.20369029,0.04543099,0.65009471
-5.65182591,2.12309390,0.10614657,0.00000000,1.53794298,1.18346944,0.04478881,0.63149106
-5.64582291,2.07576119,0.10408119,0.00000000,1.49598351,1.16349979,0.04400221,0.61182746
-5.63981991,2.02710639,0.10176524,0.00000000,1.45005123,1.14396664,0.04308608,0.59132458
-5.63381691,1.97765288,0.09920590,0.00000000,1.40067282,1.12505501,0.04205653,0.57021587
-5.62781391,1.92792363,0.09641562,0.00000000,1.34840380,1.10693890,0.04093033,0.54874042
-5.62181091,1.87842126,0.09341135,0.00000000,1.29381448,1.08977129,0.03972455,0.52713589
-5.61580790,1.82961048,0.09021372,0.00000000,1.23747696,1.07367601,0.03845608,0.50563179
-5.60980490,1.78190384,0.08684628,0.00000000,1.17995347,1.05874179,0.03714132,0.48444353
-5.60380190,1.73565173,0.08333474,0.00000000,1.12178647,1.04501903,0.03579591,0.46376738
-5.59779890,1.69113694,0.07970631,0.00000000,1.06349064,1.03251956,0.03443451,0.44377673
-5.59179590,1.64857400,0.07598908,0.00000000,1.00554700,1.02121938,0.03307069,0.42461955
-5.58579290,1.60811321,0.07221148,0.00000000,0.94839897,1.01106431,0.03171690,0.40641729
-5.57978989,1.56984896,0.06840179,0.00000000,0.89245042,1.00197812,0.03038444,0.38926515
-5.57378689,1.53383161,0.06458779,0.00000000,0.83806550,0.99387273,0.02908356,0.37323362
-5.56778389,1.50008226,0.06079640,0.00000000,0.78556990,0.98665987,0.02782359,0.35837114
-5.56178089,1.46860927,0.05705343,0.00000000,0.73525340,0.98026333,0.02661307,0.34470777
-5.55577789,1.43942560,0.05338339,0.00000000,0.68737335,0.97463137,0.02545992,0.33225944
-5.54977489,1.41256581,0.04980929,0.00000000,0.64215865,0.96974824,0.02437159,0.32103279
-5.54377189,1.38810179,0.04635255,0.00000000,0.59981409,0.96564430,0.02335523,0.31103005
-5.53776888,1.36615616,0.04303289,0.00000000,0.56052450,0.96240423,0.02241780,0.30225385
-5.53176588,1.34691270,0.03986828,0.00000000,0.52445869,0.96017253,0.02156619,0.29471167
-5.52576288,1.33062311,0.03687485,0.00000000,0.49177262,0.95915633,0.02080718,0.28841957
-5.51975988,1.31760959,0.03406687,0.00000000,0.46261188,0.95962506,0.02014749,0.28340523
-5.51375688,1.30826323,0.03145671,0.00000000,0.43711307,0.96190702,0.01959369,0.27970983
-5.50775388,1.30303794,0.02905481,0.00000000,0.41540402,0.96638288,0.01915204,0.27738892
-5.50175088,1.30244029,0.02686959,0.00000000,0.39760293,0.97347642,0.01882833,0.27651201
-5.49574787,1.30701541,0.02490746,0.00000000,0.38381611,0.98364271,0.01862762,0.27716108
-5.48974487,1.31732970,0.02317277,0.00000000,0.37413474,0.99735424,0.01855401,0.27942778
-5.48374187,1.33395070,0.02166769,0.00000000,0.36863044,1.01508546,0.01861032,0.28340965
-5.47773887,1.35742509,0.02039225,0.00000000,0.36735007,1.03729619,0.01879780,0.28920543
-5.47173587,1.38825543,0.01934418,0.00000000,0.37030980,1.06441461,0.01911585,0.29690959
-5.46573287,1.42687663,0.01851896,0.00000000,0.37748891,1.09682018,0.01956178,0.30660635
-5.45972986,1.47363289,0.01790969,0.00000000,0.38882351,1.13482725,0.02013061,0.31836343
-5.45372686,1.52875608,0.01750714,0.00000000,0.40420067,1.17866966,0.02081489,0.33222588
-5.44772386,1.59234621,0.01729974,0.00000000,0.42345320,1.22848703,0.02160470,0.34821009
-5.44172086,1.66435487,0.01727360,0.00000000,0.44635556,1.28431299,0.02248767,0.36629844
-5.43571786,1.74457230,0.01741263,0.00000000,0.47262127,1.34606586,0.02344907,0.38643473
-5.42971486,1.83261852,0.01769867,0.00000000,0.50190196,1.41354199,0.02447208,0.40852074
-5.42371186,1.92793922,0.01811170,0.00000000,0.53378863,1.48641214,0.02553810,0.43241397
-5.41770885,2.02980636,0.01863008,0.00000000,0.56781492,1.56422098,0.02662717,0.45792692
-5.41170585,2.13732408,0.01923090,0.00000000,0.60346279,1.64638984,0.02771842,0.48482780
-5.40570285,2.24943948,0.01989034,0.00000000,0.64017044,1.73222274,0.02879064,0.51284291
-5.39969985,2.36495846,0.02058410,0.00000000,0.67734228,1.82091568,0.02982282,0.54166055
-5.39369685,2.48256604,0.02128793,0.00000000,0.71436091,1.91156891,0.03079477,0.57093645
-5.38769385,2.60085077,0.02197808,0.00000000,0.75060055,2.00320208,0.03168764,0.60030047
-5.38169085,2.71833266,0.02263185,0.00000000,0.78544166,2.09477185,0.03248448,0.62936456
-5.37568784,2.83349362,0.02322816,0.00000000,0.81828610,2.18519152,0.03317068,0.65773150
-5.36968484,2.94480979,0.02374799,0.00000000,0.84857240,2.27335234,0.03373440,0.68500429
-5.36368184,3.05078472,0.02417491,0.00000000,0.87579058,2.35814573,0.03416687,0.71079578
-5.35767884,3.14998230,0.02449547,0.00000000,0.89949583,2.43848610,0.03446254,0.73473826
-5.35167584,3.24105874,0.02469952,0.00000000,0.91932072,2.51333343,0.03461926,0.75649262
-5.34567284,3.32279239,0.02478050,0.00000000,0.93498533,2.58171513,0.03463820,0.77575683
-5.33966983,3.39411075,0.02473558,0.00000000,0.94630510,2.64274670,0.03452381,0.79227336
-5.33366683,3.45411393,0.02456570,0.00000000,0.95319600,2.69565036,0.03428359,0.80583546
-5.32766383,3.50209380,0.02427551,0.00000000,0.95567694,2.73977161,0.03392785,0.81629192
-5.32166083,3.53754868,0.02387323,0.00000000,0.95386948,2.77459291,0.03346939,0.82355037
-5.31565783,3.56019301,0.02337034,0.00000000,0.94799470,2.79974446,0.03292314,0.82757891
-5.30965483,3.56996208,0.02278130,0.00000000,0.93836769,2.81501175,0.03230573,0.82840616
-5.30365183,3.56701167,0.02212306,0.00000000,0.92538960,2.82033971,0.03163518,0.82611979
-5.29764882,3.55171301,0.02141463,0.00000000,0.90953789,2.81583344,0.03093037,0.82086352
-5.29164582,3.52464296,0.02067654,0.00000000,0.89135480,2.80175565,0.03021077,0.81283294
-5.28564282,3.48657003,0.01993031,0.00000000,0.87143459,2.77852063,0.02949595,0.80227000
-5.27963982,3.43843653,0.01919790,0.00000000,0.85040990,2.74668514,0.02880527,0.78945677
-5.27363682,3.38133720,0.01850115,0.00000000,0.82893731,2.70693637,0.02815749,0.77470824
-5.26763382,3.31649491,0.01786133,0.00000000,0.80768270,2.66007698,0.02757047,0.75836467
-5.26163082,3.24523374,0.01729859,0.00000000,0.78730639,2.60700787,0.02706079,0.74078345
-5.25562781,3.16895011,0.01683157,0.00000000,0.76844839,2.54870862,0.02664348,0.72233083
-5.24962481,3.08908221,0.01647700,0.00000000,0.75171389,2.48621620,0.02633168,0.70337349
-5.24362181,3.00707852,0.01624935,0.00000000,0.73765919,2.42060230,0.02613635,0.68427025
-5.23761881,2.92436579,0.01616055,0.00000000,0.72677821,2.35294962,0.02606598,0.66536398
-5.23161581,2.84231717,0.01621977,0.00000000,0.71948979,2.28432781,0.02612634,0.64697386
-5.22561281,2.76222124,0.01643319,0.00000000,0.71612593,2.21576940,0.02632025,0.62938821
-5.21960980,2.68525243,0.01680390,0.00000000,0.71692140,2.14824656,0.02664734,0.61285783
-5.21360680,2.61244398,0.01733180,0.00000000,0.72200477,2.08264910,0.02710396,0.59759035
-5.20760380,2.54466382,0.01801360,0.00000000,0.73139145,2.01976445,0.02768309,0.58374535
-5.20160080,2.48259452,0.01884278,0.00000000,0.74497892,1.96026039,0.02837431,0.57143069
-5.19559780,2.42671790,0.01980970,0.00000000,0.76254465,1.90467084,0.02916393,0.56070014
-5.18959480,2.37730505,0.02090176,0.00000000,0.78374693,1.85338559,0.03003520,0.55155239
-5.18359180,2.33441231,0.02210355,0.00000000,0.80812904,1.80664420,0.03096855,0.54393150
-5.17758879,2.29788364,0.02339714,0.00000000,0.83512685,1.76453443,0.03194206,0.53772912
-5.17158579,2.26735954,0.02476242,0.00000000,0.86408003,1.72699546,0.03293193,0.53278811
-5.16558279,2.24229248,0.02617745,0.00000000,0.89424670,1.69382575,0.03391305,0.52890793
-5.15957979,2.22196848,0.02761896,0.00000000,0.92482147,1.66469545,0.03485972,0.52585134
-5.15357679,2.20553423,0.02906285,0.00000000,0.95495625,1.63916284,0.03574633,0.52335248
-5.14757379,2.19202892,0.03048472,0.00000000,0.98378348,1.61669435,0.03654806,0.52112598
-5.14157079,2.18041952,0.03186046,0.00000000,1.01044085,1.59668721,0.03724168,0.51887677
-5.13556778,2.16963832,0.03316683,0.00000000,1.03409675,1.57849403,0.03780621,0.51631038
-5.12956478,2.15862119,0.03438207,0.00000000,1.05397550,1.56144818,0.03822353,0.51314311
-5.12356178,2.14634491,0.03548639,0.00000000,1.06938124,1.54488894,0.03847897,0.50911189
-5.11755878,2.13186228,0.03646252,0.00000000,1.07971959,1.52818536,0.03856171,0.50398326
-5.11155578,2.11433325,0.03729610,0.00000000,1.08451609,1.51075797,0.03846505,0.49756124
-5.10555278,2.09305105,0.03797598,0.00000000,1.08343061,1.49209722,0.03818660,0.48969359
-5.09954977,2.06746208,0.03849448,0.00000000,1.07626706,1.47177818,0.03772826,0.48027640
-5.09354677,2.03717901,0.03884745,0.00000000,1.06297805,1.44947079,0.03709603,0.46925669
-5.08754377,2.00198656,0.03903426,0.00000000,1.04366421,1.42494550,0.03629976,0.45663300
-5.08154077,1.96183993,0.03905758,0.00000000,1.01856831,1.39807415,0.03535267,0.44245398
-5.07553777,1.91685641,0.03892319,0.00000000,0.98806446,1.36882636,0.03427086,0.42681511
-5.06953477,1.86730059,0.03863952,0.00000000,0.95264294,1.33726180,0.03307269,0.40985373
-5.06353177,1.81356441,0.03821725,0.00000000,0.91289148,1.30351902,0.03177808,0.39174269
-5.05752876,1.75614316,0.03766872,0.00000000,0.86947378,1.26780154,0.03040786,0.37268297
-5.05152576,1.69560876,0.03700743,0.00000000,0.82310638,1.23036225,0.02898310,0.35289557
-5.04552276,1.63258207,0.03624743,0.00000000,0.77453492,1.19148692,0.02752446,0.33261324
-5.03951976,1.56770531,0.03540282,0.00000000,0.72451079,1.15147787,0.02605162,0.31207221
-5.03351676,1.50161636,0.03448725,0.00000000,0.67376914,1.11063869,0.02458285,0.29150452
-5.02751376,1.43492588,0.03351348,0.00000000,0.62300916,1.06926079,0.02313457,0.27113107
-5.02151076,1.36819832,0.03249310,0.00000000,0.57287720,1.02761237,0.02172114,0.25115583
-5.01550775,1.30193757,0.03143629,0.00000000,0.52395338,0.98593036,0.02035475,0.23176119
-5.00950475,1.23657749,0.03035170,0.00000000,0.47674178,0.94441546,0.01904537,0.21310477
-5.00350175,1.17247761,0.02924646,0.00000000,0.43166452,0.90323039,0.01780086,0.19531758
-4.99749875,1.10992358,0.02812629,0.00000000,0.38905949,0.86250111,0.01662723,0.17850351
-4.99149575,1.04913200,0.02699566,0.00000000,0.34918146,0.82232077,0.01552887,0.16274016
-4.98549275,0.99025891,0.02585806,0.00000000,0.31220631,0.78275573,0.01450898,0.14808065
-4.97948974,0.93341109,0.02471631,0.00000000,0.27823767,0.74385330,0.01356997,0.13455645
-4.97348674,0.87865922,0.02357287,0.00000000,0.24731556,0.70565024,0.01271388,0.12218077
-4.96748374,0.82605189,0.02243021,0.00000000,0.21942640,0.66818165,0.01194293,0.11095257
-4.96148074,0.77562959,0.02129109,0.00000000,0.19451369,0.63148939,0.01125986,0.10086059
-4.95547774,0.72743783,0.02015888,0.00000000,0.17248897,0.59562968,0.01066845,0.09188757
-4.94947474,0.68153852,0.01903780,0.00000000,0.15324240,0.56067917,0.01017387,0.08401420
-4.94347174,0.63801936,0.01793307,0.00000000,0.13665273,0.52673943,0.00978299,0.07722273
-4.93746873,0.59700049,0.01685107,0.00000000,0.12259605,0.49393942,0.00950469,0.07150011
-4.93146573,0.55863854,0.01579939,0.00000000,0.11095338,0.46243604,0.00935000,0.06684055
-4.92546273,0.52312778,0.01478678,0.00000000,0.10161671,0.43241268,0.00933224,0.06324743
-4.91945973,0.49069868,0.01382314,0.00000000,0.09449351,0.40407611,0.00946700,0.06073453
-4.91345673,0.46161394,0.01291936,0.00000000,0.08950965,0.37765175,0.00977208,0.05932650
-4.90745373,0.43616249,0.01208719,0.00000000,0.08661078,0.35337782,0.01026732,0.05905871
-4.90145073,0.41465165,0.01133902,0.00000000,0.08576233,0.33149856,0.01097430,0.05997637
-4.89544772,0.39739796,0.01068770,0.00000000,0.08694813,0.31225702,0.01191597,0.06213298
-4.88944472,0.38471710,0.01014628,0.00000000,0.09016787,0.29588757,0.01311613,0.06558829
-4.88344172,0.37691316,0.00972773,0.00000000,0.09543356,0.28260866,0.01459890,0.07040561
-4.87743872,0.37426780,0.00944474,0.00000000,0.10276515,0.27261586,0.01638798,0.07664872
-4.87143572,0.37702940,0.00930941,0.00000000,0.11218552,0.26607563,0.01850589,0.08437839
-4.86543272,0.38540272,0.00933297,0.00000000,0.12371501,0.26311982,0.02097310,0.09364858
