energy_ev,total_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,6.22854707,1.89365171,3.13416954,0.07099339,3.67664721,0.51510122,0.00057018
-5.99399700,6.15422576,1.87776843,3.09699076,0.07391485,3.61970465,0.50489298,0.00059047
-5.98799400,6.08671032,1.86206170,3.06219740,0.07701803,3.56477904,0.49529621,0.00061439
-5.98199100,6.02912493,1.84766689,3.03140765,0.08029163,3.51385096,0.48660878,0.00064194
-5.97598799,5.98435708,1.83566695,3.00613190,0.08371977,3.46878810,0.47910194,0.00067307
-5.96998499,5.95496871,1.82705778,2.98772813,0.08728191,3.43129211,0.47301092,0.00070771
-5.96398199,5.94311979,1.82271820,2.97736316,0.09095287,3.40285238,0.46852694,0.00074571
-5.95797899,5.95050770,1.82338576,2.97598151,0.09470319,3.38470888,0.46579106,0.00078690
-5.95197599,5.97832506,1.82963965,2.98428289,0.09849953,3.37782532,0.46489010,0.00083105
-5.94597299,6.02723791,1.84189124,3.00270926,0.10230539,3.38287371,0.46585480,0.00087786
-5.93996998,6.09738462,1.86038284,3.03144172,0.10608197,3.40023079,0.46866039,0.00092701
-5.93396698,6.18839548,1.88519430,3.07040713,0.10978913,3.42998603,0.47322932,0.00097811
-5.92796398,6.29943134,1.91625700,3.11929394,0.11338656,3.47196064,0.47943609,0.00103070
-5.92196098,6.42923900,1.95337416,3.17757614,0.11683494,3.52573624,0.48711378,0.00108432
-5.91595798,6.57622019,1.99624626,3.24454415,0.12009710,3.59069140,0.49606193,0.00113845
-5.90995498,6.73851015,2.04449981,3.31934079,0.12313921,3.66604422,0.50605528,0.00119254
-5.90395198,6.91406174,2.09771770,3.40100063,0.12593169,3.75089833,0.51685280,0.00124604
-5.89794897,7.10073037,2.15546931,3.48849067,0.12845013,3.84428999,0.52820672,0.00129838
-5.89194597,7.29635560,2.21733844,3.58075040,0.13067584,3.94523374,0.53987083,0.00134899
-5.88594297,7.49883510,2.28294737,3.67672930,0.13259622,4.05276428,0.55160783,0.00139735
-5.87993997,7.70618760,2.35197558,3.77542011,0.13420479,4.16597231,0.56319538,0.00144294
-5.87393697,7.91660190,2.42417199,3.87588639,0.13550100,4.28403278,0.57443058,0.00148529
-5.86793397,8.12847010,2.49935997,3.97728330,0.13648973,4.40622392,0.58513287,0.00152397
-5.86193097,8.34040401,2.57743479,4.07887087,0.13718055,4.53193653,0.59514531,0.00155862
-5.85592796,8.55123493,2.65835382,4.18001944,0.13758684,4.66067303,0.60433442,0.00158894
-5.84992496,8.75999778,2.74211995,4.28020754,0.13772474,4.79203678,0.61258882,0.00161470
