energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.57959786,0.01077354,0.37696313,0.18943598,0.05384418,0.41522117,0.00000000,0.49010765,0.56201430
-5.99399700,1.66126533,0.01203572,0.39694826,0.20084114,0.05823367,0.44122951,0.00000000,0.50663399,0.59389710
-5.98799400,1.75430604,0.01339074,0.41889574,0.21434851,0.06347585,0.47201863,0.00000000,0.52619361,0.62833058
-5.98199100,1.86045169,0.01483561,0.44302968,0.23029945,0.06970117,0.50835030,0.00000000,0.54946254,0.66549656
-5.97598799,1.98138943,0.01636585,0.46955194,0.24903594,0.07704199,0.55099005,0.00000000,0.57711929,0.70553419
-5.96998499,2.11871288,0.01797553,0.49863524,0.27089107,0.08562919,0.60068639,0.00000000,0.60982868,0.74853287
-5.96398199,2.27387241,0.01965729,0.53041691,0.29617881,0.09558838,0.65814842,0.00000000,0.64822505,0.79452670
-5.95797899,2.44812572,0.02140246,0.56499343,0.32518323,0.10703580,0.72402224,0.00000000,0.69289524,0.84349062
-5.95197599,2.64248951,0.02320118,0.60241585,0.35814735,0.12007406,0.79886659,0.00000000,0.74436152,0.89533821
-5.94597299,2.85769332,0.02504255,0.64268612,0.39526190,0.13478766,0.88312828,0.00000000,0.80306478,0.94992117
-5.93996998,3.09413643,0.02691486,0.68575440,0.43665433,0.15123860,0.97711812,0.00000000,0.86934835,1.00703036
-5.93396698,3.35184895,0.02880580,0.73151729,0.48237828,0.16946205,1.08098789,0.00000000,0.94344267,1.06639821
-5.92796398,3.63045815,0.03070267,0.77981703,0.53240398,0.18946243,1.19470947,0.00000000,1.02545125,1.12770232
-5.92196098,3.92916135,0.03259261,0.83044154,0.58660993,0.21120991,1.31805659,0.00000000,1.11533824,1.19056995
-5.91595798,4.24670639,0.03446284,0.88312535,0.64477632,0.23463755,1.45059051,0.00000000,1.21291799,1.25458329
-5.90995498,4.58138103,0.03630089,0.93755146,0.70658051,0.25963937,1.59165011,0.00000000,1.31784716,1.31928516
-5.90395198,4.93101247,0.03809474,0.99335390,0.77159501,0.28606933,1.74034747,0.00000000,1.42961963,1.38418514
-5.89794897,5.29297789,0.03983303,1.05012130,0.83928828,0.31374146,1.89556944,0.00000000,1.54756478,1.44876579
-5.89194597,5.66422686,0.04150520,1.10740116,0.90902861,0.34243126,2.05598592,0.00000000,1.67084945,1.51248905
-5.88594297,6.04131616,0.04310157,1.16470507,0.98009124,0.37187835,2.22006492,0.00000000,1.79848387,1.57480271
-5.87993997,6.42045704,0.04461344,1.22151473,1.05166878,0.40179038,2.38609469,0.00000000,1.92933188,1.63514683
-5.87393697,6.79757453,0.04603311,1.27728880,1.12288487,0.43184819,2.55221250,0.00000000,2.06212529,1.69296027
-5.86793397,7.16837798,0.04735389,1.33147049,1.19281080,0.46171208,2.71643965,0.00000000,2.19548263,1.74768727
-5.86193097,7.52844127,0.04857006,1.38349585,1.26048483,0.49102901,2.87672183,0.00000000,2.32793173,1.79878404
