energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Na_s_up,S_s_up,S_p_up
-5.88594297,3.81370765,0.00817703,0.74636518,1.80149949,1.63038836,0.23702932,0.03088567,1.24652162
-5.87993997,3.98280020,0.00770995,0.81744361,1.86975414,1.74935901,0.22893835,0.03211548,1.25845817
-5.87393697,4.17704974,0.00726253,0.89590144,1.95049875,1.88148487,0.22096827,0.03360675,1.27603710
-5.86793397,4.39858255,0.00684126,0.98193338,2.04478011,2.02740283,0.21328809,0.03539178,1.30022118
-5.86193097,4.64911785,0.00645211,1.07558122,2.15345654,2.18749534,0.20606410,0.03749939,1.33191879
-5.85592796,4.92982842,0.00610040,1.17670485,2.27713348,2.36182973,0.19945457,0.03995346,1.37194031
-5.84992496,5.24120899,0.00579085,1.28495709,2.41610237,2.55010339,0.19360458,0.04277146,1.42095466
-5.84392196,5.58295917,0.00552743,1.39976385,2.57028596,2.75159807,0.18864100,0.04596307,1.47944755
-5.83791896,5.95388709,0.00531341,1.52031111,2.73919308,2.96514619,0.18466799,0.04952891,1.54768362
-5.83191596,6.35184003,0.00515133,1.64554005,2.92188543,3.18911180,0.18176298,0.05345943,1.62567390
-5.82591296,6.77366708,0.00504295,1.77415146,3.11695910,3.42138845,0.17997343,0.05773415,1.71315062
-5.81990995,7.21521810,0.00498934,1.90461986,3.32254261,3.65941538,0.17931453,0.06232112,1.80955074
-5.81390695,7.67138158,0.00499081,2.03521778,3.53631283,3.90021291,0.17976779,0.06717685,1.91400943
-5.80790395,8.13616247,0.00504700,2.16404988,3.75552929,4.14043673,0.18128087,0.07224657,2.02536449
-5.80190095,8.60279925,0.00515688,2.28909601,3.97708672,4.37645019,0.18376847,0.07746503,2.14217200
-5.79589795,9.06391740,0.00531879,2.40826217,4.19758443,4.60441246,0.18711440,0.08275763,2.26273325
-5.78989495,9.51171490,0.00553049,2.51943760,4.41341076,4.82037987,0.19117475,0.08804205,2.38513235
-5.78389195,9.93817337,0.00578920,2.62055568,4.62083957,5.02041660,0.19578212,0.09323027,2.50728352
-5.77788894,10.33528718,0.00609167,2.70965668,4.81613533,5.20071065,0.20075067,0.09823088,2.62698638
-5.77188594,10.69530161,0.00643416,2.78494930,4.99566273,5.35769045,0.20588194,0.10295164,2.74198749
-5.76588294,11.01095073,0.00681258,2.84486880,5.15599648,5.48813718,0.21097115,0.10730225,2.85004565
-5.75987994,11.27568504,0.00722247,2.88812897,5.29402674,5.58928831,0.21581377,0.11119711,2.94899862
-5.75387694,11.48387959,0.00765907,2.91376569,5.40705598,5.65892776,0.22021213,0.11455805,3.03682857
-5.74787394,11.63101401,0.00811737,2.92117024,5.49288321,5.69545898,0.22398178,0.11731690,3.11172365
-5.74187094,11.71381706,0.00859213,2.91011090,5.54987226,5.69795791,0.22695735,0.11941774,3.17213342
-5.73586793,11.73037007,0.00907799,2.88074184,5.57700166,5.66620366,0.22899786,0.12081884,3.21681586
-5.72986493,11.68016558,0.00956947,2.83359920,5.57389431,5.60068587,0.22999093,0.12149412,3.24487445
-5.72386193,11.56411969,0.01006107,2.76958451,5.54082649,5.50258890,0.22985620,0.12143412,3.25578385
-5.71785893,11.38453866,0.01054733,2.68993645,5.47871648,5.37375372,0.22854748,0.12064642,3.24940378
