energy_ev,total_up,Ge_p_up,Ge_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.21335134,0.43058600,0.00000000,1.18832081,0.91416768,0.02193056,0.79831526
-5.99399700,2.25564249,0.43984932,0.00000000,1.21063095,0.93260972,0.02258973,0.81510195
-5.98799400,2.29902723,0.44985094,0.00000000,1.23387327,0.95166425,0.02322528,0.83184034
-5.98199100,2.34280417,0.46050268,0.00000000,1.25758920,0.97113361,0.02383218,0.84818055
-5.97598799,2.38629643,0.47170591,0.00000000,1.28131857,0.99083112,0.02440637,0.86379748
-5.96998499,2.42887738,0.48335517,0.00000000,1.30461509,1.01058949,0.02494491,0.87840222
-5.96398199,2.46999221,0.49534137,0.00000000,1.32706002,1.03026764,0.02544607,0.89175152
-5.95797899,2.50917450,0.50755448,0.00000000,1.34827359,1.04975534,0.02590933,0.90365492
-5.95197599,2.54605682,0.51988563,0.00000000,1.36792354,1.06897557,0.02633538,0.91397907
-5.94597299,2.58037514,0.53222847,0.00000000,1.38573066,1.08788446,0.02672591,0.92264930
-5.93996998,2.61196711,0.54447993,0.00000000,1.40147130,1.10646889,0.02708350,0.92964820
-5.93396698,2.64076466,0.55654048,0.00000000,1.41497698,1.12474196,0.02741136,0.93501164
-5.92796398,2.66678170,0.56831385,0.00000000,1.42613155,1.14273686,0.02771307,0.93882242
-5.92196098,2.69009820,0.57970662,0.00000000,1.43486625,1.16049937,0.02799228,0.94120197
-5.91595798,2.71084178,0.59062770,0.00000000,1.44115350,1.17807980,0.02825246,0.94230081
-5.90995498,2.72916828,0.60098790,0.00000000,1.44499983,1.19552476,0.02849664,0.94228816
-5.90395198,2.74524272,0.61069983,0.00000000,1.44643873,1.21286949,0.02872721,0.94134158
-5.89794897,2.75922193,0.61967813,0.00000000,1.44552391,1.23013104,0.02894574,0.93963695
-5.89194597,2.77123987,0.62784019,0.00000000,1.44232343,1.24730295,0.02915292,0.93733953
-5.88594297,2.78139646,0.63510732,0.00000000,1.43691519,1.26435157,0.02934857,0.93459653
-5.87993997,2.78975056,0.64140636,0.00000000,1.42938359,1.28121425,0.02953164,0.93153134
-5.87393697,2.79631706,0.64667159,0.00000000,1.41981788,1.29779943,0.02970041,0.92823981
-5.86793397,2.80106815,0.65084689,0.00000000,1.40831165,1.31398850,0.02985267,0.92478854
-5.86193097,2.80393824,0.65388783,0.00000000,1.39496349,1.32963939,0.02998595,0.92121508
-5.85592796,2.80483196,0.65576376,0.00000000,1.37987844,1.34459131,0.03009786,0.91752995
-5.84992496,2.80363442,0.65645948,0.00000000,1.36316982,1.35867064,0.03018633,0.91372014
-5.84392196,2.80022287,0.65597649,0.00000000,1.34496120,1.37169734,0.03024993,0.90975368
-5.83791896,2.79447884,0.65433371,0.00000000,1.32538798,1.38349167,0.03028818,0.90558509
-5.83191596,2.78630003,0.65156755,0.00000000,1.30459857,1.39388078,0.03030173,0.90116108
-5.82591296,2.77561109,0.64773138,0.00000000,1.28275469,1.40270501,0.03029257,0.89642636
-5.81990995,2.76237288,0.64289430,0.00000000,1.26003089,1.40982350,0.03026414,0.89132904
-5.81390695,2.74658972,0.63713951,0.00000000,1.23661326,1.41511918,0.03022137,0.88582551
-5.80790395,2.72831452,0.63056216,0.00000000,1.21269733,1.41850286,0.03017063,0.87988453
-5.80190095,2.70765166,0.62326695,0.00000000,1.18848537,1.41991649,0.03011960,0.87349037
-5.79589795,2.68475784,0.61536561,0.00000000,1.16418332,1.41933561,0.03007713,0.86664506
-5.78989495,2.65984113,0.60697435,0.00000000,1.13999753,1.41677104,0.03005291,0.85936973
-5.78389195,2.63315837,0.59821142,0.00000000,1.11613152,1.41226989,0.03005719,0.85170500
-5.77788894,2.60501148,0.58919495,0.00000000,1.09278307,1.40591588,0.03010044,0.84371076
-5.77188594,2.57574275,0.58004098,0.00000000,1.07014164,1.39782922,0.03019295,0.83546522
-5.76588294,2.54572967,0.57086190,0.00000000,1.04838635,1.38816585,0.03034441,0.82706358
-5.75987994,2.51537916,0.56176514,0.00000000,1.02768444,1.37711619,0.03056357,0.81861625
-5.75387694,2.48512171,0.55285214,0.00000000,1.00819035,1.36490333,0.03085782,0.81024693
-5.74787394,2.45540515,0.54421760,0.00000000,0.99004513,1.35178059,0.03123289,0.80209047
-5.74187094,2.42668828,0.53594875,0.00000000,0.97337628,1.33802838,0.03169251,0.79429064
-5.73586793,2.39943421,0.52812484,0.00000000,0.95829772,1.32395033,0.03223821,0.78699775
-5.72986493,2.37410324,0.52081652,0.00000000,0.94490983,1.30986852,0.03286911,0.78036627
-5.72386193,2.35114532,0.51408523,0.00000000,0.93329940,1.29611786,0.03358185,0.77455219
-5.71785893,2.33099202,0.50798248,0.00000000,0.92353941,1.28303964,0.03437054,0.76971031
-5.71185593,2.31404782,0.50254902,0.00000000,0.91568854,1.27097411,0.03522683,0.76599124
-5.70585293,2.30068102,0.49781397,0.00000000,0.90979046,1.26025251,0.03614005,0.76353822
-5.69984992,2.29121426,0.49379389,0.00000000,0.90587279,1.25118836,0.03709742,0.76248369
-5.69384692,2.28591485,0.49049194,0.00000000,0.90394608,1.24406857,0.03808434,0.76294559
-5.68784392,2.28498541,0.48789704,0.00000000,0.90400261,1.23914444,0.03908475,0.76502363
-5.68184092,2.28855499,0.48598343,0.00000000,0.90601542,1.23662294,0.04008154,0.76879536
-5.67583792,2.29667125,0.48471034,0.00000000,0.90993768,1.23665876,0.04105705,0.77431250
-5.66983492,2.30929412,0.48402220,0.00000000,0.91570244,1.23934722,0.04199351,0.78159737
-5.66383192,2.32629144,0.48384924,0.00000000,0.92322319,1.24471878,0.04287361,0.79063988
-5.65782891,2.34743697,0.48410860,0.00000000,0.93239502,1.25273513,0.04368097,0.80139508
-5.65182591,2.37241112,0.48470600,0.00000000,0.94309683,1.26328740,0.04440068,0.81378163
-5.64582291,2.40080477,0.48553787,0.00000000,0.95519432,1.27619655,0.04501970,0.82768123
-5.63981991,2.43212611,0.48649397,0.00000000,0.96854387,1.29121611,0.04552735,0.84293924
-5.63381691,2.46581070,0.48746039,0.00000000,0.98299721,1.30803729,0.04591559,0.85936657
-5.62781391,2.50123439,0.48832283,0.00000000,0.99840667,1.32629633,0.04617931,0.87674285
-5.62181091,2.53772885,0.48897005,0.00000000,1.01463077,1.34558395,0.04631646,0.89482090
-5.61580790,2.57459920,0.48929727,0.00000000,1.03153997,1.36545648,0.04632818,0.91333240
-5.60980490,2.61114308,0.48920953,0.00000000,1.04902217,1.38544840,0.04621867,0.93199456
-5.60380190,2.64667041,0.48862467,0.00000000,1.06698766,1.40508573,0.04599515,0.95051765
-5.59779890,2.68052312,0.48747595,0.00000000,1.08537329,1.42389974,0.04566750,0.96861294
-5.59179590,2.71209387,0.48571413,0.00000000,1.10414539,1.44144050,0.04524800,0.98600094
-5.58579290,2.74084309,0.48330889,0.00000000,1.12330136,1.45728965,0.04475087,1.00241948
-5.57978989,2.76631354,0.48024960,0.00000000,1.14286968,1.47107196,0.04419179,1.01763123
-5.57378689,2.78814166,0.47654535,0.00000000,1.16290820,1.48246516,0.04358736,1.03143050
-5.56778389,2.80606549,0.47222433,0.00000000,1.18350070,1.49120777,0.04295453,1.04364882
-5.56178089,2.81992862,0.46733247,0.00000000,1.20475190,1.49710463,0.04231003,1.05415925
-5.55577789,2.82968022,0.46193161,0.00000000,1.22678095,1.50003002,0.04166982,1.06287910
-5.54977489,2.83537124,0.45609714,0.00000000,1.24971377,1.49992836,0.04104856,1.06977103
-5.54377189,2.83714715,0.44991530,0.00000000,1.27367456,1.49681270,0.04045919,1.07484260
-5.53776888,2.83523766,0.44348033,0.00000000,1.29877690,1.49076103,0.03991250,1.07814414
-5.53176588,2.82994418,0.43689154,0.00000000,1.32511482,1.48191101,0.03941690,1.07976533
-5.52576288,2.82162568,0.43025044,0.00000000,1.35275448,1.47045333,0.03897823,1.07983051
-5.51975988,2.81068385,0.42365818,0.00000000,1.38172670,1.45662413,0.03859968,1.07849317
-5.51375688,2.79754837,0.41721323,0.00000000,1.41202092,1.44069710,0.03828190,1.07592972
-5.50775388,2.78266308,0.41100956,0.00000000,1.44358085,1.42297554,0.03802313,1.07233304
-5.50175088,2.76647356,0.40513521,0.00000000,1.47630216,1.40378477,0.03781951,1.06790601
-5.49574787,2.74941697,0.39967144,0.00000000,1.51003224,1.38346532,0.03766545,1.06285539
-5.48974487,2.73191409,0.39469234,0.00000000,1.54457225,1.36236703,0.03755408,1.05738609
-5.48374187,2.71436412,0.39026487,0.00000000,1.57968121,1.34084420,0.03747778,1.05169634
-5.47773887,2.69714180,0.38644935,0.00000000,1.61508208,1.31925187,0.03742873,1.04597351
