energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-6.00000000,15.40893643,2.64070704,9.62001721,0.17457970,0.12399427,0.93607610,1.12326177,0.06587980,3.19357129
-5.99399700,15.36005929,2.62624513,9.60476888,0.17680379,0.12199087,0.93405790,1.11905626,0.06631836,3.16912885
-5.98799400,15.25037812,2.60322975,9.54870365,0.17841277,0.11947339,0.92904236,1.11126878,0.06659531,3.13209783
-5.98199100,15.08322504,2.57231642,9.45371389,0.17944761,0.11648834,0.92123553,1.10019293,0.06672628,3.08317303
-5.97598799,14.86312487,2.53432632,9.32247003,0.17996768,0.11309061,0.91092494,1.08619586,0.06673097,3.02330674
-5.96998499,14.59565222,2.49022531,9.15833047,0.18004890,0.10934173,0.89847182,1.06970680,0.06663237,2.95368198
-5.96398199,14.28725585,2.44109808,8.96523017,0.17978130,0.10530798,0.88430066,1.05120381,0.06645596,2.87567829
-5.95797899,13.94505751,2.38811822,8.74755323,0.17926591,0.10105848,0.86888650,1.03119899,0.06622879,2.79083123
-5.95197599,13.57663391,2.33251550,8.50999496,0.17861118,0.09666335,0.85274039,1.01022294,0.06597859,2.70078739
-5.94597299,13.18979058,2.27554135,8.25741930,0.17792905,0.09219200,0.83639363,0.98880892,0.06573282,2.60725662
-5.93996998,12.79233622,2.21843399,7.99471733,0.17733082,0.08771158,0.82038121,0.96747717,0.06551782,2.51196327
-5.93396698,12.39186600,2.16238414,7.72667204,0.17692289,0.08328578,0.80522514,0.94672022,0.06535803,2.41659842
-5.92796398,11.99556077,2.10850264,7.45783415,0.17680273,0.07897377,0.79141830,0.92698925,0.06527524,2.32277447
-5.92196098,11.61000863,2.05779099,7.19241259,0.17705496,0.07482951,0.77940920,0.90868231,0.06528803,2.23198385
-5.91595798,11.24105339,2.01111541,6.93418245,0.17774791,0.07090137,0.76958836,0.89213429,0.06541123,2.14556285
-5.90995498,10.89367325,1.96918546,6.68641237,0.17893069,0.06723194,0.76227658,0.87760930,0.06565564,2.06466169
-5.90395198,10.57189182,1.93253744,6.45181198,0.18063093,0.06385814,0.75771559,0.86529513,0.06602781,1.99022134
-5.89794897,10.27872170,1.90152304,6.23249961,0.18285320,0.06081151,0.75606132,0.85530029,0.06652993,1.92295760
-5.89194597,10.01614050,1.87630343,6.02998941,0.18557830,0.05811862,0.75737992,0.84765326,0.06715994,1.86335241
-5.88594297,9.78509740,1.85684879,5.84519661,0.18876327,0.05580161,0.76164680,0.84230408,0.06791170,1.81165240
-5.87993997,9.58554824,1.84294311,5.67845908,0.19234238,0.05387872,0.76874853,0.83912808,0.06877530,1.76787421
-5.87393697,9.41651635,1.83419419,5.52957342,0.19622882,0.05236485,0.77848758,0.83793150,0.06973749,1.73181606
-5.86793397,9.27617579,1.83004841,5.39784320,0.20031722,0.05127208,0.79058984,0.83845898,0.07078215,1.70307511
-5.86193097,9.16195387,1.82980987,5.28213739,0.20448683,0.05061002,0.80471446,0.84040244,0.07189091,1.68106960
-5.85592796,9.07064929,1.83266334,5.18095677,0.20860529,0.05038618,0.82046593,0.84341133,0.07304376,1.66506507
-5.84992496,8.99856240,1.83770052,5.09250636,0.21253291,0.05060612,0.83740777,0.84710376,0.07421971,1.65420377
-5.84392196,8.94163395,1.84394873,5.01477188,0.21612713,0.05127352,0.85507759,0.85107839,0.07539750,1.64753629
-5.83791896,8.89558875,1.85040136,4.94559834,0.21924730,0.05239017,0.87300286,0.85492658,0.07655628,1.64405447
-5.83191596,8.85608049,1.85604915,4.88276906,0.22175934,0.05395583,0.89071685,0.85824469,0.07767625,1.64272461
-5.82591296,8.81883413,1.85991137,4.82408322,0.22354025,0.05596803,0.90777438,0.86064596,0.07873927,1.64252007
-5.81990995,8.77978207,1.86106600,4.76743012,0.22448230,0.05842187,0.92376650,0.86177180,0.07972943,1.64245231
-5.81390695,8.73519049,1.85867773,4.71085849,0.22449669,0.06130977,0.93833386,0.86130215,0.08063346,1.64159948
-5.80790395,8.68177244,1.85202314,4.65263896,0.22351662,0.06462125,0.95117807,0.85896446,0.08144112,1.63913177
-5.80190095,8.61678419,1.84051186,4.59131802,0.22149964,0.06834278,0.96207075,0.85454116,0.08214539,1.63433284
-5.79589795,8.53810204,1.82370330,4.52576185,0.21842912,0.07245761,0.97085982,0.84787539,0.08274260,1.62661671
-5.78989495,8.44427710,1.80131800,4.45518861,0.21431501,0.07694577,0.97747282,0.83887466,0.08323240,1.61553963
-5.78389195,8.33456621,1.77324349,4.37918799,0.20919359,0.08178405,0.98191717,0.82751250,0.08361754,1.60080675
-5.77788894,8.20893784,1.73953432,4.29772728,0.20312655,0.08694606,0.98427729,0.81382803,0.08390365,1.58227343
-5.77188594,8.06805276,1.70040635,4.21114344,0.19619917,0.09240239,0.98470873,0.79792341,0.08409877,1.55994129
-5.76588294,7.91322020,1.65622555,4.12012134,0.18851796,0.09812071,0.98342951,0.77995942,0.08421282,1.53394932
-5.75987994,7.74633100,1.60749194,4.02565874,0.18020770,0.10406596,0.98070912,0.76014925,0.08425703,1.50456045
