energy_ev,total_up,Ge_p_up,Ge_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,3.42409802,1.17547752,0.00000000,2.28245962,1.68375599,0.70867469,0.00000000
-5.99399700,3.46945345,1.17171786,0.00000000,2.33306774,1.70234638,0.73106225,0.00000000
-5.98799400,3.51621019,1.16827364,0.00000000,2.38302256,1.72225997,0.75372053,0.00000000
-5.98199100,3.56376909,1.16515136,0.00000000,2.43193196,1.74318469,0.77640058,0.00000000
-5.97598799,3.61146335,1.16234635,0.00000000,2.47939885,1.76475867,0.79884251,0.00000000
-5.96998499,3.65857178,1.15984340,0.00000000,2.52502816,1.78657851,0.82077883,0.00000000
-5.96398199,3.70433586,1.15761791,0.00000000,2.56843508,1.80820978,0.84193859,0.00000000
-5.95797899,3.74797988,1.15563772,0.00000000,2.60925400,1.82919949,0.86205236,0.00000000
-5.95197599,3.78873364,1.15386532,0.00000000,2.64714785,1.84909004,0.88085769,0.00000000
-5.94597299,3.82585652,1.15226051,0.00000000,2.68181718,1.86743428,0.89810513,0.00000000
-5.93996998,3.85866183,1.15078313,0.00000000,2.71300835,1.88381076,0.91356444,0.00000000
-5.93396698,3.88654007,1.14939573,0.00000000,2.74052015,1.89783870,0.92703072,0.00000000
-5.92796398,3.90898000,1.14806601,0.00000000,2.76420833,1.90919182,0.93833028,0.00000000
-5.92196098,3.92558613,1.14676876,0.00000000,2.78398749,1.91761043,0.94732576,0.00000000
-5.91595798,3.93609196,1.14548727,0.00000000,2.79983016,1.92291124,0.95392043,0.00000000
-5.90995498,3.94036809,1.14421402,0.00000000,2.81176291,1.92499432,0.95806131,0.00000000
-5.90395198,3.93842499,1.14295075,0.00000000,2.81985977,1.92384714,0.95974098,0.00000000
-5.89794897,3.93041052,1.14170787,0.00000000,2.82423338,1.91954542,0.95899800,0.00000000
-5.89194597,3.91660243,1.14050351,0.00000000,2.82502460,1.91225104,0.95591595,0.00000000
-5.88594297,3.89739678,1.13936221,0.00000000,2.82239131,1.90220712,0.95062106,0.00000000
-5.87993997,3.87329300,1.13831359,0.00000000,2.81649742,1.88973068,0.94327870,0.00000000
-5.87393697,3.84487682,1.13739116,0.00000000,2.80750302,1.87520354,0.93408890,0.00000000
-5.86793397,3.81280211,1.13663147,0.00000000,2.79555658,1.85906163,0.92328098,0.00000000
-5.86193097,3.77777270,1.13607374,0.00000000,2.78078974,1.84178351,0.91110778,0.00000000
-5.85592796,3.74052505,1.13575996,0.00000000,2.76331544,1.82387852,0.89783959,0.00000000
-5.84992496,3.70181244,1.13573561,0.00000000,2.74322929,1.80587474,0.88375793,0.00000000
-5.84392196,3.66239098,1.13605066,0.00000000,2.72061420,1.78830734,0.86914958,0.00000000
-5.83791896,3.62300757,1.13676086,0.00000000,2.69554774,1.77170723,0.85430074,0.00000000
-5.83191596,3.58438961,1.13792902,0.00000000,2.66811152,1.75659031,0.83949160,0.00000000
-5.82591296,3.54723596,1.13962585,0.00000000,2.63840166,1.74344709,0.82499116,0.00000000
-5.81990995,3.51220872,1.14193035,0.00000000,2.60653920,1.73273287,0.81105253,0.00000000
-5.81390695,3.47992522,1.14492928,0.00000000,2.57267942,1.72485823,0.79790851,0.00000000
