energy_ev,total_up,Ag_p_up,Ag_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,2.54275349,0.57959596,1.85159677,0.00186668,0.09003103,0.01732870,0.38909364
-5.99399700,2.48886265,0.55902547,1.81531244,0.00187700,0.08643882,0.01707415,0.38235470
-5.98799400,2.43993115,0.53766293,1.78446344,0.00190302,0.08271732,0.01676523,0.37551452
-5.98199100,2.39675565,0.51583912,1.75959087,0.00194727,0.07889988,0.01640720,0.36867552
-5.97598799,2.36015547,0.49390075,1.74123110,0.00201246,0.07502390,0.01600669,0.36195868
-5.96998499,2.33096687,0.47220181,1.72991597,0.00210145,0.07112952,0.01557153,0.35550156
-5.96398199,2.31003514,0.45109507,1.72617142,0.00221715,0.06725847,0.01511055,0.34945554
-5.95797899,2.29820364,0.43092372,1.73051383,0.00236245,0.06345284,0.01463341,0.34398240
-5.95197599,2.29629918,0.41201348,1.74344325,0.00254007,0.05975391,0.01415028,0.33925012
-5.94597299,2.30511353,0.39466507,1.76543327,0.00275248,0.05620111,0.01367163,0.33542818
-5.93996998,2.32538085,0.37914736,1.79691708,0.00300173,0.05283101,0.01320792,0.33268226
-5.93396698,2.35775146,0.36569122,1.83827000,0.00328935,0.04967648,0.01276934,0.33116865
-5.92796398,2.40276259,0.35448417,1.88978888,0.00361620,0.04676590,0.01236548,0.33102847
-5.92196098,2.46080708,0.34566589,1.95166901,0.00398235,0.04412260,0.01200512,0.33238189
-5.91595798,2.53210149,0.33932485,2.02397982,0.00438698,0.04176438,0.01169592,0.33532268
-5.90995498,2.61665524,0.33549596,2.10664055,0.00482828,0.03970319,0.01144425,0.33991320
-5.90395198,2.71424247,0.33415950,2.19939739,0.00530342,0.03794502,0.01125497,0.34618012
-5.89794897,2.82437865,0.33524121,2.30180379,0.00580846,0.03648986,0.01113131,0.35411113
-5.89194597,2.94630358,0.33861389,2.41320543,0.00633844,0.03533187,0.01107476,0.36365278
-5.88594297,3.07897253,0.34410015,2.53273119,0.00688738,0.03445966,0.01108510,0.37470957
-5.87993997,3.22105670,0.35147660,2.65929151,0.00744837,0.03385677,0.01116032,0.38714447
-5.87393697,3.37095391,0.36047926,2.79158484,0.00801369,0.03350216,0.01129680,0.40078082
-5.86793397,3.52680991,0.37081010,2.92811265,0.00857502,0.03337088,0.01148940,0.41540564
-5.86193097,3.68655007,0.38214451,3.06720298,0.00912360,0.03343483,0.01173166,0.43077425
-5.85592796,3.84792070,0.39413955,3.20704209,0.00965044,0.03366351,0.01201603,0.44661593
-5.84992496,4.00853871,0.40644268,3.34571304,0.01014662,0.03402486,0.01233413,0.46264061
-5.84392196,4.16594771,0.41870065,3.48124007,0.01060347,0.03448610,0.01267710,0.47854613
-5.83791896,4.31767852,0.43056829,3.61163677,0.01101287,0.03501449,0.01303586,0.49402592
-5.83191596,4.46131145,0.44171697,3.73495617,0.01136747,0.03557816,0.01340143,0.50877675
-5.82591296,4.59453782,0.45184224,3.84934060,0.01166091,0.03614674,0.01376525,0.52250622
-5.81990995,4.71521826,0.46067058,3.95306913,0.01188799,0.03669203,0.01411948,0.53493979
-5.81390695,4.82143518,0.46796505,4.04460060,0.01204485,0.03718846,0.01445719,0.54582707
-5.80790395,4.91153752,0.47352946,4.12261045,0.01212902,0.03761351,0.01477259,0.55494718
-5.80190095,4.98417601,0.47721129,4.18601985,0.01213952,0.03794800,0.01506116,0.56211298
-5.79589795,5.03832778,0.47890308,4.23401615,0.01207684,0.03817621,0.01531974,0.56717424
-5.78989495,5.07330972,0.47854239,4.26606403,0.01194288,0.03828600,0.01554652,0.57001956
-5.78389195,5.08878063,0.47611055,4.28190722,0.01174088,0.03826869,0.01574102,0.57057717
-5.77788894,5.08473251,0.47163017,4.28156131,0.01147530,0.03811896,0.01590394,0.56881462
-5.77188594,5.06147203,0.46516168,4.26529814,0.01115158,0.03783460,0.01603702,0.56473758
-5.76588294,5.01959370,0.45679915,4.23362328,0.01077606,0.03741628,0.01614281,0.55838768
