energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,1.39074298,0.00704463,0.11607365,0.38933708,0.54445404,0.01127103,0.58637012
-5.99399700,1.42928633,0.00751599,0.10643699,0.37226757,0.56699212,0.01164444,0.61773578
-5.98799400,1.47607058,0.00799063,0.09822841,0.36025207,0.59160457,0.01217446,0.65150923
-5.98199100,1.53000390,0.00846606,0.09132483,0.35289608,0.61784216,0.01285870,0.68728674
-5.97598799,1.59000020,0.00894023,0.08559683,0.34979205,0.64526778,0.01369312,0.72467443
-5.96998499,1.65500156,0.00941150,0.08091292,0.35052909,0.67346560,0.01467205,0.76329525
-5.96398199,1.72399696,0.00987866,0.07714347,0.35470140,0.70204871,0.01578818,0.80279449
-5.95797899,1.79603667,0.01034083,0.07416391,0.36191519,0.73066502,0.01703261,0.84284378
-5.95197599,1.87024226,0.01079747,0.07185736,0.37179404,0.75900139,0.01839489,0.88314334
-5.94597299,1.94581230,0.01124823,0.07011659,0.38398295,0.78678585,0.01986301,0.92342267
-5.93996998,2.02202419,0.01169288,0.06884547,0.39815095,0.81378803,0.02142355,0.96343975
-5.93396698,2.09823275,0.01213119,0.06795974,0.41399268,0.83981801,0.02306181,1.00297904
-5.92796398,2.17386650,0.01256285,0.06738747,0.43122908,0.86472406,0.02476199,1.04184865
-5.92196098,2.24842263,0.01298733,0.06706905,0.44960741,0.88838937,0.02650742,1.07987714
-5.91595798,2.32146163,0.01340383,0.06695692,0.46890091,0.91072851,0.02828093,1.11691030
-5.90995498,2.39260270,0.01381122,0.06701521,0.48890828,0.93168384,0.03006518,1.15280854
-5.90395198,2.46152082,0.01420797,0.06721913,0.50945314,0.95122255,0.03184311,1.18744512
-5.89794897,2.52794618,0.01459219,0.06755448,0.53038372,0.96933432,0.03359842,1.22070565
-5.89194597,2.59166651,0.01496165,0.06801706,0.55157273,0.98603040,0.03531605,1.25248914
-5.88594297,2.65253233,0.01531384,0.06861225,0.57291763,1.00134370,0.03698272,1.28271057
-5.87993997,2.71046526,0.01564608,0.06935456,0.59434105,1.01533043,0.03858738,1.31130510
-5.87393697,2.76546865,0.01595567,0.07026733,0.61579156,1.02807288,0.04012172,1.33823356
-5.86793397,2.81764000,0.01623998,0.07138245,0.63724449,1.03968313,0.04158055,1.36348913
-5.86193097,2.86718412,0.01649669,0.07274008,0.65870279,1.05030752,0.04296215,1.38710456
-5.85592796,2.91442581,0.01672393,0.07438837,0.68019763,1.06013120,0.04426846,1.40915951
-5.84992496,2.95982087,0.01692041,0.07638310,0.70178877,1.06938240,0.04550526,1.42978740
-5.84392196,3.00396413,0.01708564,0.07878712,0.72356432,1.07833575,0.04668213,1.44918123
-5.83791896,3.04759321,0.01722001,0.08166966,0.74563986,1.08731431,0.04781233,1.46759764
-5.83191596,3.09158703,0.01732493,0.08510541,0.76815672,1.09668958,0.04891254,1.48535875
-5.82591296,3.13695815,0.01740286,0.08917325,0.79127926,1.10687937,0.05000247,1.50285142
-5.81990995,3.18483846,0.01745736,0.09395476,0.81519117,1.11834301,0.05110435,1.52052346
-5.81390695,3.23645790,0.01749306,0.09953238,0.84009061,1.13157397,0.05224233,1.53887668
-5.80790395,3.29311658,0.01751558,0.10598730,0.86618426,1.14708982,0.05344173,1.55845683
-5.80190095,3.35615057,0.01753145,0.11339716,0.89368041,1.16541978,0.05472832,1.57984047
-5.79589795,3.42689260,0.01754793,0.12183342,0.92278106,1.18709012,0.05612744,1.60361919
-5.78989495,3.50662867,0.01757283,0.13135880,0.95367328,1.21260806,0.05766318,1.63038163
-5.78389195,3.59655224,0.01761429,0.14202456,0.98652016,1.24244468,0.05935755,1.66069388
-5.77788894,3.69771786,0.01768054,0.15386802,1.02145149,1.27701751,0.06122962,1.69507908
-5.77188594,3.81099598,0.01777963,0.16691015,1.05855463,1.31667371,0.06329484,1.73399693
-5.76588294,3.93703102,0.01791917,0.18115365,1.09786598,1.36167442,0.06556432,1.77782409
-5.75987994,4.07620472,0.01810606,0.19658137,1.13936340,1.41218115,0.06804433,1.82683613
-5.75387694,4.22860625,0.01834627,0.21315543,1.18296003,1.46824483,0.07073589,1.88119209
-5.74787394,4.39401100,0.01864457,0.23081686,1.22849990,1.52979802,0.07363453,1.94092221
-5.74187094,4.57186884,0.01900436,0.24948604,1.27575579,1.59665074,0.07673018,2.00591944
-5.73586793,4.76130301,0.01942754,0.26906383,1.32442942,1.66849017,0.08000735,2.07593529
-5.72986493,4.96111962,0.01991435,0.28943349,1.37415437,1.74488426,0.08344536,2.15058021
-5.72386193,5.16982784,0.02046334,0.31046318,1.42450165,1.82528910,0.08701884,2.22932855
-5.71785893,5.38566997,0.02107135,0.33200908,1.47498792,1.90905978,0.09069835,2.31152802
-5.71185593,5.60666021,0.02173355,0.35391899,1.52508612,1.99546431,0.09445112,2.39641328
-5.70585293,5.83063069,0.02244357,0.37603610,1.57423824,2.08369986,0.09824195,2.48312301
-5.69984992,6.05528261,0.02319359,0.39820300,1.62186961,2.17291081,0.10203414,2.57071996
-5.69384692,6.27824059,0.02397455,0.42026541,1.66740424,2.26220765,0.10579042,2.65821294
-5.68784392,6.49710766,0.02477639,0.44207567,1.71028051,2.35068608,0.10947396,2.74457997
-5.68184092,6.70951887,0.02558825,0.46349578,1.74996651,2.43744551,0.11304922,2.82879161
-5.67583792,6.91319108,0.02639878,0.48439956,1.78597427,2.52160618,0.11648279,2.90983353
-5.66983492,7.10596737,0.02719638,0.50467423,1.81787234,2.60232453,0.11974400,2.98672744
-5.66383192,7.28585426,0.02796951,0.52422086,1.84529598,2.67880608,0.12280548,3.05854984
-5.65782891,7.45105079,0.02870688,0.54295408,1.86795470,2.75031583,0.12564349,3.12444777
-5.65182591,7.59996899,0.02939778,0.56080074,1.88563669,2.81618583,0.12823803,3.18365137
-5.64582291,7.73124542,0.03003221,0.57769788,1.89821013,2.87582007,0.13057284,3.23548300
-5.63981991,7.84374455,0.03060112,0.59358996,1.90562138,2.92869685,0.13263519,3.27936300
-5.63381691,7.93655470,0.03109654,0.60842570,1.90789036,2.97436901,0.13441554,3.31481221
-5.62781391,8.00897782,0.03151168,0.62215467,1.90510346,3.01246233,0.13590712,3.34145176
-5.62181091,8.06051487,0.03184103,0.63472395,1.89740450,3.04267270,0.13710539,3.35900047
-5.61580790,8.09084827,0.03208034,0.64607510,1.88498446,3.06476259,0.13800753,3.36727064
-5.60980490,8.09982343,0.03222669,0.65614175,1.86807062,3.07855715,0.13861192,3.36616264
-5.60380190,8.08743078,0.03227842,0.66484794,1.84691571,3.08394066,0.13891772,3.35565911
-5.59779890,8.05378994,0.03223507,0.67210754,1.82178789,3.08085344,0.13892447,3.33581918
-5.59179590,7.99913704,0.03209732,0.67782475,1.79296197,3.06928967,0.13863186,3.30677322
-5.58579290,7.92381603,0.03186689,0.68189580,1.76071236,3.04929620,0.13803968,3.26871845
-5.57978989,7.82827427,0.03154642,0.68421182,1.72530815,3.02097236,0.13714783,3.22191564
-5.57378689,7.71306239,0.03113938,0.68466281,1.68701026,2.98447075,0.13595653,3.16668685
-5.56778389,7.57883788,0.03064993,0.68314241,1.64607084,2.93999861,0.13446661,3.10341424
