energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,2.40943429,0.48973195,0.79990868,0.00510103,0.52659368,1.81537608,0.71395973,0.29098274,0.00000000
-5.99399700,2.45991468,0.48487540,0.81109419,0.00513052,0.54688637,1.87426932,0.73826146,0.28903333,0.00000000
-5.98799400,2.50717808,0.47897633,0.82233195,0.00513739,0.56607482,1.92815051,0.76138054,0.28625246,0.00000000
-5.98199100,2.55036360,0.47215070,0.83331032,0.00512068,0.58387163,1.97619553,0.78296621,0.28268847,0.00000000
-5.97598799,2.58864802,0.46453172,0.84372261,0.00507989,0.59999583,2.01762019,0.80267786,0.27839997,0.00000000
-5.96998499,2.62126156,0.45626537,0.85327060,0.00501492,0.61417994,2.05170015,0.82019339,0.27345384,0.00000000
-5.96398199,2.64750407,0.44750609,0.86166852,0.00492612,0.62617706,2.07779084,0.83521749,0.26792321,0.00000000
-5.95797899,2.66676094,0.43841280,0.86864751,0.00481426,0.63576786,2.09534693,0.84748951,0.26188565,0.00000000
-5.95197599,2.67851826,0.42914527,0.87396031,0.00468050,0.64276706,2.10394019,0.85679049,0.25542145,0.00000000
-5.94597299,2.68237645,0.41986089,0.87738613,0.00452636,0.64702920,2.10327516,0.86294926,0.24861218,0.00000000
-5.93996998,2.67806155,0.41071178,0.87873527,0.00435370,0.64845345,2.09320169,0.86584707,0.24153937,0.00000000
-5.93396698,2.66543367,0.40184237,0.87785335,0.00416467,0.64698714,2.07372387,0.86542084,0.23428338,0.00000000
-5.92796398,2.64449179,0.39338717,0.87462495,0.00396166,0.64262796,2.04500452,0.86166459,0.22692251,0.00000000
-5.92196098,2.61537471,0.38546875,0.86897620,0.00374722,0.63542462,2.00736518,0.85462911,0.21953209,0.00000000
-5.91595798,2.57835775,0.37819595,0.86087641,0.00352404,0.62547587,1.96128123,0.84441988,0.21218381,0.00000000
-5.90995498,2.53384523,0.37166219,0.85033837,0.00329487,0.61292809,1.90737240,0.83119327,0.20494507,0.00000000
