energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,3.31003192,0.03891913,0.65889469,0.01852953,0.00000000,1.15619598,0.00000000,1.79259927,1.32938064
-5.99399700,3.18453438,0.03918419,0.61309190,0.01803116,0.00000000,1.13994583,0.00000000,1.71077097,1.25642576
-5.98799400,3.07122604,0.03951410,0.57087360,0.01756948,0.00000000,1.12667010,0.00000000,1.63548920,1.18926941
-5.98199100,2.97059386,0.03989783,0.53241865,0.01714911,0.00000000,1.11641490,0.00000000,1.56716233,1.12821298
-5.97598799,2.88284332,0.04032255,0.49782592,0.01677365,0.00000000,1.10915892,0.00000000,1.50604368,1.07341911
-5.96998499,2.80790802,0.04077403,0.46711858,0.01644549,0.00000000,1.10481450,0.00000000,1.45223994,1.02491647
-5.96398199,2.74546774,0.04123712,0.44025050,0.01616582,0.00000000,1.10323116,0.00000000,1.40572472,0.98260824
-5.95797899,2.69497419,0.04169621,0.41711452,0.01593457,0.00000000,1.10420135,0.00000000,1.36635639,0.94628401
-5.95197599,2.65568355,0.04213574,0.39755197,0.01575047,0.00000000,1.10746852,0.00000000,1.33389955,0.91563450
-5.94597299,2.62669435,0.04254075,0.38136331,0.01561110,0.00000000,1.11273701,0.00000000,1.30804895,0.89026854
-5.93996998,2.60698938,0.04289733,0.36831915,0.01551299,0.00000000,1.11968362,0.00000000,1.28845502,0.86973161
-5.93396698,2.59547982,0.04319314,0.35817146,0.01545175,0.00000000,1.12797025,0.00000000,1.27474961,0.85352534
-5.92796398,2.59104996,0.04341775,0.35066435,0.01542225,0.00000000,1.13725715,0.00000000,1.26657106,0.84112717
-5.92196098,2.59260081,0.04356306,0.34554407,0.01541880,0.00000000,1.14721630,0.00000000,1.26358719,0.83200952
-5.91595798,2.59909084,0.04362357,0.34256795,0.01543532,0.00000000,1.15754429,0.00000000,1.26551547,0.82565782
-5.90995498,2.60957246,0.04359654,0.34151189,0.01546553,0.00000000,1.16797422,0.00000000,1.27213916,0.82158695
-5.90395198,2.62322281,0.04348215,0.34217612,0.01550318,0.00000000,1.17828603,0.00000000,1.28331879,0.81935532
-5.89794897,2.63936798,0.04328346,0.34438930,0.01554223,0.00000000,1.18831497,0.00000000,1.29899840,0.81857659
-5.89194597,2.65749964,0.04300643,0.34801054,0.01557700,0.00000000,1.19795783,0.00000000,1.31920611,0.81892845
-5.88594297,2.67728404,0.04265970,0.35292967,0.01560234,0.00000000,1.20717664,0.00000000,1.34404894,0.82015845
-5.87993997,2.69856286,0.04225439,0.35906561,0.01561381,0.00000000,1.21599984,0.00000000,1.37370206,0.82208683
-5.87393697,2.72134650,0.04180384,0.36636305,0.01560777,0.00000000,1.22452082,0.00000000,1.40839277,0.82460646
-5.86793397,2.74580020,0.04132326,0.37478775,0.01558150,0.00000000,1.23289399,0.00000000,1.44838001,0.82767992
-5.86193097,2.77222384,0.04082931,0.38432054,0.01553328,0.00000000,1.24132867,0.00000000,1.49393018,0.83133420
-5.85592796,2.80102648,0.04033978,0.39495053,0.01546245,0.00000000,1.25008090,0.00000000,1.54529041,0.83565319
-5.84992496,2.83269704,0.03987311,0.40666782,0.01536944,0.00000000,1.25944372,0.00000000,1.60266064,0.84076839
-5.84392196,2.86777219,0.03944800,0.41945600,0.01525580,0.00000000,1.26973634,0.00000000,1.66616579,0.84684839
-5.83791896,2.90680333,0.03908303,0.43328503,0.01512416,0.00000000,1.28129249,0.00000000,1.73582948,0.85408737
-5.83191596,2.95032364,0.03879626,0.44810462,0.01497823,0.00000000,1.29444854,0.00000000,1.81155087,0.86269326
-5.82591296,2.99881697,0.03860487,0.46383874,0.01482270,0.00000000,1.30953182,0.00000000,1.89308572,0.87287592
-5.81990995,3.05268957,0.03852489,0.48038137,0.01466319,0.00000000,1.32684944,0.00000000,1.98003306,0.88483571
-5.81390695,3.11224586,0.03857088,0.49759381,0.01450611,0.00000000,1.34667806,0.00000000,2.07182835,0.89875300
-5.80790395,3.17766902,0.03875571,0.51530378,0.01435855,0.00000000,1.36925491,0.00000000,2.16774364,0.91477865
