energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
0.44722361,1.53813958,0.04115444,0.78833949,1.95110931,0.51526776,0.08638180,0.00000000
0.45322661,1.60515994,0.04485023,0.81882934,2.05847762,0.53877197,0.09082669,0.00000000
0.45922961,1.67346031,0.04865241,0.84986689,2.16544458,0.56238043,0.09606649,0.00000000
0.46523262,1.74269431,0.05252183,0.88131904,2.27107751,0.58594437,0.10215069,0.00000000
0.47123562,1.81250279,0.05641525,0.91303971,2.37442728,0.60931629,0.10913203,0.00000000
0.47723862,1.88251726,0.06028637,0.94487090,2.47454602,0.63235187,0.11706419,0.00000000
0.48324162,1.95236367,0.06408701,0.97664374,2.57050649,0.65491169,0.12599936,0.00000000
0.48924462,2.02166663,0.06776852,1.00817974,2.66142309,0.67686309,0.13598584,0.00000000
0.49524762,2.09005435,0.07128326,1.03929222,2.74647387,0.69808211,0.14706572,0.00000000
0.50125063,2.15716428,0.07458617,1.06978822,2.82492334,0.71845552,0.15927279,0.00000000
0.50725363,2.22264968,0.07763635,1.09947072,2.89614544,0.73788304,0.17263082,0.00000000
0.51325663,2.28618713,0.08039862,1.12814163,2.95964597,0.75627971,0.18715230,0.00000000
0.51925963,2.34748497,0.08284489,1.15560517,3.01508376,0.77357839,0.20283776,0.00000000
0.52526263,2.40629238,0.08495541,1.18167205,3.06228965,0.78973240,0.21967569,0.00000000
0.53126563,2.46240904,0.08671969,1.20616401,3.10128240,0.80471804,0.23764325,0.00000000
0.53726863,2.51569465,0.08813721,1.22891886,3.13228055,0.81853700,0.25670756,0.00000000
0.54327164,2.56607809,0.08921770,1.24979567,3.15570936,0.83121843,0.27682773,0.00000000
0.54927464,2.61356531,0.08998109,1.26867991,3.17220188,0.84282040,0.29795737,0.00000000
0.55527764,2.65824553,0.09045705,1.28548826,3.18259353,0.85343068,0.32004754,0.00000000
0.56128064,2.70029475,0.09068414,1.30017277,3.18790965,0.86316645,0.34304987,0.00000000
0.56728364,2.73997627,0.09070861,1.31272408,3.18934565,0.87217287,0.36691965,0.00000000
0.57328664,2.77763724,0.09058285,1.32317338,3.18823979,0.88062041,0.39161857,0.00000000
0.57928964,2.81370114,0.09036351,1.33159293,3.18603891,0.88870062,0.41711693,0.00000000
0.58529265,2.84865575,0.09010951,1.33809498,3.18425769,0.89662058,0.44339493,0.00000000
0.59129565,2.88303670,0.08987980,1.34282889,3.18443232,0.90459589,0.47044292,0.00000000
0.59729865,2.91740677,0.08973106,1.34597667,3.18807002,0.91284250,0.49826030,0.00000000
0.60330165,2.95233158,0.08971548,1.34774679,3.19659588,0.92156748,0.52685311,0.00000000
0.60930465,2.98835236,0.08987860,1.34836676,3.21129883,0.93095921,0.55623016,0.00000000
0.61530765,3.02595704,0.09025732,1.34807453,3.23327892,0.94117728,0.58639783,0.00000000
0.62131066,3.06555079,0.09087826,1.34710924,3.26339784,0.95234264,0.61735378,0.00000000
0.62731366,3.10742758,0.09175639,1.34570172,3.30223505,0.96452848,0.64907977,0.00000000
0.63331666,3.15174426,0.09289410,1.34406522,3.35005147,0.97775244,0.68153407,0.00000000
0.63931966,3.19849875,0.09428075,1.34238682,3.40676278,0.99197048,0.71464388,0.00000000
0.64532266,3.24751382,0.09589266,1.34082009,3.47192384,1.00707312,0.74829832,0.00000000
0.65132566,3.29842760,0.09769366,1.33947922,3.54472561,1.02288415,0.78234255,0.00000000
0.65732866,3.35069211,0.09963606,1.33843517,3.62400523,1.03916230,0.81657343,0.00000000
0.66333167,3.40358009,0.10166219,1.33771393,3.70826955,1.05560585,0.85073739,0.00000000
0.66933467,3.45620064,0.10370627,1.33729704,3.79573180,1.07186018,0.88453072,0.00000000
0.67533767,3.50752324,0.10569667,1.33712433,3.88436025,1.08752808,0.91760265,0.00000000
0.68134067,3.55640946,0.10755847,1.33709886,3.97193746,1.10218252,0.94956119,0.00000000
0.68734367,3.60165116,0.10921612,1.33709351,4.05612801,1.11538123,0.97998189,0.00000000
