energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,5.46543641,-5.46543718,0.08722774,-0.08722775,0.51919801,-0.51919800,1.07195471,-1.07195478,1.12600445,-1.12600452,0.79989700,-0.79989721,0.52101130,-0.52101137,0.07790482,-0.07790486,2.65736533,-2.65736575
-5.99399700,5.36734783,-5.36734859,0.08589951,-0.08589953,0.51743684,-0.51743683,1.05975401,-1.05975407,1.11434623,-1.11434631,0.78342370,-0.78342390,0.51276927,-0.51276934,0.07502438,-0.07502442,2.60129732,-2.60129773
-5.98799400,5.26232625,-5.26232700,0.08448528,-0.08448530,0.51456338,-0.51456337,1.04641403,-1.04641409,1.10013328,-1.10013337,0.76732913,-0.76732931,0.50371370,-0.50371377,0.07208366,-0.07208370,2.54221348,-2.54221388
-5.98199100,5.15142349,-5.15142422,0.08299512,-0.08299514,0.51068060,-0.51068059,1.03218901,-1.03218905,1.08358545,-1.08358554,0.75175021,-0.75175039,0.49388588,-0.49388595,0.06909755,-0.06909759,2.48058730,-2.48058770
-5.97598799,5.03578808,-5.03578879,0.08143942,-0.08143943,0.50590655,-0.50590654,1.01734203,-1.01734206,1.06495601,-1.06495610,0.73681328,-0.73681345,0.48333948,-0.48333955,0.06608259,-0.06608263,2.41693250,-2.41693288
-5.96998499,4.91662893,-4.91662960,0.07982843,-0.07982844,0.50037084,-0.50037082,1.00213554,-1.00213556,1.04452438,-1.04452447,0.72263025,-0.72263040,0.47213855,-0.47213862,0.06305663,-0.06305667,2.35178624,-2.35178662
-5.96398199,4.79517819,-4.79517882,0.07817195,-0.07817196,0.49421108,-0.49421106,0.98682230,-0.98682231,1.02258841,-1.02258850,0.70929519,-0.70929533,0.46035525,-0.46035532,0.06003847,-0.06003850,2.28569223,-2.28569260
-5.95797899,4.67265555,-4.67265614,0.07647893,-0.07647895,0.48756946,-0.48756943,0.97163730,-0.97163730,0.99945651,-0.99945660,0.69688161,-0.69688173,0.44806769,-0.44806776,0.05704741,-0.05704744,2.21918445,-2.21918480
-5.95197599,4.55023570,-4.55023625,0.07475723,-0.07475725,0.48058952,-0.48058949,0.95679104,-0.95679103,0.97544011,-0.97544019,0.68544048,-0.68544059,0.43535797,-0.43535804,0.05410290,-0.05410293,2.15277267,-2.15277301
-5.94597299,4.42902047,-4.42902097,0.07301335,-0.07301336,0.47341335,-0.47341331,0.94246437,-0.94246434,0.95084645,-0.95084653,0.67499943,-0.67499953,0.42231042,-0.42231048,0.05122406,-0.05122409,2.08693041,-2.08693073
-5.93996998,4.31001686,-4.31001731,0.07125232,-0.07125233,0.46617910,-0.46617905,0.92880507,-0.92880502,0.92597224,-0.92597231,0.66556311,-0.66556319,0.40901035,-0.40901042,0.04842939,-0.04842941,2.02208579,-2.02208609
-5.93396698,4.19412153,-4.19412192,0.06947767,-0.06947768,0.45901889,-0.45901883,0.91592635,-0.91592629,0.90109808,-0.90109814,0.65711471,-0.65711479,0.39554316,-0.39554323,0.04573643,-0.04573646,1.95861579,-1.95861608
