energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,6.29399790,0.02635273,0.31068514,2.01390350,3.52811959,2.19213905,0.00000000,1.19623903,0.67975495
-5.99399700,6.37205606,0.02601398,0.31142790,2.01387232,3.58243013,2.21505139,0.00000000,1.19749995,0.68866690
-5.98799400,6.44685717,0.02564693,0.31273779,2.01388015,3.63467859,2.23596335,0.00000000,1.19754525,0.69667694
-5.98199100,6.51778201,0.02525714,0.31454486,2.01372210,3.68465999,2.25462292,0.00000000,1.19625515,0.70371718
-5.97598799,6.58430254,0.02485032,0.31677888,2.01319604,3.73222109,2.27082129,0.00000000,1.19353230,0.70973531
-5.96998499,6.64598570,0.02443224,0.31937084,2.01210703,3.77725774,2.28439545,0.00000000,1.18930544,0.71469433
-5.96398199,6.70249471,0.02400860,0.32225436,2.01027184,3.81971106,2.29522951,0.00000000,1.18353264,0.71857198
-5.95797899,6.75358835,0.02358501,0.32536694,2.00752359,3.85956282,2.30325476,0.00000000,1.17620382,0.72135959
-5.95197599,6.79911852,0.02316687,0.32865114,2.00371630,3.89683031,2.30844859,0.00000000,1.16734251,0.72306078
-5.94597299,6.83902625,0.02275936,0.33205564,1.99872926,3.93156103,2.31083230,0.00000000,1.15700672,0.72368979
-5.93996998,6.87333663,0.02236735,0.33553614,1.99247081,3.96382750,2.31046807,0.00000000,1.14528867,0.72326991
-5.93396698,6.90215262,0.02199540,0.33905605,1.98488153,3.99372219,2.30745502,0.00000000,1.13231337,0.72183172
-5.92796398,6.92564784,0.02164770,0.34258705,1.97593639,4.02135294,2.30192479,0.00000000,1.11823602,0.71941153
-5.92196098,6.94405860,0.02132800,0.34610933,1.96564568,4.04683862,2.29403641,0.00000000,1.10323814,0.71604996
-5.91595798,6.95767489,0.02103962,0.34961159,1.95405469,4.07030522,2.28397094,0.00000000,1.08752262,0.71179066
-5.90995498,6.96683062,0.02078533,0.35309073,1.94124173,4.09188221,2.27192585,0.00000000,1.07130772,0.70667930
-5.90395198,6.97189299,0.02056737,0.35655120,1.92731489,4.11169904,2.25810924,0.00000000,1.05482037,0.70076280
-5.89794897,6.97325103,0.02038734,0.36000409,1.91240718,4.12988183,2.24273424,0.00000000,1.03828886,0.69408871
-5.89194597,6.97130364,0.02024619,0.36346579,1.89667059,4.14654984,2.22601351,0.00000000,1.02193535,0.68670492
-5.88594297,6.96644697,0.02014417,0.36695651,1.88026906,4.16181202,2.20815410,0.00000000,1.00596851,0.67865936
