energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-5.62181091,0.32102024,0.00852123,0.00979137,0.11712709,0.07700559,0.06396713,0.06290211,0.00719675,0.14169849
-5.61580790,0.34995232,0.00934774,0.01069966,0.12717198,0.08656148,0.07024447,0.06790250,0.00795005,0.15479439
-5.60980490,0.38589113,0.01032387,0.01184046,0.13968087,0.09802973,0.07793268,0.07415669,0.00883252,0.17112972
-5.60380190,0.42899260,0.01144811,0.01322207,0.15469391,0.11149122,0.08707007,0.08167359,0.00984320,0.19079769
-5.59779890,0.47932128,0.01271586,0.01485059,0.17221883,0.12700479,0.09767757,0.09044288,0.01097852,0.21385337
-5.59179590,0.53683781,0.01411925,0.01672948,0.19222715,0.14460234,0.10975607,0.10043309,0.01223215,0.24030758
-5.58579290,0.60138748,0.01564698,0.01885915,0.21465089,0.16428423,0.12328395,0.11159004,0.01359478,0.27012115
-5.57978989,0.67269068,0.01728424,0.02123659,0.23938004,0.18601507,0.13821500,0.12383563,0.01505405,0.30320005
-5.57378689,0.75033620,0.01901274,0.02385504,0.26626116,0.20972024,0.15447670,0.13706719,0.01659458,0.33939158
-5.56778389,0.83377816,0.02081083,0.02670380,0.29509724,0.23528344,0.17196934,0.15115758,0.01819799,0.37848230
-5.56178089,0.92233735,0.02265379,0.02976811,0.32564926,0.26254558,0.19056582,0.16595602,0.01984320,0.42019787
-5.55577789,1.01520786,0.02451418,0.03302921,0.35763946,0.29130527,0.21011250,0.18128997,0.02150668,0.46420537
-5.54977489,1.11146924,0.02636237,0.03646453,0.39075650,0.32132106,0.23043107,0.19696781,0.02316294,0.51011814
-5.54377189,1.21010458,0.02816722,0.04004812,0.42466255,0.35231575,0.25132157,0.21278266,0.02478508,0.55750344
-5.53776888,1.31002424,0.02989675,0.04375117,0.45900219,0.38398253,0.27256648,0.22851703,0.02634541,0.60589283
-5.53176588,1.41009497,0.03151905,0.04754274,0.49341285,0.41599314,0.29393590,0.24394834,0.02781622,0.65479511
-5.52576288,1.50917342,0.03300310,0.05139065,0.52753654,0.44800772,0.31519355,0.25885512,0.02917053,0.70371151
-5.51975988,1.60614292,0.03431971,0.05526249,0.56103224,0.47968613,0.33610355,0.27302362,0.03038293,0.75215247
-5.51375688,1.69995207,0.03544240,0.05912663,0.59358859,0.51070022,0.35643753,0.28625466,0.03143035,0.79965547
-5.50775388,1.78965340,0.03634826,0.06295332,0.62493612,0.54074665,0.37598187,0.29837032,0.03229282,0.84580296
-5.50175088,1.87444005,0.03701865,0.06671574,0.65485830,0.56955957,0.39454469,0.30922025,0.03295411,0.89023956
-5.49574787,1.95367872,0.03743982,0.07039090,0.68320091,0.59692259,0.41196222,0.31868718,0.03340236,0.93268754
-5.48974487,2.02693675,0.03760340,0.07396041,0.70987884,0.62267933,0.42810409,0.32669149,0.03363041,0.97295954
-5.48374187,2.09400171,0.03750665,0.07741103,0.73488011,0.64674195,0.44287741,0.33319436,0.03363612,1.01096788
-5.47773887,2.15489202,0.03715250,0.08073490,0.75826628,0.66909711,0.45622922,0.33819948,0.03342240,1.04672944
-5.47173587,2.20985750,0.03654951,0.08392954,0.78016939,0.68980885,0.46814706,0.34175306,0.03299714,1.08036579
-5.46573287,2.25936931,0.03571148,0.08699746,0.80078503,0.70901810,0.47865778,0.34394216,0.03237289,1.11209816
-5.45972986,2.30409934,0.03465696,0.08994549,0.82036198,0.72693867,0.48782431,0.34489127,0.03156646,1.14223721
-5.45372686,2.34488939,0.03340865,0.09278377,0.83918851,0.74384964,0.49574071,0.34475729,0.03059825,1.17116782
-5.44772386,2.38271149,0.03199253,0.09552458,0.85757604,0.76008446,0.50252562,0.34372313,0.02949161,1.19932955
-5.44172086,2.41862089,0.03043708,0.09818088,0.87584093,0.77601701,0.50831448,0.34199014,0.02827198,1.22719341
-5.43571786,2.45370373,0.02877228,0.10076479,0.89428515,0.79204525,0.51325086,0.33976976,0.02696605,1.25523612
-5.42971486,2.48902203,0.02702872,0.10328605,0.91317693,0.80857310,0.51747745,0.33727465,0.02560088,1.28391300
-5.42371186,2.52555844,0.02523667,0.10575059,0.93273234,0.82599127,0.52112715,0.33470986,0.02420309,1.31363086
-5.41770885,2.56416348,0.02342528,0.10815918,0.95309889,0.84465800,0.52431481,0.33226429,0.02279800,1.34472227
-5.41170585,2.60550805,0.02162178,0.11050648,0.97434201,0.86488049,0.52713003,0.33010294,0.02140899,1.37742247
-5.40570285,2.65004337,0.01985088,0.11278032,0.99643521,0.88689790,0.52963153,0.32836019,0.02005688,1.41185035
-5.39969985,2.69797050,0.01813430,0.11496143,1.01925461,0.91086671,0.53184336,0.32713455,0.01875945,1.44799426
-5.39369685,2.74922101,0.01649039,0.11702359,1.04257821,0.93684914,0.53375314,0.32648499,0.01753116,1.48570369
-5.38769385,2.80344963,0.01493394,0.11893426,1.06608997,0.96480509,0.53531256,0.32642900,0.01638294,1.52468723
-5.38169085,2.86003947,0.01347615,0.12065557,1.08938868,0.99458813,0.53643995,0.32694252,0.01532218,1.56451692
-5.37568784,2.91811938,0.01212469,0.12214573,1.11200122,1.02594565,0.53702489,0.32796171,0.01435282,1.60463897
-5.36968484,2.97659264,0.01088389,0.12336072,1.13339959,1.05852315,0.53693446,0.32938629,0.01347556,1.64439027
-5.36368184,3.03417569,0.00975502,0.12425625,1.15302082,1.09187271,0.53602088,0.33108452,0.01268821,1.68302002
-5.35767884,3.08944492,0.00873668,0.12478975,1.17028898,1.12546501,0.53413004,0.33289935,0.01198605,1.71971538
-5.35167584,3.14088927,0.00782517,0.12492243,1.18463805,1.15870467,0.53111039,0.33465556,0.01136234,1.75362999
-5.34567284,3.18696643,0.00701496,0.12462118,1.19553458,1.19094818,0.52682170,0.33616746,0.01080877,1.78391405
-5.33966983,3.22615983,0.00629913,0.12386027,1.20249916,1.22152366,0.52114328,0.33724693,0.01031596,1.80974458
-5.33366683,3.25703410,0.00566981,0.12262276,1.20512559,1.24975172,0.51398109,0.33771127,0.00987401,1.83035449
-5.32766383,3.27828663,0.00511859,0.12090152,1.20309698,1.27496664,0.50527353,0.33739070,0.00947289,1.84505934
-5.32166083,3.28879317,0.00463689,0.11869975,1.19619810,1.29653700,0.49499551,0.33613507,0.00910289,1.85328051
-5.31565783,3.28764582,0.00421629,0.11603119,1.18432355,1.31388495,0.48316072,0.33381959,0.00875502,1.85456413
-5.30965483,3.27418220,0.00384882,0.11291974,1.16748149,1.32650359,0.46982204,0.33034945,0.00842124,1.84859505
-5.30365183,3.24800490,0.00352717,0.10939873,1.14579309,1.33397171,0.45507016,0.32566301,0.00809475,1.83520543
-5.29764882,3.20899120,0.00324489,0.10550984,1.11948780,1.33596554,0.43903060,0.31973377,0.00777013,1.81437799
-5.29164582,3.15729301,0.00299651,0.10130165,1.08889504,1.33226714,0.42185932,0.31257083,0.00744344,1.78624407
-5.28564282,3.09332781,0.00277760,0.09682808,1.05443278,1.32276919,0.40373728,0.30421818,0.00711222,1.75107682
-5.27963982,3.01776158,0.00258485,0.09214658,1.01659397,1.30747639,0.38486433,0.29475274,0.00677554,1.70928024
-5.27363682,2.93148500,0.00241607,0.08731642,0.97593131,1.28650331,0.36545276,0.28428149,0.00643386,1.66137477
-5.26763382,2.83558434,0.00227021,0.08239696,0.93304145,1.26006910,0.34572086,0.27293768,0.00608895,1.60798032
-5.26163082,2.73130877,0.00214731,0.07744606,0.88854928,1.22848949,0.32588686,0.26087663,0.00574379,1.54979756
-5.25562781,2.62003557,0.00204848,0.07251874,0.84309293,1.19216630,0.30616353,0.24827104,0.00540237,1.48758845
