energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.23215871,0.03757116,0.00023219,0.00141415,0.01758036,0.04166385,0.03653765
-5.99399700,0.27236069,0.04408396,0.00027317,0.00165843,0.02063751,0.04885005,0.04284809
-5.98799400,0.31762561,0.05140774,0.00031949,0.00193420,0.02407715,0.05692966,0.04997359
-5.98199100,0.36810940,0.05956769,0.00037137,0.00224242,0.02791174,0.06592841,0.05793859
-5.97598799,0.42389303,0.06857652,0.00042895,0.00258362,0.03214794,0.07585839,0.06675646
-5.96998499,0.48496600,0.07843189,0.00049228,0.00295779,0.03678546,0.08671507,0.07642667
-5.96398199,0.55121112,0.08911401,0.00056129,0.00336428,0.04181586,0.09847473,0.08693228
-5.95797899,0.62239122,0.10058357,0.00063581,0.00380173,0.04722161,0.11109218,0.09823765
-5.95197599,0.69813856,0.11278009,0.00071553,0.00426796,0.05297525,0.12449897,0.11028663
-5.94597299,0.77794779,0.12562087,0.00079998,0.00475998,0.05903896,0.13860231,0.12300128
-5.93996998,0.86117284,0.13900048,0.00088856,0.00527389,0.06536426,0.15328459,0.13628127
-5.93396698,0.94702859,0.15279118,0.00098049,0.00580497,0.07189221,0.16840388,0.15000399
-5.92796398,1.03459752,0.16684397,0.00107487,0.00634763,0.07855394,0.18379520,0.16402545
-5.92196098,1.12284173,0.18099062,0.00117063,0.00689555,0.08527158,0.19927279,0.17818213
-5.91595798,1.21062013,0.19504645,0.00126661,0.00744172,0.09195962,0.21463330,0.19229351
-5.90995498,1.29671079,0.20881394,0.00136151,0.00797861,0.09852666,0.22965984,0.20616565
-5.90395198,1.37983782,0.22208710,0.00145398,0.00849833,0.10487753,0.24412680,0.21959531
-5.89794897,1.45870203,0.23465637,0.00154261,0.00899276,0.11091567,0.25780533,0.23237486
-5.89194597,1.53201459,0.24631402,0.00162597,0.00945385,0.11654583,0.27046928,0.24429761
-5.88594297,1.59853231,0.25685971,0.00170267,0.00987375,0.12167682,0.28190141,0.25516350
-5.87993997,1.65709338,0.26610624,0.00177136,0.01024506,0.12622438,0.29189959,0.26478484
-5.87393697,1.70665224,0.27388500,0.00183082,0.01056105,0.13011396,0.30028284,0.27299203
-5.86793397,1.74631201,0.28005104,0.00187994,0.01081587,0.13328338,0.30689690,0.27963885
-5.86193097,1.77535332,0.28448761,0.00191779,0.01100470,0.13568512,0.31161904,0.28460728
-5.85592796,1.79325818,0.28710978,0.00194365,0.01112395,0.13728840,0.31436210,0.28781148
-5.84992496,1.79972798,0.28786721,0.00195701,0.01117134,0.13808063,0.31507738,0.28920093
-5.84392196,1.79469465,0.28674576,0.00195761,0.01114599,0.13806848,0.31375631,0.28876242
-5.83791896,1.77832472,0.28376798,0.00194544,0.01104847,0.13727832,0.31043098,0.28652091
-5.83191596,1.75101582,0.27899244,0.00192073,0.01088076,0.13575604,0.30517323,0.28253924
-5.82591296,1.71338601,0.27251190,0.00188397,0.01064624,0.13356631,0.29809261,0.27691650
-5.81990995,1.66625614,0.26445044,0.00183586,0.01034958,0.13079125,0.28933318,0.26978543
-5.81390695,1.61062625,0.25495966,0.00177732,0.00999663,0.12752860,0.27906923,0.26130869
-5.80790395,1.54764671,0.24421409,0.00170945,0.00959423,0.12388934,0.26750028,0.25167427
-5.80190095,1.47858562,0.23240614,0.00163349,0.00915008,0.11999503,0.25484539,0.24109024
-5.79589795,1.40479347,0.21974055,0.00155079,0.00867255,0.11597481,0.24133722,0.22977899
-5.78989495,1.32766673,0.20642886,0.00146277,0.00817049,0.11196221,0.22721584,0.21797124
-5.78389195,1.24861159,0.19268392,0.00137089,0.00765305,0.10809194,0.21272282,0.20589998
-5.77788894,1.16900929,0.17871468,0.00127660,0.00712953,0.10449675,0.19809552,0.19379468
-5.77188594,1.09018416,0.16472149,0.00118130,0.00660927,0.10130435,0.18356202,0.18187581
-5.76588294,1.01337544,0.15089203,0.00108633,0.00610152,0.09863472,0.16933678,0.17035004
-5.75987994,0.93971372,0.13739798,0.00099291,0.00561537,0.09659773,0.15561703,0.15940607
-5.75387694,0.87020250,0.12439246,0.00090215,0.00515978,0.09529120,0.14258018,0.14921137
-5.74787394,0.80570525,0.11200831,0.00081501,0.00474353,0.09479944,0.13038210,0.13990981
-5.74187094,0.74693800,0.10035722,0.00073232,0.00437533,0.09519242,0.11915629,0.13162021
-5.73586793,0.69446738,0.08952959,0.00065473,0.00406388,0.09652540,0.10901402,0.12443582
-5.72986493,0.64871355,0.07959505,0.00058274,0.00381799,0.09883920,0.10004509,0.11842472
-5.72386193,0.60995767,0.07060357,0.00051671,0.00364672,0.10216094,0.09231932,0.11363099
-5.71785893,0.57835295,0.06258702,0.00045685,0.00355952,0.10650528,0.08588846,0.11007656
-5.71185593,0.55393865,0.05556105,0.00040325,0.00356641,0.11187609,0.08078845,0.10776364
-5.70585293,0.53665597,0.04952711,0.00035588,0.00367803,0.11826831,0.07704180,0.10667753
-5.69984992,0.52636500,0.04447455,0.00031463,0.00390580,0.12567006,0.07465993,0.10678964
-5.69384692,0.52286173,0.04038260,0.00027927,0.00426195,0.13406475,0.07364534,0.10806068
-5.68784392,0.52589430,0.03722230,0.00024957,0.00475949,0.14343305,0.07399343,0.11044362
-5.68184092,0.53517766,0.03495803,0.00022519,0.00541218,0.15375462,0.07569388,0.11388647
-5.67583792,0.55040604,0.03354884,0.00020579,0.00623435,0.16500940,0.07873151,0.11833470
-5.66983492,0.57126267,0.03294947,0.00019101,0.00724064,0.17717836,0.08308649,0.12373306
-5.66383192,0.59742644,0.03311100,0.00018047,0.00844572,0.19024366,0.08873403,0.13002692
-5.65782891,0.62857534,0.03398119,0.00017380,0.00986384,0.20418802,0.09564346,0.13716288
-5.65182591,0.66438671,0.03550464,0.00017062,0.01150833,0.21899348,0.10377677,0.14508875
-5.64582291,0.70453456,0.03762265,0.00017057,0.01339112,0.23463936,0.11308686,0.15375297
-5.63981991,0.74868442,0.04027308,0.00017329,0.01552204,0.25109969,0.12351536,0.16310335
-5.63381691,0.79648619,0.04339006,0.00017845,0.01790830,0.26834011,0.13499051,0.17308543
-5.62781391,0.84756591,0.04690378,0.00018571,0.02055383,0.28631452,0.14742501,0.18364051
-5.62181091,0.90151705,0.05074044,0.00019475,0.02345879,0.30496158,0.16071416,0.19470354
-5.61580790,0.95789239,0.05482236,0.00020527,0.02661906,0.32420148,0.17473455,0.20620095
-5.60980490,1.01619725,0.05906828,0.00021696,0.03002602,0.34393308,0.18934323,0.21804880
-5.60380190,1.07588489,0.06339404,0.00022952,0.03366634,0.36403172,0.20437783,0.23015128
-5.59779890,1.13635481,0.06771349,0.00024265,0.03752211,0.38434805,0.21965748,0.24239974
-5.59179590,1.19695455,0.07193970,0.00025608,0.04157117,0.40470791,0.23498475,0.25467251
-5.58579290,1.25698514,0.07598647,0.00026951,0.04578768,0.42491349,0.25014859,0.26683542
-5.57978989,1.31571054,0.07976999,0.00028267,0.05014305,0.44474590,0.26492823,0.27874326
-5.57378689,1.37237078,0.08321073,0.00029530,0.05460706,0.46396901,0.27909789,0.29024208
-5.56778389,1.42619835,0.08623528,0.00030713,0.05914922,0.48233455,0.29243232,0.30117225
-5.56178089,1.47643746,0.08877829,0.00031795,0.06374041,0.49958835,0.30471270,0.31137229
-5.55577789,1.52236496,0.09078419,0.00032753,0.06835454,0.51547739,0.31573290,0.32068317
-5.54977489,1.56331223,0.09220871,0.00033567,0.07297038,0.52975739,0.32530569,0.32895301
-5.54377189,1.59868682,0.09302017,0.00034223,0.07757328,0.54220056,0.33326866,0.33604186
-5.53776888,1.62799266,0.09320028,0.00034706,0.08215678,0.55260329,0.33948955,0.34182638
-5.53176588,1.65084782,0.09274461,0.00035007,0.08672393,0.56079313,0.34387068,0.34620418
-5.52576288,1.66699874,0.09166260,0.00035120,0.09128836,0.56663499,0.34635243,0.34909746
-5.51975988,1.67633021,0.08997703,0.00035044,0.09587479,0.57003604,0.34691526,0.35045604
-5.51375688,1.67887031,0.08772314,0.00034779,0.10051908,0.57094918,0.34558050,0.35025923
-5.50775388,1.67479007,0.08494733,0.00034331,0.10526766,0.56937481,0.34240958,0.34851682
