energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.88486602,0.46806111,0.96532335,0.10366777,0.06130972,0.34733462,0.00000000
-5.99399700,1.81612990,0.46575623,0.91728749,0.09659727,0.06364994,0.33802621,0.00000000
-5.98799400,1.75479801,0.46474140,0.87344483,0.08982344,0.06604185,0.33008230,0.00000000
-5.98199100,1.70107533,0.46491276,0.83403792,0.08342307,0.06843733,0.32349624,0.00000000
-5.97598799,1.65488080,0.46610481,0.79915624,0.07745663,0.07078286,0.31820875,0.00000000
-5.96998499,1.61586745,0.46809804,0.76874423,0.07196800,0.07302106,0.31411252,0.00000000
-5.96398199,1.58345131,0.47062862,0.74261379,0.06698469,0.07509264,0.31105846,0.00000000
-5.95797899,1.55684738,0.47339972,0.72046051,0.06251866,0.07693835,0.30886322,0.00000000
-5.95197599,1.53511103,0.47609401,0.70188260,0.05856750,0.07850111,0.30731778,0.00000000
-5.94597299,1.51718283,0.47838672,0.68640190,0.05511599,0.07972811,0.30619647,0.00000000
-5.93996998,1.50193479,0.47995862,0.67348582,0.05213795,0.08057279,0.30526634,0.00000000
-5.93396698,1.48821627,0.48050851,0.66256954,0.04959820,0.08099659,0.30429620,0.00000000
-5.92796398,1.47489781,0.47976457,0.65307752,0.04745470,0.08097044,0.30306526,0.00000000
-5.92196098,1.46091125,0.47749424,0.64444374,0.04566065,0.08047591,0.30137086,0.00000000
-5.91595798,1.44528506,0.47351224,0.63612996,0.04416652,0.07950594,0.29903516,0.00000000
-5.90995498,1.42717397,0.46768653,0.62764174,0.04292208,0.07806510,0.29591063,0.00000000
-5.90395198,1.40588204,0.45994206,0.61854157,0.04187815,0.07616950,0.29188415,0.00000000
-5.89794897,1.38087922,0.45026230,0.60845932,0.04098829,0.07384622,0.28687968,0.00000000
-5.89194597,1.35181116,0.43868865,0.59709954,0.04021020,0.07113236,0.28085960,0.00000000
-5.88594297,1.31850266,0.42531791,0.58424605,0.03950696,0.06807386,0.27382472,0.00000000
-5.87993997,1.28095525,0.41029812,0.56976357,0.03884800,0.06472396,0.26581311,0.00000000
-5.87393697,1.23933962,0.39382301,0.55359703,0.03820983,0.06114160,0.25689788,0.00000000
-5.86793397,1.19398371,0.37612552,0.53576847,0.03757658,0.05738969,0.24718415,0.00000000
-5.86193097,1.14535747,0.35747064,0.51637221,0.03694026,0.05353346,0.23680538,0.00000000
-5.85592796,1.09405509,0.33814814,0.49556844,0.03630084,0.04963883,0.22591928,0.00000000
-5.84992496,1.04077590,0.31846531,0.47357568,0.03566602,0.04577106,0.21470346,0.00000000
-5.84392196,0.98630451,0.29874019,0.45066259,0.03505092,0.04199355,0.20335110,0.00000000
-5.83791896,0.93149133,0.27929548,0.42713932,0.03447747,0.03836701,0.19206671,0.00000000
-5.83191596,0.87723388,0.26045333,0.40334891,0.03397360,0.03494886,0.18106213,0.00000000
-5.82591296,0.82445967,0.24253112,0.37965888,0.03357239,0.03179305,0.17055295,0.00000000
-5.81990995,0.77411077,0.22583829,0.35645340,0.03331086,0.02895008,0.16075532,0.00000000
-5.81390695,0.72713065,0.21067424,0.33412610,0.03322882,0.02646737,0.15188317,0.00000000
-5.80790395,0.68445304,0.19732712,0.31307371,0.03336752,0.02438989,0.14414603,0.00000000
-5.80190095,0.64699290,0.18607351,0.29369059,0.03376820,0.02276089,0.13774707,0.00000000
-5.79589795,0.61563929,0.17717869,0.27636409,0.03447062,0.02162282,0.13288171,0.00000000
-5.78989495,0.59124971,0.17089728,0.26147081,0.03551163,0.02101818,0.12973633,0.00000000
-5.78389195,0.57464554,0.16747411,0.24937340,0.03692368,0.02099048,0.12848725,0.00000000
-5.77788894,0.56660797,0.16714489,0.24041798,0.03873345,0.02158489,0.12929979,0.00000000
-5.77188594,0.56787398,0.17013652,0.23493179,0.04096059,0.02284874,0.13232723,0.00000000
-5.76588294,0.57913159,0.17666682,0.23322089,0.04361661,0.02483180,0.13770967,0.00000000
-5.75987994,0.60101410,0.18694325,0.23556774,0.04670399,0.02758607,0.14557256,0.00000000
-5.75387694,0.63409245,0.20116071,0.24222822,0.05021548,0.03116520,0.15602498,0.00000000
-5.74787394,0.67886563,0.21949798,0.25342817,0.05413375,0.03562353,0.16915747,0.00000000
-5.74187094,0.73574870,0.24211300,0.26935893,0.05843126,0.04101450,0.18503942,0.00000000
-5.73586793,0.80505826,0.26913671,0.29017218,0.06307047,0.04738873,0.20371602,0.00000000
-5.72986493,0.88699561,0.30066579,0.31597368,0.06800443,0.05479158,0.22520484,0.00000000
-5.72386193,0.98162780,0.33675420,0.34681626,0.07317756,0.06326034,0.24949205,0.00000000
-5.71785893,1.08886716,0.37740406,0.38269209,0.07852682,0.07282116,0.27652841,0.00000000
-5.71185593,1.20845003,0.42255590,0.42352453,0.08398311,0.08348572,0.30622528,0.00000000
-5.70585293,1.33991575,0.47207908,0.46916001,0.08947282,0.09524795,0.33845067,0.00000000
-5.69984992,1.48258704,0.52576252,0.51936029,0.09491963,0.10808078,0.37302573,0.00000000
-5.69384692,1.63555315,0.58330659,0.57379572,0.10024629,0.12193325,0.40972185,0.00000000
