energy_ev,total_up,Al_p_up,Al_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,6.86239710,1.40771707,0.00000000,3.51824150,5.53825425,0.65185921,0.00000000
-5.99399700,6.93885891,1.41707947,0.00000000,3.51847543,5.61037880,0.66161688,0.00000000
-5.98799400,7.00868038,1.42488614,0.00000000,3.51412974,5.67718047,0.67127402,0.00000000
-5.98199100,7.07192690,1.43131199,0.00000000,3.50567409,5.73867074,0.68080459,0.00000000
-5.97598799,7.12868264,1.43652458,0.00000000,3.49365807,5.79485943,0.69019365,0.00000000
-5.96998499,7.17901636,1.44067452,0.00000000,3.47868050,5.84572895,0.69943198,0.00000000
-5.96398199,7.22295529,1.44388769,0.00000000,3.46135998,5.89121565,0.70851137,0.00000000
-5.95797899,7.26046906,1.44625982,0.00000000,3.44230794,5.93119973,0.71742069,0.00000000
-5.95197599,7.29146434,1.44785349,0.00000000,3.42210548,5.96550422,0.72614297,0.00000000
-5.94597299,7.31579039,1.44869792,0.00000000,3.40128473,5.99390312,0.73465376,0.00000000
-5.93996998,7.33325463,1.44879114,0.00000000,3.38031513,6.01613774,0.74292066,0.00000000
-5.93396698,7.34364673,1.44810451,0.00000000,3.35959487,6.03193993,0.75090401,0.00000000
-5.92796398,7.34676865,1.44658906,0.00000000,3.33944727,6.04106015,0.75855864,0.00000000
-5.92196098,7.34246827,1.44418304,0.00000000,3.32012153,6.04329793,0.76583642,0.00000000
-5.91595798,7.33067327,1.44082019,0.00000000,3.30179735,6.03853228,0.77268937,0.00000000
-5.90995498,7.31142247,1.43643808,0.00000000,3.28459252,6.02674935,0.77907302,0.00000000
-5.90395198,7.28489169,1.43098578,0.00000000,3.26857265,6.00806508,0.78494970,0.00000000
-5.89794897,7.25141186,1.42443045,0.00000000,3.25376217,5.98274062,0.79029157,0.00000000
-5.89194597,7.21147752,1.41676234,0.00000000,3.24015583,5.95118930,0.79508290,0.00000000
-5.88594297,7.16574469,1.40799793,0.00000000,3.22773003,5.91397405,0.79932170,0.00000000
-5.87993997,7.11501799,1.39818105,0.00000000,3.21645346,5.87179520,0.80302031,0.00000000
-5.87393697,7.06022739,1.38738201,0.00000000,3.20629661,5.82546934,0.80620506,0.00000000
-5.86793397,7.00239623,1.37569490,0.00000000,3.19724016,5.77590018,0.80891490,0.00000000
-5.86193097,6.94260222,1.36323336,0.00000000,3.18928196,5.72404341,0.81119918,0.00000000
-5.85592796,6.88193430,1.35012534,0.00000000,3.18244290,5.67086770,0.81311478,0.00000000
-5.84992496,6.82144789,1.33650715,0.00000000,3.17677163,5.61731442,0.81472268,0.00000000
-5.84392196,6.76212169,1.32251746,0.00000000,3.17234849,5.56425842,0.81608435,0.00000000
-5.83791896,6.70481877,1.30829174,0.00000000,3.16928863,5.51247279,0.81725819,0.00000000
-5.83191596,6.65025444,1.29395747,0.00000000,3.16774466,5.46259935,0.81829623,0.00000000
-5.82591296,6.59897302,1.27963055,0.00000000,3.16790857,5.41512702,0.81924147,0.00000000
-5.81990995,6.55133468,1.26541315,0.00000000,3.17001311,5.37037920,0.82012584,0.00000000
-5.81390695,6.50751310,1.25139302,0.00000000,3.17433224,5.32851066,0.82096909,0.00000000
-5.80790395,6.46750392,1.23764420,0.00000000,3.18118040,5.28951416,0.82177858,0.00000000
-5.80190095,6.43114292,1.22422912,0.00000000,3.19091027,5.25323595,0.82254997,0.00000000
-5.79589795,6.39813264,1.21120153,0.00000000,3.20390853,5.21939904,0.82326872,0.00000000
-5.78989495,6.36807538,1.19861015,0.00000000,3.22058933,5.18763250,0.82391227,0.00000000
-5.78389195,6.34051022,1.18650246,0.00000000,3.24138508,5.15750487,0.82445275,0.00000000
-5.77788894,6.31495170,1.17492833,0.00000000,3.26673452,5.12855953,0.82485996,0.00000000
-5.77188594,6.29092753,1.16394301,0.00000000,3.29706802,5.10034976,0.82510433,0.00000000
-5.76588294,6.26801327,1.15360928,0.00000000,3.33279042,5.07247165,0.82515986,0.00000000
-5.75987994,6.24586198,1.14399841,0.00000000,3.37426198,5.04459300,0.82500667,0.00000000
-5.75387694,6.22422754,1.13519002,0.00000000,3.42177823,5.01647696,0.82463304,0.00000000
-5.74787394,6.20298071,1.12727065,0.00000000,3.47554969,4.98799936,0.82403696,0.00000000
-5.74187094,6.18211775,1.12033134,0.00000000,3.53568265,4.95915947,0.82322702,0.00000000
-5.73586793,6.16176169,1.11446438,0.00000000,3.60216246,4.93008403,0.82222280,0.00000000
-5.72986493,6.14215718,1.10975952,0.00000000,3.67484036,4.90102508,0.82105463,0.00000000
-5.72386193,6.12365984,1.10630012,0.00000000,3.75342527,4.87235227,0.81976304,0.00000000
-5.71785893,6.10672137,1.10415944,0.00000000,3.83748149,4.84454056,0.81839779,0.00000000
-5.71185593,6.09187201,1.10339745,0.00000000,3.92643299,4.81815450,0.81701680,0.00000000
-5.70585293,6.07970136,1.10405861,0.00000000,4.01957452,4.79383011,0.81568487,0.00000000
-5.69984992,6.07083907,1.10617051,0.00000000,4.11608974,4.77225531,0.81447254,0.00000000
-5.69384692,6.06593600,1.10974371,0.00000000,4.21507537,4.75414992,0.81345480,0.00000000
-5.68784392,6.06564669,1.11477272,0.00000000,4.31557077,4.74024577,0.81271000,0.00000000
-5.68184092,6.07061325,1.12123787,0.00000000,4.41659114,4.73126742,0.81231862,0.00000000
-5.67583792,6.08145080,1.12910803,0.00000000,4.51716290,4.72791371,0.81236212,0.00000000
-5.66983492,6.09873402,1.13834378,0.00000000,4.61635901,4.73084028,0.81292154,0.00000000
-5.66383192,6.12298460,1.14890080,0.00000000,4.71333231,4.74064295,0.81407590,0.00000000
