energy_ev,total_up,Ag_p_up,Ag_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,2.31173029,0.20447006,1.95077934,0.01401235,0.09572653,0.14172063,0.00529853
-5.99399700,2.29229754,0.19351345,1.94222280,0.01404616,0.09325448,0.13585814,0.00499977
-5.98799400,2.28582677,0.18399875,1.94464643,0.01415752,0.09112642,0.13089811,0.00474027
-5.98199100,2.29254540,0.17598252,1.95823462,0.01434798,0.08935237,0.12687534,0.00452080
-5.97598799,2.31248561,0.16950275,1.98300380,0.01461885,0.08793855,0.12381051,0.00434147
-5.96998499,2.34549449,0.16458028,2.01881032,0.01497128,0.08688774,0.12171059,0.00420184
-5.96398199,2.39124721,0.16122040,2.06536111,0.01540636,0.08619976,0.12056966,0.00410094
-5.95797899,2.44926239,0.15941471,2.12222622,0.01592507,0.08587186,0.12036990,0.00403735
-5.95197599,2.51891870,0.15914300,2.18885251,0.01652834,0.08589921,0.12108279,0.00400923
-5.94597299,2.59947182,0.16037500,2.26457788,0.01721697,0.08627524,0.12267033,0.00401441
-5.93996998,2.69007123,0.16307209,2.34864551,0.01799156,0.08699193,0.12508635,0.00405042
-5.93396698,2.78977620,0.16718865,2.44021774,0.01885236,0.08803998,0.12827782,0.00411457
-5.92796398,2.89757079,0.17267318,2.53838926,0.01979909,0.08940886,0.13218606,0.00420393
-5.92196098,3.01237777,0.17946914,2.64219974,0.02083078,0.09108674,0.13674786,0.00431545
-5.91595798,3.13307144,0.18751535,2.75064586,0.02194551,0.09306034,0.14189653,0.00444596
-5.90995498,3.25848977,0.19674618,2.86269288,0.02314015,0.09531467,0.14756278,0.00459218
-5.90395198,3.38744603,0.20709134,2.97728624,0.02441017,0.09783267,0.15367547,0.00475082
-5.89794897,3.51874037,0.21847554,3.09336320,0.02574936,0.10059496,0.16016229,0.00491856
-5.89194597,3.65117177,0.23081783,3.20986504,0.02714964,0.10357944,0.16695030,0.00509213
-5.88594297,3.78355072,0.24403092,3.32574997,0.02860096,0.10676108,0.17396638,0.00526834
-5.87993997,3.91471281,0.25802041,3.44000688,0.03009116,0.11011174,0.18113768,0.00544411
-5.87393697,4.04353347,0.27268409,3.55166996,0.03160598,0.11360011,0.18839194,0.00561656
-5.86793397,4.16894377,0.28791129,3.65983414,0.03312918,0.11719185,0.19565788,0.00578303
-5.86193097,4.28994719,0.30358249,3.76367106,0.03464272,0.12084988,0.20286559,0.00594113
-5.85592796,4.40563691,0.31956920,3.86244510,0.03612705,0.12453485,0.20994692,0.00608881
-5.84992496,4.51521319,0.33573413,3.95552911,0.03756151,0.12820577,0.21683595,0.00622442
-5.84392196,4.61800035,0.35193180,4.04241915,0.03892488,0.13182086,0.22346948,0.00634670
-5.83791896,4.71346237,0.36800960,4.12274760,0.04019592,0.13533851,0.22978762,0.00645488
-5.83191596,4.80121675,0.38380926,4.19629393,0.04135407,0.13871835,0.23573441,0.00654868
-5.82591296,4.88104551,0.39916888,4.26299253,0.04238013,0.14192243,0.24125845,0.00662830
-5.81990995,4.95290296,0.41392532,4.32293700,0.04325699,0.14491637,0.24631363,0.00669448
-5.81390695,5.01691937,0.42791707,4.37638041,0.04397034,0.14767051,0.25085981,0.00674843
-5.80790395,5.07340027,0.44098749,4.42373110,0.04450930,0.15016102,0.25486347,0.00679182
-5.80190095,5.12282082,0.45298820,4.46554405,0.04486704,0.15237079,0.25829835,0.00682677
-5.79589795,5.16581527,0.46378273,4.50250752,0.04504120,0.15429022,0.26114600,0.00685576
-5.78989495,5.20316151,0.47325009,4.53542544,0.04503423,0.15591775,0.26339615,0.00688157
-5.78389195,5.23576087,0.48128822,4.56519568,0.04485355,0.15726010,0.26504703,0.00690718
-5.77788894,5.26461362,0.48781713,4.59278486,0.04451153,0.15833227,0.26610546,0.00693573
