energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,3.76556214,0.62471366,1.87410762,0.00770122,0.23461104,0.96234038,1.16580276,0.34450333,0.00000000
-5.99399700,3.67267467,0.61418782,1.83752559,0.00738501,0.23233163,0.94844630,1.12134725,0.33379950,0.00000000
-5.98799400,3.58051906,0.60355246,1.79999585,0.00705311,0.23096128,0.93988820,1.07737116,0.32332804,0.00000000
-5.98199100,3.49042056,0.59298277,1.76191612,0.00671082,0.23058609,0.93703287,1.03450619,0.31328537,0.00000000
-5.97598799,3.40358135,0.58265639,1.72367092,0.00636309,0.23126978,0.94013927,0.99330412,0.30385880,0.00000000
-5.96998499,3.32104415,0.57274674,1.68561772,0.00601442,0.23305057,0.94934633,0.95422529,0.29522029,0.00000000
-5.96398199,3.24366166,0.56341631,1.64807456,0.00566878,0.23593842,0.96466274,0.91763061,0.28752061,0.00000000
-5.95797899,3.17207291,0.55481046,1.61130956,0.00532952,0.23991306,0.98595940,0.88377739,0.28088416,0.00000000
-5.95197599,3.10668759,0.54705187,1.57553288,0.00499939,0.24492272,1.01296487,0.85281878,0.27540474,0.00000000
-5.94597299,3.04767886,0.54023593,1.54089119,0.00468050,0.25088393,1.04526470,0.82480694,0.27114227,0.00000000
-5.93996998,2.99498480,0.53442740,1.50746511,0.00437438,0.25768229,1.08230468,0.79969950,0.26812083,0.00000000
-5.93396698,2.94831856,0.52965819,1.47526933,0.00408201,0.26517441,1.12339852,0.77736899,0.26632796,0.00000000
-5.92796398,2.90718667,0.52592675,1.44425558,0.00380391,0.27319094,1.16773998,0.75761494,0.26571534,0.00000000
-5.92196098,2.87091477,0.52319868,1.41431813,0.00354020,0.28154080,1.21441934,0.74017784,0.26620066,0.00000000
-5.91595798,2.83867981,0.52140885,1.38530154,0.00329070,0.29001629,1.26244402,0.72475473,0.26767091,0.00000000
-5.90995498,2.80954748,0.52046469,1.35701037,0.00305501,0.29839914,1.31076269,0.71101559,0.26998664,0.00000000
-5.90395198,2.78251338,0.52025060,1.32922040,0.00283259,0.30646718,1.35829246,0.69862012,0.27298719,0.00000000
-5.89794897,2.75654651,0.52063325,1.30169093,0.00262285,0.31400139,1.40394802,0.68723418,0.27649669,0.00000000
-5.89194597,2.73063342,0.52146747,1.27417761,0.00242519,0.32079317,1.44667202,0.67654555,0.28033052,0.00000000
-5.88594297,2.70382139,0.52260255,1.24644542,0.00223909,0.32665130,1.48546542,0.66627837,0.28430197,0.00000000
-5.87993997,2.67525914,0.52388858,1.21828127,0.00206411,0.33140857,1.51941674,0.65620587,0.28822898,0.00000000
-5.87393697,2.64423350,0.52518250,1.18950575,0.00189994,0.33492758,1.54772923,0.64616106,0.29194051,0.00000000
-5.86793397,2.61020088,0.52635382,1.15998356,0.00174638,0.33710550,1.56974462,0.63604511,0.29528248,0.00000000
-5.86193097,2.57281228,0.52728945,1.12963246,0.00160342,0.33787770,1.58496276,0.62583305,0.29812292,0.00000000
-5.85592796,2.53193106,0.52789766,1.09843012,0.00147114,0.33721986,1.59305619,0.61557684,0.30035624,0.00000000
