energy_ev,total_up,Bi_p_up,Bi_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,3.01986211,0.36536932,0.00308045,1.91146449,1.12070584,0.02286423,1.95889450
-5.99399700,3.05169951,0.35698330,0.00312331,1.93042178,1.14670166,0.02296557,1.99446387
-5.98799400,3.07553860,0.34822567,0.00315926,1.94310379,1.17031559,0.02298868,2.02408780
-5.98199100,3.09146816,0.33929926,0.00318861,1.94954041,1.19139130,0.02293506,2.04757087
-5.97598799,3.09965803,0.33039830,0.00321173,1.94984518,1.20979058,0.02280727,2.06479210
-5.96998499,3.10034665,0.32170244,0.00322908,1.94420811,1.22539333,0.02260884,2.07570325
-5.96398199,3.09382741,0.31337134,0.00324113,1.93288677,1.23809742,0.02234413,2.08032574
-5.95797899,3.08043455,0.30553981,0.00324835,1.91619623,1.24781865,0.02201816,2.07874629
-5.95197599,3.06052938,0.29831393,0.00325121,1.89449819,1.25449073,0.02163646,2.07111172
-5.94597299,3.03448747,0.29176810,0.00325008,1.86819002,1.25806550,0.02120486,2.05762315
-5.93996998,3.00268743,0.28594334,0.00324530,1.83769396,1.25851353,0.02072936,2.03852996
-5.93396698,2.96550209,0.28084681,0.00323708,1.80344718,1.25582488,0.02021589,2.01412376
-5.92796398,2.92329224,0.27645258,0.00322556,1.76589293,1.25001042,0.01967020,1.98473277
-5.92196098,2.87640340,0.27270377,0.00321076,1.72547316,1.24110338,0.01909776,1.95071674
-5.91595798,2.82516560,0.26951576,0.00319261,1.68262277,1.22916127,0.01850357,1.91246251
-5.90995498,2.76989599,0.26678051,0.00317094,1.63776555,1.21426795,0.01789220,1.87038048
-5.90395198,2.71090411,0.26437180,0.00314552,1.59131170,1.19653578,0.01726769,1.82490161
-5.89794897,2.64849894,0.26215100,0.00311609,1.54365675,1.17610758,0.01663358,1.77647509
-5.89194597,2.58299739,0.25997335,0.00308236,1.49518166,1.15315815,0.01599291,1.72556638
-5.88594297,2.51473307,0.25769432,0.00304406,1.44625352,1.12789523,0.01534835,1.67265526
-5.87993997,2.44406470,0.25517575,0.00300097,1.39722670,1.10055953,0.01470223,1.61823370
-5.87393697,2.37138320,0.25229166,0.00295297,1.34844378,1.07142364,0.01405662,1.56280319
-5.86793397,2.29711661,0.24893331,0.00290003,1.30023605,1.04078970,0.01341349,1.50687123
-5.86193097,2.22173231,0.24501345,0.00284223,1.25292317,1.00898566,0.01277475,1.45094682
-5.85592796,2.14573603,0.24046939,0.00277984,1.20681179,0.97636014,0.01214241,1.39553484
-5.84992496,2.06966737,0.23526511,0.00271325,1.16219303,0.94327595,0.01151856,1.34112922
-5.84392196,1.99409200,0.22939199,0.00264301,1.11933890,0.91010238,0.01090551,1.28820513
-5.83791896,1.91959070,0.22286850,0.00256982,1.07849775,0.87720663,0.01030579,1.23721033
-5.83191596,1.84674587,0.21573869,0.00249451,1.03988912,0.84494456,0.00972214,1.18855611
-5.82591296,1.77612619,0.20806970,0.00241800,1.00369830,0.81365128,0.00915754,1.14260817
-5.81990995,1.70827039,0.19994857,0.00234132,0.97007116,0.78363195,0.00861513,1.09967800
-5.81390695,1.64367104,0.19147822,0.00226551,0.93910962,0.75515332,0.00809819,1.06001521
-5.80790395,1.58275939,0.18277323,0.00219166,0.91086835,0.72843629,0.00761006,1.02380138
-5.80190095,1.52589230,0.17395533,0.00212083,0.88535306,0.70365008,0.00715406,0.99114588
-5.79589795,1.47334184,0.16514895,0.00205404,0.86252071,0.68090814,0.00673342,0.96208384
-5.78989495,1.42528853,0.15647698,0.00199221,0.84228188,0.66026620,0.00635124,0.93657686
-5.78389195,1.38181842,0.14805699,0.00193617,0.82450541,0.64172240,0.00601036,0.91451613
-5.77788894,1.34292419,0.13999787,0.00188665,0.80902517,0.62521966,0.00571337,0.89572830
-5.77188594,1.30851041,0.13239724,0.00184421,0.79564870,0.61065008,0.00546254,0.87998359
-5.76588294,1.27840236,0.12533939,0.00180929,0.78416747,0.59786113,0.00525981,0.86700603
-5.75987994,1.25235809,0.11889401,0.00178216,0.77436812,0.58666346,0.00510677,0.85648520
-5.75387694,1.23008290,0.11311551,0.00176296,0.76604426,0.57683977,0.00500467,0.84808906
-5.74787394,1.21124547,0.10804307,0.00175168,0.75900798,0.56815440,0.00495446,0.84147719
-5.74187094,1.19549474,0.10370110,0.00174820,0.75310066,0.56036321,0.00495680,0.83631381
-5.73586793,1.18247653,0.10010024,0.00175224,0.74820230,0.55322319,0.00501209,0.83228011
-5.72986493,1.17184923,0.09723865,0.00176344,0.74423887,0.54650158,0.00512050,0.82908513
-5.72386193,1.16329763,0.09510362,0.00178137,0.74118721,0.53998389,0.00528202,0.82647494
