energy_ev,total_up,total_down,In_p_up,In_p_down,In_d_up,In_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.15649944,-3.15649854,0.17285036,-0.17285038,0.00533932,-0.00533932,1.68219224,-1.68219174,1.06927310,-1.06927271,0.02303076,-0.02303076,1.65949776,-1.65949720
-5.99399700,3.07546400,-3.07546303,0.17465169,-0.17465170,0.00523996,-0.00523996,1.64033399,-1.64033345,1.03237171,-1.03237129,0.02297527,-0.02297526,1.60807852,-1.60807793
-5.98799400,2.98646637,-2.98646533,0.17589768,-0.17589768,0.00512505,-0.00512505,1.59430585,-1.59430529,0.99315687,-0.99315643,0.02277873,-0.02277873,1.55262687,-1.55262624
-5.98199100,2.89016186,-2.89016076,0.17653218,-0.17653218,0.00499583,-0.00499583,1.54447186,-1.54447126,0.95191823,-0.95191777,0.02244257,-0.02244256,1.49363976,-1.49363910
-5.97598799,2.78730567,-2.78730451,0.17650759,-0.17650758,0.00485369,-0.00485369,1.49123201,-1.49123139,0.90898280,-0.90898232,0.02197126,-0.02197125,1.43166151,-1.43166082
-5.96998499,2.67873815,-2.67873695,0.17578624,-0.17578623,0.00470011,-0.00470011,1.43501586,-1.43501523,0.86470824,-0.86470775,0.02137220,-0.02137219,1.36727160,-1.36727089
-5.96398199,2.56537027,-2.56536904,0.17434165,-0.17434163,0.00453667,-0.00453667,1.37627666,-1.37627602,0.81947574,-0.81947525,0.02065539,-0.02065538,1.30107299,-1.30107227
-5.95797899,2.44816974,-2.44816848,0.17215960,-0.17215958,0.00436503,-0.00436503,1.31548639,-1.31548574,0.77368294,-0.77368244,0.01983311,-0.01983310,1.23368137,-1.23368065
-5.95197599,2.32814825,-2.32814698,0.16923902,-0.16923899,0.00418691,-0.00418691,1.25313159,-1.25313094,0.72773710,-0.72773660,0.01891945,-0.01891944,1.16571576,-1.16571504
-5.94597299,2.20635017,-2.20634890,0.16559255,-0.16559251,0.00400410,-0.00400410,1.18971009,-1.18970944,0.68204897,-0.68204848,0.01792990,-0.01792989,1.09779075,-1.09779004
-5.93996998,2.08384264,-2.08384138,0.16124674,-0.16124670,0.00381846,-0.00381846,1.12572844,-1.12572781,0.63702737,-0.63702689,0.01688080,-0.01688079,1.03051045,-1.03050976
-5.93396698,1.96170730,-1.96170606,0.15624191,-0.15624186,0.00363193,-0.00363192,1.06169990,-1.06169928,0.59307480,-0.59307434,0.01578889,-0.01578887,0.96446429,-0.96446361
-5.92796398,1.84103325,-1.84103205,0.15063154,-0.15063149,0.00344651,-0.00344651,0.99814275,-0.99814215,0.55058412,-0.55058368,0.01467081,-0.01467080,0.90022433,-0.90022368
-5.92196098,1.72291120,-1.72291005,0.14448135,-0.14448130,0.00326432,-0.00326432,0.93557877,-0.93557819,0.50993625,-0.50993583,0.01354269,-0.01354268,0.83834412,-0.83834350
-5.91595798,1.60842842,-1.60842732,0.13786792,-0.13786786,0.00308752,-0.00308752,0.87453156,-0.87453100,0.47149889,-0.47149850,0.01241973,-0.01241972,0.77935867,-0.77935809
