energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,3.58298327,0.08093686,0.23197532,0.53635249,0.64815605,0.65546769,0.52153126,1.68094896,0.00000000
-5.99399700,3.69244415,0.08475814,0.23342238,0.55805085,0.67429177,0.69791671,0.52771448,1.74795517,0.00000000
-5.98799400,3.79579739,0.08825205,0.23515158,0.57946379,0.69811426,0.74386894,0.53272263,1.81148849,0.00000000
-5.98199100,3.89139836,0.09134681,0.23719710,0.60035029,0.71915736,0.79314734,0.53641295,1.87050893,0.00000000
-5.97598799,3.97781458,0.09397890,0.23959637,0.62049046,0.73701171,0.84554596,0.53867626,1.92408719,0.00000000
-5.96998499,4.05383860,0.09609477,0.24238553,0.63968613,0.75133451,0.90082043,0.53943662,1.97141984,0.00000000
-5.96398199,4.11849426,0.09765221,0.24559491,0.65776059,0.76185718,0.95867859,0.53865013,2.01184061,0.00000000
-5.95797899,4.17103626,0.09862141,0.24924477,0.67455754,0.76839083,1.01877195,0.53630308,2.04482732,0.00000000
-5.95197599,4.21094340,0.09898551,0.25334157,0.68993944,0.77082914,1.08068841,0.53240942,2.07000439,0.00000000
-5.94597299,4.23790582,0.09874084,0.25787481,0.70378532,0.76914866,1.14394705,0.52700779,2.08714086,0.00000000
-5.93996998,4.25180710,0.09789656,0.26281471,0.71598830,0.76340646,1.20799533,0.52015808,2.09614423,0.00000000
-5.93396698,4.25270246,0.09647407,0.26811082,0.72645306,0.75373535,1.27220924,0.51193779,2.09705062,0.00000000
-5.92796398,4.24079398,0.09450583,0.27369152,0.73509343,0.74033687,1.33589685,0.50243817,2.09001180,0.00000000
-5.92196098,4.21640467,0.09203406,0.27946455,0.74183036,0.72347246,1.39830524,0.49176050,2.07528006,0.00000000
-5.91595798,4.17995249,0.08910900,0.28531861,0.74659044,0.70345321,1.45863107,0.48001241,2.05319160,0.00000000
-5.90995498,4.13192595,0.08578715,0.29112575,0.74930521,0.68062879,1.51603453,0.46730454,2.02414952,0.00000000
-5.90395198,4.07286241,0.08212930,0.29674464,0.74991119,0.65537594,1.56965635,0.45374769,1.98860729,0.00000000
-5.89794897,4.00333013,0.07819868,0.30202457,0.74835088,0.62808709,1.61863739,0.43945034,1.94705327,0.00000000
