energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.79261144,0.33150774,0.00303359,0.07609346,2.21066273,2.03904199,0.94637934
-5.99399700,3.69488539,0.32564744,0.00294934,0.07515952,2.15230047,2.01631982,0.91911449
-5.98799400,3.60101526,0.32024702,0.00287104,0.07428423,2.09590501,1.99454124,0.89329997
-5.98199100,3.51102758,0.31525793,0.00279895,0.07344925,2.04154562,1.97364446,0.86893453
-5.97598799,3.42488952,0.31062149,0.00273320,0.07263343,1.98926616,1.95356883,0.84598304
-5.96998499,3.34252330,0.30627329,0.00267384,0.07181392,1.93909009,1.93425636,0.82438359
-5.96398199,3.26382456,0.30214774,0.00262083,0.07096744,1.89102782,1.91565486,0.80405610
-5.95797899,3.18868352,0.29818272,0.00257406,0.07007157,1.84508575,1.89772244,0.78491197
-5.95197599,3.11700797,0.29432409,0.00253342,0.06910597,1.80127663,1.88043314,0.76686424
-5.94597299,3.04874669,0.29052984,0.00249877,0.06805361,1.75963047,1.86378350,0.74983794
-5.93996998,2.98391223,0.28677369,0.00246999,0.06690176,1.72020559,1.84779925,0.73377990
-5.93396698,2.92260154,0.28304808,0.00244703,0.06564288,1.68309892,1.83254191,0.71866777
-5.92796398,2.86501339,0.27936619,0.00242991,0.06427521,1.64845495,1.81811436,0.70451779
-5.92196098,2.81146139,0.27576315,0.00241875,0.06280319,1.61647281,1.80466498,0.69139091
-5.91595798,2.76238160,0.27229618,0.00241376,0.06123761,1.58741073,1.79238962,0.67939699
-5.90995498,2.71833409,0.26904364,0.00241532,0.05959547,1.56158758,1.78153088,0.66869691
-5.90395198,2.67999780,0.26610307,0.00242390,0.05789964,1.53938095,1.77237446,0.65950241
-5.89794897,2.64815854,0.26358830,0.00244010,0.05617828,1.52122181,1.76524211,0.65207365
-5.89194597,2.62369026,0.26162551,0.00246460,0.05446412,1.50758538,1.76048151,0.64671442
-5.88594297,2.60752981,0.26034864,0.00249820,0.05279350,1.49897873,1.75845295,0.64376520
-5.87993997,2.60064614,0.25989411,0.00254169,0.05120534,1.49592502,1.75951349,0.64359422
-5.87393697,2.60400467,0.26039518,0.00259591,0.04974005,1.49894516,1.76399918,0.64658665
-5.86793397,2.61852829,0.26197605,0.00266164,0.04843831,1.50853727,1.77220610,0.65313238
-5.86193097,2.64505624,0.26474608,0.00273956,0.04733995,1.52515482,1.78437118,0.66361261
-5.85592796,2.68430260,0.26879419,0.00283025,0.04648278,1.54918420,1.80065393,0.67838558
-5.84992496,2.73681590,0.27418394,0.00293408,0.04590148,1.58092259,1.82111983,0.69777208
-5.84392196,2.80294162,0.28094919,0.00305118,0.04562664,1.62055696,1.84572671,0.72204082
-5.83791896,2.88278896,0.28909091,0.00318145,0.04568382,1.66814522,1.87431460,0.75139444
-5.83191596,2.97620350,0.29857499,0.00332444,0.04609280,1.72360011,1.90659994,0.78595633
-5.82591296,3.08274690,0.30933141,0.00347942,0.04686691,1.78667663,1.94217455,0.82575891
-5.81990995,3.20168456,0.32125478,0.00364530,0.04801259,1.85696364,1.98050949,0.87073357
-5.81390695,3.33198209,0.33420625,0.00382066,0.04952900,1.93387998,2.02096395,0.92070289
-5.80790395,3.47231088,0.34801678,0.00400377,0.05140787,2.01667548,2.06279862,0.97537536
-5.80190095,3.62106303,0.36249176,0.00419258,0.05363354,2.10443706,2.10519330,1.03434296
