energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,7.89302412,0.13720086,0.14357078,0.10665668,0.11269808,3.67704500,2.64614072,0.02791483,4.98383438
-5.99399700,7.98721583,0.14603230,0.14548053,0.11222876,0.11231677,3.73021859,2.65088128,0.02911350,5.04605083
-5.98799400,8.08358624,0.15501165,0.14714344,0.11815338,0.11162596,3.78274846,2.65830167,0.03032147,5.11043406
-5.98199100,8.18322870,0.16406552,0.14860835,0.12444262,0.11066547,3.83534262,2.66882924,0.03153670,5.17765763
-5.97598799,8.28661716,0.17310627,0.14992446,0.13109592,0.10947507,3.88847828,2.68261549,0.03275537,5.24798080
-5.96998499,8.39354641,0.18203257,0.15113935,0.13809808,0.10809280,3.94235832,2.69952530,0.03397166,5.32121005
-5.96398199,8.50310527,0.19073072,0.15229736,0.14541789,0.10655341,3.99688089,2.71913922,0.03517759,5.39668179
-5.95797899,8.61368508,0.19907671,0.15343839,0.15300723,0.10488724,4.05162437,2.74076913,0.03636305,5.47326788
-5.95197599,8.72302400,0.20693896,0.15459735,0.16080098,0.10311930,4.10584893,2.76348650,0.03751588,5.54940425
-5.94597299,8.82828596,0.21418171,0.15580408,0.16871762,0.10126886,4.15851500,2.78616218,0.03862209,5.62314191
-5.93996998,8.92617071,0.22066895,0.15708394,0.17666061,0.09934925,4.20831800,2.80751587,0.03966624,5.69221808
-5.93396698,9.01305010,0.22626870,0.15845890,0.18452051,0.09736824,4.25373790,2.82617306,0.04063190,5.75414453
-5.92796398,9.08512399,0.23085744,0.15994905,0.19217781,0.09532856,4.29310112,2.84072668,0.04150216,5.80630870
-5.92196098,9.13858799,0.23432460,0.16157449,0.19950621,0.09322882,4.32465155,2.84980059,0.04226024,5.84608289
-5.91595798,9.16980477,0.23657675,0.16335724,0.20637650,0.09106458,4.34662728,2.85211189,0.04289013,5.87093612
-5.90995498,9.17547009,0.23754143,0.16532327,0.21266054,0.08882953,4.35733877,2.84652904,0.04337716,5.87854312
-5.90395198,9.15276534,0.23717028,0.16750416,0.21823549,0.08651678,4.35524467,2.83212306,0.04370862,5.86688525
-5.89794897,9.09948903,0.23544146,0.16993840,0.22298780,0.08411998,4.33902128,2.80820946,0.04387421,5.83433836
-5.89194597,9.01416081,0.23236113,0.17267212,0.22681701,0.08163444,4.30762230,2.77437899,0.04386650,5.77974363
-5.88594297,8.89609326,0.22796397,0.17575905,0.22963913,0.07905801,4.26032607,2.73051594,0.04368119,5.70245827
-5.87993997,8.74542868,0.22231271,0.17925966,0.23138935,0.07639176,4.19676806,2.67680345,0.04331730,5.60238416
-5.87393697,8.56313973,0.21549664,0.18323945,0.23202417,0.07364043,4.11695776,2.61371568,0.04277719,5.47997370
-5.86793397,8.35099501,0.20762927,0.18776638,0.23152268,0.07081256,4.02127931,2.54199785,0.04206653,5.33621336
-5.86193097,8.11149249,0.19884515,0.19290749,0.22988707,0.06792048,3.91047680,2.46263526,0.04119403,5.17258670
-5.85592796,7.84776512,0.18929610,0.19872489,0.22714243,0.06498000,3.78562542,2.37681318,0.04017120,4.99101939
-5.84992496,7.56346438,0.17914695,0.20527133,0.22333566,0.06200997,3.64809072,2.28586995,0.03901194,4.79380973
-5.84392196,7.26262842,0.16857100,0.21258551,0.21853387,0.05903167,3.49947841,2.19124564,0.03773213,4.58354875
-5.83791896,6.94954166,0.15774537,0.22068745,0.21282212,0.05606816,3.34157785,2.09442897,0.03634917,4.36303390
-5.83191596,6.62859301,0.14684656,0.22957423,0.20630077,0.05314353,3.17630200,1.99690500,0.03488148,4.13518090
-5.82591296,6.30413933,0.13604612,0.23921639,0.19908250,0.05028226,3.00562709,1.90010590,0.03334809,3.90293744
-5.81990995,5.98037982,0.12550683,0.24955526,0.19128919,0.04750854,2.83153450,1.80536706,0.03176818,3.66920260
-5.81390695,5.66124632,0.11537936,0.26050139,0.18304875,0.04484568,2.65595747,1.71388997,0.03016074,3.43675458
-5.80790395,5.35031296,0.10579947,0.27193443,0.17449202,0.04231566,2.48073430,1.62671325,0.02854423,3.20818917
-5.80190095,5.05072743,0.09688590,0.28370446,0.16574981,0.03993875,2.30756950,1.54469246,0.02693632,2.98587025
-5.79589795,4.76516462,0.08873887,0.29563484,0.15695029,0.03773323,2.13800363,1.46848889,0.02535368,2.77189286
-5.78989495,4.49580237,0.08143914,0.30752651,0.14821653,0.03571523,1.97339207,1.39856708,0.02381188,2.56805888
-5.78389195,4.24431762,0.07504767,0.31916369,0.13966455,0.03389862,1.81489247,1.33520034,0.02232522,2.37586444
-5.77788894,4.01190064,0.06960581,0.33032065,0.13140154,0.03229494,1.66346014,1.27848321,0.02090671,2.19649791
-5.77188594,3.79928417,0.06513586,0.34076931,0.12352461,0.03091344,1.51985049,1.22834956,0.01956802,2.03084686
-5.76588294,3.60678398,0.06164205,0.35028733,0.11611969,0.02976102,1.38462726,1.18459490,0.01831944,1.87951221
-5.75987994,3.43434724,0.05911173,0.35866626,0.10926086,0.02884231,1.25817523,1.14690120,0.01716989,1.74282781
-5.75387694,3.28160508,0.05751683,0.36571932,0.10300991,0.02815957,1.14071615,1.11486284,0.01612685,1.62088366
