energy_ev,total_up,Al_p_up,Al_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,2.59625659,0.03365065,0.00000000,1.96317257,0.85454746,0.01295088,1.76873727
-5.99399700,2.68250686,0.03402653,0.00000000,2.03003799,0.88837252,0.01324938,1.83351183
-5.98799400,2.76487696,0.03444417,0.00000000,2.09421261,0.92062928,0.01354568,1.89500621
-5.98199100,2.84197567,0.03489808,0.00000000,2.15485408,0.95067852,0.01383719,1.95222393
-5.97598799,2.91249949,0.03538198,0.00000000,2.21117453,0.97791977,0.01412131,2.00423983
-5.96998499,2.97526638,0.03588893,0.00000000,2.26245899,1.00180734,0.01439547,2.05022342
-5.96398199,3.02924378,0.03641143,0.00000000,2.30807954,1.02186445,0.01465720,2.08945838
-5.95797899,3.07356967,0.03694145,0.00000000,2.34750482,1.03769476,0.01490410,2.12135721
-5.95197599,3.10756606,0.03747042,0.00000000,2.38030443,1.04899109,0.01513386,2.14547058
-5.94597299,3.13074475,0.03798918,0.00000000,2.40614859,1.05554069,0.01534422,2.16149124
-5.93996998,3.14280551,0.03848799,0.00000000,2.42480339,1.05722721,0.01553290,2.16925247
-5.93396698,3.14362763,0.03895641,0.00000000,2.43612264,1.05402934,0.01569758,2.16872177
-5.92796398,3.13325586,0.03938336,0.00000000,2.44003706,1.04601631,0.01583584,2.15999034
-5.92196098,3.11188215,0.03975708,0.00000000,2.43654237,1.03334072,0.01594509,2.14325939
-5.91595798,3.07982489,0.04006530,0.00000000,2.42568711,1.01622917,0.01602260,2.11882430
-5.90995498,3.03750706,0.04029536,0.00000000,2.40756167,0.99497132,0.01606546,2.08705789
-5.90395198,2.98543498,0.04043447,0.00000000,2.38228925,0.96990796,0.01607068,2.04839370
-5.89794897,2.92417889,0.04047005,0.00000000,2.35001968,0.94141880,0.01603519,2.00331042
-5.89194597,2.85435634,0.04039008,0.00000000,2.31092635,0.90991046,0.01595599,1.95231812
-5.88594297,2.77661906,0.04018356,0.00000000,2.26520650,0.87580531,0.01583027,1.89594692
-5.87993997,2.69164370,0.03984097,0.00000000,2.21308451,0.83953139,0.01565554,1.83473840
-5.87393697,2.60012611,0.03935470,0.00000000,2.15481779,0.80151383,0.01542982,1.76923964
-5.86793397,2.50277897,0.03871949,0.00000000,2.09070429,0.76216790,0.01515181,1.69999990
-5.86193097,2.40033195,0.03793282,0.00000000,2.02109091,0.72189364,0.01482100,1.62756937
-5.85592796,2.29353346,0.03699515,0.00000000,1.94638160,0.68107211,0.01443783,1.55249958
-5.84992496,2.18315322,0.03591017,0.00000000,1.86704425,0.64006310,0.01400379,1.47534463
-5.84392196,2.06998453,0.03468476,0.00000000,1.78361541,0.59920392,0.01352149,1.39666288
-5.83791896,1.95484535,0.03332904,0.00000000,1.69670213,0.55880925,0.01299465,1.31701821
-5.83191596,1.83857777,0.03185608,0.00000000,1.60698037,0.51917159,0.01242811,1.23698057
-5.82591296,1.72204500,0.03028165,0.00000000,1.51518992,0.48056222,0.01182771,1.15712519
-5.81990995,1.60612611,0.02862379,0.00000000,1.42212566,0.44323226,0.01120024,1.07803055
-5.81390695,1.49170818,0.02690226,0.00000000,1.32862568,0.40741383,0.01055321,1.00027473
-5.80790395,1.37967639,0.02513806,0.00000000,1.23555674,0.37332105,0.00989470,0.92443046
-5.80190095,1.27090240,0.02335276,0.00000000,1.14379774,0.34115086,0.00923319,0.85105899
-5.79589795,1.16623170,0.02156792,0.00000000,1.05422222,0.31108363,0.00857726,0.78070319
-5.78989495,1.06647051,0.01980453,0.00000000,0.96768061,0.28328344,0.00793545,0.71388019
-5.78389195,0.97237297,0.01808247,0.00000000,0.88498311,0.25789823,0.00731599,0.65107400
-5.77788894,0.88462935,0.01642002,0.00000000,0.80688414,0.23505966,0.00672666,0.59272861
-5.77188594,0.80385561,0.01483353,0.00000000,0.73406865,0.21488289,0.00617456,0.53924170
-5.76588294,0.73058488,0.01333709,0.00000000,0.66714120,0.19746621,0.00566601,0.49095939
-5.75987994,0.66526101,0.01194234,0.00000000,0.60661753,0.18289056,0.00520640,0.44817213
-5.75387694,0.60823430,0.01065841,0.00000000,0.55291924,0.17121894,0.00480013,0.41111176
-5.74787394,0.55975935,0.00949189,0.00000000,0.50637099,0.16249583,0.00445051,0.37994985
-5.74187094,0.51999479,0.00844693,0.00000000,0.46720029,0.15674643,0.00415980,0.35479698
-5.73586793,0.48900463,0.00752534,0.00000000,0.43553934,0.15397586,0.00392915,0.33570306
-5.72986493,0.46676092,0.00672687,0.00000000,0.41142861,0.15416828,0.00375864,0.32265834
-5.72386193,0.45314737,0.00604939,0.00000000,0.39482151,0.15728589,0.00364730,0.31559492
-5.71785893,0.44796358,0.00548915,0.00000000,0.38558999,0.16326796,0.00359321,0.31438862
-5.71185593,0.45092970,0.00504114,0.00000000,0.38353045,0.17202982,0.00359352,0.31886115
-5.70585293,0.46169129,0.00469928,0.00000000,0.38836978,0.18346198,0.00364456,0.32878227
-5.69984992,0.47982443,0.00445675,0.00000000,0.39977137,0.19742940,0.00374189,0.34387223
-5.69384692,0.50484094,0.00430626,0.00000000,0.41734093,0.21377114,0.00388046,0.36380420
-5.68784392,0.53619401,0.00424027,0.00000000,0.44063216,0.23230035,0.00405464,0.38820715
-5.68184092,0.57328431,0.00425121,0.00000000,0.46915247,0.25280496,0.00425839,0.41666899
-5.67583792,0.61546691,0.00433174,0.00000000,0.50236877,0.27504897,0.00448538,0.44874041
-5.66983492,0.66205914,0.00447489,0.00000000,0.53971373,0.29877461,0.00472906,0.48393948
-5.66383192,0.71234976,0.00467427,0.00000000,0.58059264,0.32370534,0.00498288,0.52175720
-5.65782891,0.76560951,0.00492420,0.00000000,0.62439111,0.34954991,0.00524037,0.56166417
-5.65182591,0.82110315,0.00521988,0.00000000,0.67048392,0.37600721,0.00549529,0.60311851
-5.64582291,0.87810299,0.00555748,0.00000000,0.71824486,0.40277214,0.00574182,0.64557489
-5.63981991,0.93590386,0.00593431,0.00000000,0.76705795,0.42954217,0.00597463,0.68849486
-5.63381691,0.99383903,0.00634887,0.00000000,0.81632962,0.45602461,0.00618907,0.73135807
-5.62781391,1.05129691,0.00680092,0.00000000,0.86550190,0.48194427,0.00638126,0.77367434
-5.62181091,1.10773786,0.00729156,0.00000000,0.91406625,0.50705127,0.00654823,0.81499614
-5.61580790,1.16271057,0.00782319,0.00000000,0.96157751,0.53112875,0.00668795,0.85493110
-5.60980490,1.21586721,0.00839950,0.00000000,1.00766766,0.55400014,0.00679944,0.89315411
-5.60380190,1.26697661,0.00902536,0.00000000,1.05205869,0.57553565,0.00688277,0.92941841
-5.59779890,1.31593475,0.00970673,0.00000000,1.09457392,0.59565769,0.00693908,0.96356524
-5.59179590,1.36277167,0.01045039,0.00000000,1.13514726,0.61434476,0.00697052,0.99553136
-5.58579290,1.40765430,0.01126373,0.00000000,1.17382960,0.63163378,0.00698025,1.02535408
-5.57978989,1.45088438,0.01215442,0.00000000,1.21079180,0.64762037,0.00697228,1.05317314
-5.57378689,1.49289132,0.01313003,0.00000000,1.24632383,0.66245697,0.00695136,1.07922925
-5.56778389,1.53421952,0.01419760,0.00000000,1.28082950,0.67634880,0.00692289,1.10385880
-5.56178089,1.57551035,0.01536316,0.00000000,1.31481669,0.68954747,0.00689268,1.12748485
-5.55577789,1.61747887,0.01663132,0.00000000,1.34888291,0.70234240,0.00686679,1.15060409
-5.54977489,1.66088591,0.01800472,0.00000000,1.38369634,0.71505024,0.00685138,1.17377027
-5.54377189,1.70650627,0.01948362,0.00000000,1.41997284,0.72800251,0.00685244,1.19757424
-5.53776888,1.75509399,0.02106548,0.00000000,1.45844934,0.74153186,0.00687565,1.22262127
-5.53176588,1.80734611,0.02274465,0.00000000,1.49985457,0.75595744,0.00692618,1.24950627
-5.52576288,1.86386626,0.02451210,0.00000000,1.54487811,0.77156996,0.00700851,1.27878799
-5.51975988,1.92512964,0.02635535,0.00000000,1.59413889,0.78861695,0.00712629,1.31096291
-5.51375688,1.99145117,0.02825848,0.00000000,1.64815462,0.80728905,0.00728223,1.34644027
-5.50775388,2.06295830,0.03020231,0.00000000,1.70731324,0.82770774,0.00747797,1.38551903
-5.50175088,2.13956999,0.03216471,0.00000000,1.77184804,0.84991546,0.00771406,1.42836813
-5.49574787,2.22098321,0.03412112,0.00000000,1.84181748,0.87386836,0.00798990,1.47501102
-5.48974487,2.30666790,0.03604515,0.00000000,1.91709093,0.89943239,0.00830377,1.52531518
-5.48374187,2.39587106,0.03790933,0.00000000,1.99734112,0.92638298,0.00865288,1.57898759
-5.47773887,2.48763018,0.03968595,0.00000000,2.08204391,0.95440841,0.00903343,1.63557634
-5.47173587,2.58079568,0.04134798,0.00000000,2.17048562,0.98311705,0.00944071,1.69447866
-5.46573287,2.67406181,0.04286998,0.00000000,2.26177763,1.01204813,0.00986924,1.75495511
-5.45972986,2.76600464,0.04422901,0.00000000,2.35487792,1.04068567,0.01031294,1.81614953
-5.45372686,2.85512581,0.04540552,0.00000000,2.44861857,1.06847521,0.01076523,1.87711387
-5.44772386,2.93989994,0.04638405,0.00000000,2.54173804,1.09484237,0.01121926,1.93683693
-5.44172086,3.01882386,0.04715390,0.00000000,2.63291692,1.11921267,0.01166806,1.99427572
-5.43571786,3.09046531,0.04770959,0.00000000,2.72081549,1.14103158,0.01210465,2.04838812
-5.42971486,3.15350907,0.04805113,0.00000000,2.80411162,1.15978405,0.01252228,2.09816536
-5.42371186,3.20679849,0.04818414,0.00000000,2.88153727,1.17501247,0.01291449,2.14266300
-5.41770885,3.24937076,0.04811975,0.00000000,2.95191238,1.18633250,0.01327522,2.18102897
-5.41170585,3.28048458,0.04787434,0.00000000,3.01417474,1.19344590,0.01359898,2.21252789
-5.40570285,3.29963921,0.04746910,0.00000000,3.06740500,1.19615004,0.01388082,2.23656042
-5.39969985,3.30658464,0.04692948,0.00000000,3.11084626,1.19434363,0.01411644,2.25267747
-5.39369685,3.30132279,0.04628449,0.00000000,3.14391775,1.18802864,0.01430223,2.26058868
-5.38769385,3.28410023,0.04556598,0.00000000,3.16622285,1.17730851,0.01443523,2.26016541
-5.38169085,3.25539328,0.04480780,0.00000000,3.17755155,1.16238275,0.01451318,2.25143851
-5.37568784,3.21588680,0.04404506,0.00000000,3.17787800,1.14353853,0.01453451,2.23459124
-5.36968484,3.16644774,0.04331329,0.00000000,3.16735377,1.12113968,0.01449830,2.20994830
-5.36368184,3.10809523,0.04264771,0.00000000,3.14629762,1.09561367,0.01440431,2.17796158
-5.35767884,3.04196854,0.04208256,0.00000000,3.11518253,1.06743740,0.01425293,2.13919358
-5.35167584,2.96929426,0.04165043,0.00000000,3.07462076,1.03712217,0.01404521,2.09429936
-5.34567284,2.89135410,0.04138174,0.00000000,3.02534764,1.00519878,0.01378278,2.04400774
-5.33966983,2.80945413,0.04130421,0.00000000,2.96820458,0.97220296,0.01346794,1.98910257
-5.33366683,2.72489641,0.04144251,0.00000000,2.90412171,0.93866195,0.01310354,1.93040440
-5.32766383,2.63895354,0.04181785,0.00000000,2.83410049,0.90508224,0.01269305,1.86875331
-5.32166083,2.55284635,0.04244768,0.00000000,2.75919656,0.87193911,0.01224047,1.80499284
