energy_ev,total_up,Cd_p_up,Cd_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-6.00000000,0.27112111,0.15670943,0.03095017,0.02720548,0.00061478,0.01629341,0.10192126
-5.99399700,0.28964154,0.16746496,0.03286182,0.02962449,0.00066161,0.01730949,0.10815086
-5.98799400,0.30922802,0.17872771,0.03487646,0.03224893,0.00071117,0.01836776,0.11485778
-5.98199100,0.32959049,0.19033171,0.03695525,0.03506644,0.00076292,0.01945143,0.12191219
-5.97598799,0.35045435,0.20211787,0.03906135,0.03806561,0.00081633,0.02054521,0.12919200
-5.96998499,0.37156335,0.21393624,0.04116031,0.04123577,0.00087087,0.02163558,0.13658370
-5.96398199,0.39268207,0.22564794,0.04322054,0.04456677,0.00092606,0.02271109,0.14398306
-5.95797899,0.41359762,0.23712674,0.04521356,0.04804861,0.00098145,0.02376252,0.15129561
-5.95197599,0.43412056,0.24826009,0.04711426,0.05167099,0.00103661,0.02478298,0.15843685
-5.94597299,0.45408493,0.25894972,0.04890107,0.05542280,0.00109113,0.02576791,0.16533224
-5.93996998,0.47334736,0.26911156,0.05055594,0.05929150,0.00114467,0.02671491,0.17191694
-5.93396698,0.49178534,0.27867517,0.05206430,0.06326251,0.00119685,0.02762354,0.17813522
-5.92796398,0.50929459,0.28758270,0.05341490,0.06731855,0.00124737,0.02849498,0.18393968
-5.92196098,0.52578588,0.29578727,0.05459950,0.07143904,0.00129590,0.02933154,0.18929032
-5.91595798,0.54118139,0.30325120,0.05561257,0.07559959,0.00134215,0.03013624,0.19415339
-5.90995498,0.55541085,0.30994393,0.05645086,0.07977155,0.00138580,0.03091216,0.19850026
-5.90395198,0.56840778,0.31583991,0.05711301,0.08392180,0.00142655,0.03166197,0.20230627
-5.89794897,0.58010610,0.32091664,0.05759910,0.08801267,0.00146409,0.03238731,0.20554973
-5.89194597,0.59043734,0.32515291,0.05791026,0.09200213,0.00149810,0.03308836,0.20821101
-5.88594297,0.59932865,0.32852745,0.05804834,0.09584425,0.00152826,0.03376340,0.21027194
-5.87993997,0.60670191,0.33101804,0.05801560,0.09948985,0.00155424,0.03440855,0.21171549
-5.87393697,0.61247384,0.33260119,0.05781450,0.10288747,0.00157571,0.03501762,0.21252564
-5.86793397,0.61655732,0.33325231,0.05744762,0.10598451,0.00159234,0.03558209,0.21268772
-5.86193097,0.61886369,0.33294653,0.05691762,0.10872859,0.00160384,0.03609133,0.21218886
-5.85592796,0.61930613,0.33165994,0.05622730,0.11106903,0.00160992,0.03653287,0.21101880
-5.84992496,0.61780366,0.32937123,0.05537969,0.11295840,0.00161036,0.03689287,0.20917077
-5.84392196,0.61428567,0.32606364,0.05437832,0.11435412,0.00160494,0.03715673,0.20664253
-5.83791896,0.60869670,0.32172700,0.05322734,0.11521992,0.00159355,0.03730969,0.20343741
-5.83191596,0.60100109,0.31635983,0.05193180,0.11552721,0.00157611,0.03733759,0.19956530
-5.82591296,0.59118724,0.30997117,0.05049784,0.11525627,0.00155264,0.03722757,0.19504341
-5.81990995,0.57927123,0.30258225,0.04893290,0.11439711,0.00152324,0.03696875,0.18989698
-5.81390695,0.56529954,0.29422766,0.04724585,0.11295007,0.00148808,0.03655285,0.18415960
-5.80790395,0.54935069,0.28495606,0.04544704,0.11092610,0.00144742,0.03597473,0.17787328
-5.80190095,0.53153571,0.27483031,0.04354836,0.10834663,0.00140162,0.03523271,0.17108822
-5.79589795,0.51199740,0.26392713,0.04156313,0.10524313,0.00135110,0.03432886,0.16386233
-5.78989495,0.49090837,0.25233605,0.03950600,0.10165633,0.00129635,0.03326903,0.15626035
-5.78389195,0.46846797,0.24015797,0.03739274,0.09763517,0.00123794,0.03206274,0.14835284
-5.77788894,0.44489823,0.22750325,0.03524000,0.09323541,0.00117648,0.03072295,0.14021492
-5.77188594,0.42043908,0.21448936,0.03306501,0.08851819,0.00111260,0.02926565,0.13192493
-5.76588294,0.39534295,0.20123839,0.03088527,0.08354832,0.00104697,0.02770931,0.12356292
-5.75987994,0.36986906,0.18787439,0.02871821,0.07839259,0.00098027,0.02607435,0.11520922
-5.75387694,0.34427765,0.17452062,0.02658088,0.07311810,0.00091317,0.02438239,0.10694300
