energy_ev,total_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.80964618,1.63112292,0.52062140,1.88417917,0.94060866,0.00274133,0.79523234,0.00549776,1.49814335
-5.99399700,3.90736789,1.68296065,0.54302942,1.92902248,0.95943135,0.00301736,0.81289176,0.00574696,1.54243576
-5.98799400,3.99338833,1.73198009,0.56410071,1.96824510,0.97482764,0.00331355,0.82771019,0.00599433,1.58324595
-5.98199100,4.06763238,1.77824256,0.58362359,2.00187642,0.98682846,0.00362965,0.83969703,0.00623857,1.62055533
-5.97598799,4.13032556,1.82190606,0.60141634,2.03009213,0.99555082,0.00396493,0.84893838,0.00647846,1.65444204
-5.96998499,4.18196257,1.86320512,0.61732954,2.05319527,1.00118936,0.00431811,0.85559071,0.00671277,1.68506586
-5.96398199,4.22326551,1.90242675,0.63124727,2.07159277,1.00400515,0.00468729,0.85987210,0.00694029,1.71264956
-5.95797899,4.25513406,1.93988356,0.64308728,2.08576839,1.00431209,0.00506992,0.86205135,0.00715972,1.73745763
-5.95197599,4.27859002,1.97588556,0.65280008,2.09625359,1.00246186,0.00546280,0.86243557,0.00736968,1.75977350
-5.94597299,4.29471892,2.01071205,0.66036714,2.10359786,0.99882771,0.00586205,0.86135663,0.00756869,1.77987638
-5.93996998,4.30461172,2.04458522,0.66579824,2.10833992,0.99378817,0.00626318,0.85915737,0.00775514,1.79801920
-5.93396698,4.30930929,2.07764685,0.66912823,2.11098139,0.98771124,0.00666115,0.85617792,0.00792735,1.81440850
-5.92796398,4.30975255,2.10993944,0.67041329,2.11196409,0.98093973,0.00705045,0.85274290,0.00808358,1.82918770
-5.92196098,4.30674056,2.14139304,0.66972703,2.11165222,0.97377850,0.00742523,0.84914996,0.00822210,1.84242450
-5.91595798,4.30089848,2.17181846,0.66715658,2.11032003,0.96648400,0.00777948,0.84566020,0.00834123,1.85410314
-5.90995498,4.29265692,2.20090754,0.66279894,2.10814571,0.95925661,0.00810712,0.84249075,0.00843947,1.86412208
-5.90395198,4.28224346,2.22824054,0.65675772,2.10521141,0.95223595,0.00840228,0.83980982,0.00851552,1.87229720
-5.89794897,4.26968646,2.25330046,0.64914045,2.10150933,0.94549940,0.00865940,0.83773434,0.00856846,1.87837040
-5.89194597,4.25483081,2.27549382,0.64005663,2.09695327,0.93906364,0.00887347,0.83633012,0.00859779,1.88202325
-5.88594297,4.23736441,2.29417674,0.62961658,2.09139480,0.93288918,0.00904019,0.83561447,0.00860355,1.88289489
-5.87993997,4.21685391,2.30868534,0.61793095,2.08464308,0.92688752,0.00915613,0.83556106,0.00858640,1.88060346
-5.87393697,4.19278749,2.31836883,0.60511111,2.07648683,0.92093043,0.00921885,0.83610653,0.00854769,1.87476973
-5.86793397,4.16462232,2.32262368,0.59127012,2.06671738,0.91486096,0.00922704,0.83715859,0.00848954,1.86504187
-5.86193097,4.13183409,2.32092722,0.57652415,2.05515112,0.90850553,0.00918053,0.83860502,0.00841486,1.85111997
-5.85592796,4.09396583,2.31286891,0.56099434,2.04165031,0.90168645,0.00908038,0.84032311,0.00832738,1.83277910
-5.84992496,4.05067338,2.29817769,0.54480870,2.02614068,0.89423429,0.00892882,0.84218892,0.00823163,1.80988961
-5.84392196,4.00176509,2.27674395,0.52810394,2.00862519,0.88599944,0.00872919,0.84408601,0.00813295,1.78243368
-5.83791896,3.94723355,2.24863505,0.51102698,1.98919275,0.87686233,0.00848588,0.84591302,0.00803740,1.75051712
-5.83191596,3.88727764,2.21410339,0.49373596,1.96802170,0.86674183,0.00820421,0.84758974,0.00795168,1.71437584
-5.82591296,3.82231367,2.17358653,0.47640061,1.94537766,0.85560141,0.00789021,0.84906145,0.00788306,1.67437658
-5.81990995,3.75297493,2.12769932,0.45920168,1.92160586,0.84345278,0.00755052,0.85030122,0.00783925,1.63101170
-5.81390695,3.68009952,2.07721820,0.44232964,1.89711838,0.83035692,0.00719213,0.85130999,0.00782821,1.58488826
-5.80790395,3.60470708,2.02305819,0.42598224,1.87237685,0.81642244,0.00682224,0.85211471,0.00785803,1.53671176
-5.80190095,3.52796523,1.96624374,0.41036134,1.84787157,0.80180137,0.00644803,0.85276438,0.00793672,1.48726526
