energy_ev,total_up,Ca_p_up,Ca_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.92161044,0.03241808,0.00000000,0.63070955,1.05534717,0.01470706,0.75270574,0.15039970,1.13377596
-5.99399700,4.02844736,0.03412554,0.00000000,0.64738252,1.08693794,0.01483200,0.77294081,0.15346492,1.16418923
-5.98799400,4.13260517,0.03590404,0.00000000,0.66363629,1.11878446,0.01487085,0.79258322,0.15611138,1.19451407
-5.98199100,4.23228046,0.03773016,0.00000000,0.67920185,1.15030639,0.01482235,0.81124986,0.15827927,1.22425838
-5.97598799,4.32577514,0.03957863,0.00000000,0.69382686,1.18092617,0.01468721,0.82857819,0.15991781,1.25294755
-5.96998499,4.41153291,0.04142285,0.00000000,0.70728191,1.21008151,0.01446806,0.84423431,0.16098659,1.28013478
-5.96398199,4.48816979,0.04323536,0.00000000,0.71936573,1.23723715,0.01416939,0.85791994,0.16145656,1.30541001
-5.95797899,4.55449791,0.04498838,0.00000000,0.72990934,1.26189558,0.01379731,0.86937809,0.16131067,1.32840698
-5.95197599,4.60954300,0.04665440,0.00000000,0.73877900,1.28360686,0.01335941,0.87839751,0.16054415,1.34880876
-5.94597299,4.65255538,0.04820671,0.00000000,0.74587806,1.30197710,0.01286445,0.88481588,0.15916443,1.36635159
-5.93996998,4.68301520,0.04962008,0.00000000,0.75114777,1.31667579,0.01232213,0.88852166,0.15719071,1.38082723
-5.93396698,4.70063227,0.05087130,0.00000000,0.75456700,1.32744167,0.01174274,0.88945485,0.15465330,1.39208397
-5.92796398,4.70534125,0.05193972,0.00000000,0.75615117,1.33408719,0.01113691,0.88760659,0.15159267,1.40002648
-5.92196098,4.69729280,0.05280781,0.00000000,0.75595036,1.33650146,0.01051529,0.88301773,0.14805826,1.40461460
-5.91595798,4.67684131,0.05346161,0.00000000,0.75404672,1.33465158,0.00988832,0.87577651,0.14410717,1.40586139
-5.90995498,4.64453000,0.05389106,0.00000000,0.75055148,1.32858243,0.00926598,0.86601543,0.13980277,1.40383040
-5.90395198,4.60107377,0.05409035,0.00000000,0.74560144,1.31841475,0.00865760,0.85390738,0.13521314,1.39863248
-5.89794897,4.54734040,0.05405802,0.00000000,0.73935516,1.30434175,0.00807173,0.83966122,0.13040963,1.39042211
-5.89194597,4.48433049,0.05379708,0.00000000,0.73198907,1.28662405,0.00751602,0.82351686,0.12546530,1.37939340
-5.88594297,4.41315654,0.05331491,0.00000000,0.72369329,1.26558330,0.00699716,0.80573994,0.12045351,1.36577586
-5.87993997,4.33502149,0.05262311,0.00000000,0.71466759,1.24159449,0.00652087,0.78661626,0.11544654,1.34982994
-5.87393697,4.25119696,0.05173719,0.00000000,0.70511724,1.21507724,0.00609190,0.76644605,0.11051437,1.33184243
-5.86793397,4.16300143,0.05067616,0.00000000,0.69524908,1.18648623,0.00571413,0.74553816,0.10572347,1.31212177
-5.86193097,4.07177877,0.04946207,0.00000000,0.68526769,1.15630109,0.00539056,0.72420430,0.10113585,1.29099332
-5.85592796,3.97887708,0.04811943,0.00000000,0.67537177,1.12501605,0.00512351,0.70275345,0.09680814,1.26879456
-5.84992496,3.88562831,0.04667458,0.00000000,0.66575082,1.09312962,0.00491461,0.68148645,0.09279089,1.24587042
-5.84392196,3.79332881,0.04515507,0.00000000,0.65658211,1.06113462,0.00476500,0.66069106,0.08912791,1.22256864
-5.83791896,3.70322103,0.04358895,0.00000000,0.64802800,1.02950882,0.00467536,0.64063727,0.08585585,1.19923524
-5.83191596,3.61647661,0.04200413,0.00000000,0.64023369,0.99870639,0.00464607,0.62157322,0.08300384,1.17621025
-5.82591296,3.53418117,0.04042775,0.00000000,0.63332539,0.96915044,0.00467725,0.60372162,0.08059326,1.15382356
-5.81990995,3.45732083,0.03888559,0.00000000,0.62740890,0.94122678,0.00476883,0.58727683,0.07863765,1.13239116
-5.81390695,3.38677089,0.03740154,0.00000000,0.62256880,0.91527884,0.00492065,0.57240243,0.07714277,1.11221161
-5.80790395,3.32328660,0.03599714,0.00000000,0.61886803,0.89160411,0.00513243,0.55922963,0.07610666,1.09356290
